map_id,exact_contexts,initial_behavioral_classes,behavioral_classes,removed_contexts,reduction_percent,refinement_iterations,distinct_relative_beliefs,exact_transitions,reduced_transitions,transition_reduction_percent
10,680,321,499,181,26.61764705882353,9,469,580,448,22.75862068965517
11,535,294,415,120,22.429906542056074,10,368,435,342,21.379310344827587
12,771,372,572,199,25.810635538261998,11,553,671,521,22.35469448584203
13,716,340,521,195,27.23463687150838,10,499,616,471,23.538961038961038
14,746,379,552,194,26.005361930294907,6,526,646,501,22.445820433436534
15,588,316,450,138,23.46938775510204,9,393,488,393,19.4672131147541
16,757,349,539,218,28.79788639365918,11,550,657,493,24.961948249619482
17,695,334,488,207,29.784172661870503,10,501,595,432,27.394957983193276
18,742,336,528,214,28.840970350404312,10,542,642,479,25.389408099688474
19,685,389,517,168,24.525547445255473,7,482,585,457,21.88034188034188
20,539,329,457,82,15.213358070500927,8,359,439,383,12.75626423690205
21,686,356,527,159,23.17784256559767,8,466,586,475,18.9419795221843
22,701,370,542,159,22.68188302425107,9,473,601,486,19.13477537437604
23,710,372,546,164,23.098591549295776,7,477,610,495,18.852459016393443
24,783,371,553,230,29.374201787994892,9,571,683,508,25.62225475841874
25,738,349,550,188,25.474254742547426,11,527,638,497,22.100313479623825
26,607,295,458,149,24.546952224052717,10,421,507,401,20.907297830374752
27,782,370,583,199,25.44757033248082,10,566,682,537,21.26099706744868
28,701,300,474,227,32.382310984308134,9,509,601,424,29.450915141430947
29,653,371,499,154,23.583460949464012,9,457,553,441,20.253164556962027
30,665,339,513,152,22.857142857142858,10,470,565,452,20.0
31,704,340,490,214,30.397727272727273,7,511,604,438,27.483443708609272
32,736,375,541,195,26.494565217391305,8,519,636,493,22.48427672955975
33,834,363,555,279,33.45323741007194,8,624,734,511,30.381471389645778
34,709,353,541,168,23.695345557122707,9,509,609,488,19.86863711001642
35,727,393,584,143,19.66987620357634,9,497,627,532,15.151515151515152
36,717,340,499,218,30.404463040446306,10,518,617,448,27.39059967585089
37,697,322,499,198,28.407460545193686,10,495,597,446,25.293132328308207
38,709,366,535,174,24.541607898448518,9,511,609,478,21.510673234811165
39,525,309,430,95,18.095238095238095,9,355,425,365,14.117647058823529
40,553,327,441,112,20.253164556962027,7,382,453,370,18.322295805739515
41,679,350,536,143,21.06038291605302,9,463,579,480,17.098445595854923
42,585,331,474,111,18.974358974358974,10,423,485,402,17.11340206185567
43,779,328,525,254,32.60590500641849,9,575,679,478,29.60235640648012
44,800,379,598,202,25.25,9,583,700,548,21.714285714285715
45,779,331,521,258,33.1193838254172,9,584,679,475,30.04418262150221
46,713,411,580,133,18.653576437587656,9,500,613,525,14.35562805872757
47,808,397,615,193,23.886138613861387,10,589,708,558,21.1864406779661
48,772,380,593,179,23.186528497409327,9,545,672,544,19.047619047619047
49,777,328,523,254,32.68983268983269,9,566,677,481,28.95125553914328
50,710,377,572,138,19.43661971830986,11,519,610,512,16.065573770491802
51,762,423,629,133,17.454068241469816,10,542,662,570,13.897280966767372
52,666,366,468,198,29.72972972972973,7,454,566,416,26.501766784452297
53,728,406,596,132,18.13186813186813,9,520,628,534,14.968152866242038
54,775,369,542,233,30.06451612903226,8,561,675,498,26.22222222222222
55,718,366,575,143,19.91643454038997,10,522,618,517,16.34304207119741
56,563,299,426,137,24.33392539964476,10,374,463,354,23.542116630669547
57,742,333,503,239,32.21024258760108,8,536,642,457,28.81619937694704
58,688,353,522,166,24.127906976744185,9,472,588,472,19.727891156462587
59,677,381,520,157,23.190546528803544,7,478,577,455,21.143847487001732
60,745,326,522,223,29.93288590604027,9,552,645,474,26.511627906976745
61,712,369,557,155,21.769662921348313,9,495,612,503,17.81045751633987
62,735,366,525,210,28.571428571428573,7,532,635,473,25.511811023622048
63,680,373,524,156,22.941176470588236,9,451,580,472,18.620689655172413
64,619,370,496,123,19.87075928917609,11,417,519,431,16.95568400770713
65,754,351,513,241,31.96286472148541,10,535,654,466,28.74617737003058
66,779,418,619,160,20.539152759948653,10,534,679,574,15.463917525773196
67,696,321,479,217,31.17816091954023,10,512,596,421,29.36241610738255
68,745,348,541,204,27.38255033557047,10,546,645,488,24.34108527131783
69,735,317,495,240,32.6530612244898,10,521,635,447,29.606299212598426
70,814,373,610,204,25.061425061425062,10,611,714,561,21.428571428571427
71,734,345,518,216,29.427792915531334,9,514,634,468,26.182965299684543
72,710,370,555,155,21.830985915492956,9,497,610,497,18.524590163934427
73,709,394,545,164,23.1311706629055,9,504,609,484,20.525451559934318
74,801,407,578,223,27.84019975031211,8,588,701,526,24.964336661911556
75,684,356,551,133,19.444444444444443,10,482,584,493,15.582191780821917
76,571,385,505,66,11.558669001751314,6,391,471,427,9.341825902335456
77,648,387,512,136,20.987654320987655,8,463,548,448,18.248175182481752
78,699,341,497,202,28.898426323319025,9,505,599,444,25.87646076794658
79,663,317,501,162,24.43438914027149,10,458,563,445,20.959147424511546
80,623,371,527,96,15.409309791332264,9,421,523,460,12.045889101338432
81,606,354,495,111,18.316831683168317,8,403,506,433,14.42687747035573
82,746,411,584,162,21.715817694369974,7,542,646,522,19.195046439628484
