map_id,start_x,start_y,age,xhat,yhat,direction,cnt_e,cnt_w,cnt_n,cnt_s,belief_state,b1,b2,b3,b4,other,gini_uncertainty
10,0,0,1,0,0,east,1,0,0,0,1,97,1,1,1,0,588
10,0,0,2,1,0,east,2,0,0,0,2,94,2,2,2,0,1152
10,0,0,3,2,0,east,3,0,0,0,5,91,3,3,3,0,1692
10,0,0,4,3,0,north,3,0,1,0,12,88,4,3,3,2,2218
10,0,0,5,3,1,east,4,0,1,0,19,86,4,4,4,2,2552
10,0,0,6,4,1,north,4,0,2,0,28,83,5,4,4,4,3038
10,0,0,7,4,2,north,4,0,3,0,43,81,6,4,3,6,3342
10,0,0,8,4,3,north,4,0,4,0,61,79,7,3,3,8,3628
10,0,0,9,4,4,north,4,0,5,0,82,76,8,4,4,8,4064
10,0,0,10,4,5,north,4,0,6,0,109,74,8,5,5,8,4346
10,0,6,1,0,6,east,1,0,0,0,1,97,1,1,1,0,588
10,0,6,2,1,6,east,2,0,0,0,2,94,2,2,2,0,1152
10,0,6,3,2,6,south,2,0,0,1,7,91,3,2,2,2,1698
10,0,6,4,2,5,east,3,0,0,1,12,88,4,3,3,2,2218
10,0,6,5,3,5,east,4,0,0,1,19,86,4,4,4,2,2552
10,0,6,6,4,5,north,4,0,1,1,33,84,4,4,4,4,2880
10,0,6,7,4,6,north,4,0,2,1,36,81,5,4,4,6,3346
10,0,6,8,4,7,north,4,0,3,1,62,79,6,4,3,8,3634
10,0,6,9,4,8,north,4,0,4,1,83,76,7,4,3,10,4050
10,0,6,10,4,9,east,5,0,4,1,113,74,7,5,4,10,4334
10,1,0,1,1,0,east,1,0,0,0,1,97,1,1,1,0,588
10,1,0,2,2,0,east,2,0,0,0,2,94,2,2,2,0,1152
10,1,0,3,3,0,north,2,0,1,0,7,91,3,2,2,2,1698
10,1,0,4,3,1,east,3,0,1,0,12,88,4,3,3,2,2218
10,1,0,5,4,1,north,3,0,2,0,21,86,4,3,3,4,2554
10,1,0,6,4,2,north,3,0,3,0,31,83,5,3,3,6,3032
10,1,0,7,4,3,north,3,0,4,0,43,81,6,4,3,6,3342
10,1,0,8,4,4,north,3,0,5,0,58,79,7,4,4,6,3642
10,1,0,9,4,5,north,3,0,6,0,76,76,7,5,5,7,4076
10,1,0,10,4,6,north,3,0,7,0,105,74,8,6,5,7,4350
10,1,1,1,1,1,south,0,0,0,1,1,97,1,1,1,0,588
10,1,1,2,1,0,east,1,0,0,1,4,94,2,1,1,2,1154
10,1,1,3,2,0,east,2,0,0,1,7,91,3,2,2,2,1698
10,1,1,4,3,0,north,2,0,1,1,15,88,3,3,2,4,2218
10,1,1,5,3,1,east,3,0,1,1,21,86,4,3,3,4,2554
10,1,1,6,4,1,north,3,0,2,1,32,83,4,4,3,6,3034
10,1,1,7,4,2,north,3,0,3,1,44,81,5,3,3,8,3332
10,1,1,8,4,3,north,3,0,4,1,59,79,6,3,3,9,3624
10,1,1,9,4,4,north,3,0,5,1,79,76,7,4,4,9,4062
10,1,1,10,4,5,north,3,0,6,1,106,74,7,5,5,9,4344
10,1,3,1,1,3,east,1,0,0,0,1,97,1,1,1,0,588
10,1,3,2,2,3,north,1,0,1,0,4,94,2,1,1,2,1154
10,1,3,3,2,4,north,1,0,2,0,7,91,3,2,2,2,1698
10,1,3,4,2,5,east,2,0,2,0,14,88,4,2,2,4,2216
10,1,3,5,3,5,east,3,0,2,0,21,86,4,3,3,4,2554
10,1,3,6,4,5,north,3,0,3,0,31,83,5,3,3,6,3032
10,1,3,7,4,6,north,3,0,4,0,43,81,6,4,3,6,3342
10,1,3,8,4,7,north,3,0,5,0,58,79,7,4,4,6,3642
10,1,3,9,4,8,north,3,0,6,0,76,76,7,5,5,7,4076
10,1,3,10,4,9,east,4,0,6,0,109,74,8,5,5,8,4346
10,1,5,1,1,5,east,1,0,0,0,1,97,1,1,1,0,588
10,1,5,2,2,5,east,2,0,0,0,2,94,2,2,2,0,1152
10,1,5,3,3,5,east,3,0,0,0,5,91,3,3,3,0,1692
10,1,5,4,4,5,north,3,0,1,0,12,88,4,3,3,2,2218
10,1,5,5,4,6,north,3,0,2,0,21,86,4,3,3,4,2554
10,1,5,6,4,7,north,3,0,3,0,31,83,5,3,3,6,3032
10,1,5,7,4,8,north,3,0,4,0,43,81,6,4,3,6,3342
10,1,5,8,4,9,east,4,0,4,0,61,79,7,3,3,8,3628
10,1,5,9,5,9,east,5,0,4,0,82,76,8,4,4,8,4064
10,1,5,10,6,9,east,6,0,4,0,109,74,8,5,5,8,4346
10,1,6,1,1,6,east,1,0,0,0,1,97,1,1,1,0,588
10,1,6,2,2,6,south,1,0,0,1,4,94,2,1,1,2,1154
10,1,6,3,2,5,east,2,0,0,1,7,91,3,2,2,2,1698
10,1,6,4,3,5,east,3,0,0,1,12,88,4,3,3,2,2218
10,1,6,5,4,5,north,3,0,1,1,21,86,4,3,3,4,2554
10,1,6,6,4,6,north,3,0,2,1,32,83,4,4,3,6,3034
10,1,6,7,4,7,north,3,0,3,1,44,81,5,3,3,8,3332
10,1,6,8,4,8,north,3,0,4,1,59,79,6,3,3,9,3624
10,1,6,9,4,9,east,4,0,4,1,83,76,7,4,3,10,4050
10,1,6,10,5,9,east,5,0,4,1,113,74,7,5,4,10,4334
10,2,0,1,2,0,east,1,0,0,0,1,97,1,1,1,0,588
10,2,0,2,3,0,north,1,0,1,0,4,94,2,1,1,2,1154
10,2,0,3,3,1,east,2,0,1,0,7,91,3,2,2,2,1698
10,2,0,4,4,1,north,2,0,2,0,14,88,4,2,2,4,2216
10,2,0,5,4,2,north,2,0,3,0,21,86,4,3,3,4,2554
10,2,0,6,4,3,north,2,0,4,0,28,83,5,4,4,4,3038
10,2,0,7,4,4,north,2,0,5,0,41,81,6,4,4,5,3346
10,2,0,8,4,5,north,2,0,6,0,55,78,7,5,5,5,3792
10,2,0,9,4,6,north,2,0,7,0,68,76,7,6,6,5,4078
10,2,0,10,4,7,north,2,0,8,0,101,74,8,7,6,5,4350
10,2,1,1,2,1,east,1,0,0,0,1,97,1,1,1,0,588
10,2,1,2,3,1,east,2,0,0,0,2,94,2,2,2,0,1152
10,2,1,3,4,1,north,2,0,1,0,7,91,3,2,2,2,1698
10,2,1,4,4,2,north,2,0,2,0,14,88,4,2,2,4,2216
10,2,1,5,4,3,north,2,0,3,0,21,86,4,3,3,4,2554
10,2,1,6,4,4,north,2,0,4,0,28,83,5,4,4,4,3038
10,2,1,7,4,5,north,2,0,5,0,41,81,6,4,4,5,3346
10,2,1,8,4,6,north,2,0,6,0,55,78,7,5,5,5,3792
10,2,1,9,4,7,north,2,0,7,0,68,76,7,6,6,5,4078
10,2,1,10,4,8,north,2,0,8,0,101,74,8,7,6,5,4350
10,2,3,1,2,3,north,0,0,1,0,1,97,1,1,1,0,588
10,2,3,2,2,4,north,0,0,2,0,2,94,2,2,2,0,1152
10,2,3,3,2,5,east,1,0,2,0,7,91,3,2,2,2,1698
10,2,3,4,3,5,east,2,0,2,0,14,88,4,2,2,4,2216
10,2,3,5,4,5,north,2,0,3,0,21,86,4,3,3,4,2554
10,2,3,6,4,6,north,2,0,4,0,28,83,5,4,4,4,3038
10,2,3,7,4,7,north,2,0,5,0,41,81,6,4,4,5,3346
10,2,3,8,4,8,north,2,0,6,0,55,78,7,5,5,5,3792
10,2,3,9,4,9,east,3,0,6,0,76,76,7,5,5,7,4076
10,2,3,10,5,9,east,4,0,6,0,109,74,8,5,5,8,4346
10,2,4,1,2,4,north,0,0,1,0,1,97,1,1,1,0,588
10,2,4,2,2,5,east,1,0,1,0,4,94,2,1,1,2,1154
10,2,4,3,3,5,east,2,0,1,0,7,91,3,2,2,2,1698
10,2,4,4,4,5,north,2,0,2,0,14,88,4,2,2,4,2216
10,2,4,5,4,6,north,2,0,3,0,21,86,4,3,3,4,2554
10,2,4,6,4,7,north,2,0,4,0,28,83,5,4,4,4,3038
10,2,4,7,4,8,north,2,0,5,0,41,81,6,4,4,5,3346
10,2,4,8,4,9,east,3,0,5,0,58,79,7,4,4,6,3642
10,2,4,9,5,9,east,4,0,5,0,82,76,8,4,4,8,4064
10,2,4,10,6,9,east,5,0,5,0,112,74,8,4,4,10,4328
10,2,5,1,2,5,east,1,0,0,0,1,97,1,1,1,0,588
10,2,5,2,3,5,east,2,0,0,0,2,94,2,2,2,0,1152
10,2,5,3,4,5,north,2,0,1,0,7,91,3,2,2,2,1698
10,2,5,4,4,6,north,2,0,2,0,14,88,4,2,2,4,2216
10,2,5,5,4,7,north,2,0,3,0,21,86,4,3,3,4,2554
10,2,5,6,4,8,north,2,0,4,0,28,83,5,4,4,4,3038
10,2,5,7,4,9,east,3,0,4,0,43,81,6,4,3,6,3342
10,2,5,8,5,9,east,4,0,4,0,61,79,7,3,3,8,3628
10,2,5,9,6,9,east,5,0,4,0,82,76,8,4,4,8,4064
10,2,5,10,7,9,east,6,0,4,0,109,74,8,5,5,8,4346
10,2,6,1,2,6,south,0,0,0,1,1,97,1,1,1,0,588
10,2,6,2,2,5,east,1,0,0,1,4,94,2,1,1,2,1154
10,2,6,3,3,5,east,2,0,0,1,7,91,3,2,2,2,1698
10,2,6,4,4,5,north,2,0,1,1,15,88,3,3,2,4,2218
10,2,6,5,4,6,north,2,0,2,1,18,86,3,3,2,6,2546
10,2,6,6,4,7,north,2,0,3,1,29,83,4,3,3,7,3028
10,2,6,7,4,8,north,2,0,4,1,42,81,5,4,3,7,3340
10,2,6,8,4,9,east,3,0,4,1,59,79,6,3,3,9,3624
10,2,6,9,5,9,east,4,0,4,1,83,76,7,4,3,10,4050
10,2,6,10,6,9,east,5,0,4,1,113,74,7,5,4,10,4334
10,2,7,1,2,7,south,0,0,0,1,1,97,1,1,1,0,588
10,2,7,2,2,6,south,0,0,0,2,2,94,2,2,2,0,1152
10,2,7,3,2,5,east,1,0,0,2,7,91,3,2,2,2,1698
10,2,7,4,3,5,east,2,0,0,2,14,88,4,2,2,4,2216
10,2,7,5,4,5,north,2,0,1,2,18,86,3,3,2,6,2546
10,2,7,6,4,6,north,2,0,2,2,30,83,4,3,2,8,3018
10,2,7,7,4,7,north,2,0,3,2,37,81,4,3,3,9,3324
10,2,7,8,4,8,north,2,0,4,2,57,79,5,3,3,10,3616
10,2,7,9,4,9,east,3,0,4,2,80,76,6,4,3,11,4042
10,2,7,10,5,9,east,4,0,4,2,110,74,7,5,3,11,4320
10,3,0,1,3,0,north,0,0,1,0,1,97,1,1,1,0,588
10,3,0,2,3,1,east,1,0,1,0,4,94,2,1,1,2,1154
10,3,0,3,4,1,north,1,0,2,0,7,91,3,2,2,2,1698
10,3,0,4,4,2,north,1,0,3,0,12,88,4,3,3,2,2218
10,3,0,5,4,3,north,1,0,4,0,19,86,4,4,4,2,2552
10,3,0,6,4,4,north,1,0,5,0,26,83,5,5,4,3,3036
10,3,0,7,4,5,north,1,0,6,0,38,81,6,5,5,3,3344
10,3,0,8,4,6,north,1,0,7,0,51,78,7,6,6,3,3786
10,3,0,9,4,7,north,1,0,8,0,72,76,7,7,6,4,4074
10,3,0,10,4,8,north,1,0,9,0,96,74,8,7,7,4,4346
10,3,1,1,3,1,east,1,0,0,0,1,97,1,1,1,0,588
10,3,1,2,4,1,north,1,0,1,0,4,94,2,1,1,2,1154
10,3,1,3,4,2,north,1,0,2,0,7,91,3,2,2,2,1698
10,3,1,4,4,3,north,1,0,3,0,12,88,4,3,3,2,2218
10,3,1,5,4,4,north,1,0,4,0,19,86,4,4,4,2,2552
10,3,1,6,4,5,north,1,0,5,0,26,83,5,5,4,3,3036
10,3,1,7,4,6,north,1,0,6,0,38,81,6,5,5,3,3344
10,3,1,8,4,7,north,1,0,7,0,51,78,7,6,6,3,3786
10,3,1,9,4,8,north,1,0,8,0,72,76,7,7,6,4,4074
10,3,1,10,4,9,east,2,0,8,0,101,74,8,7,6,5,4350
10,3,2,1,3,2,east,1,0,0,0,1,97,1,1,1,0,588
10,3,2,2,4,2,north,1,0,1,0,4,94,2,1,1,2,1154
10,3,2,3,4,3,north,1,0,2,0,7,91,3,2,2,2,1698
10,3,2,4,4,4,north,1,0,3,0,12,88,4,3,3,2,2218
10,3,2,5,4,5,north,1,0,4,0,19,86,4,4,4,2,2552
10,3,2,6,4,6,north,1,0,5,0,26,83,5,5,4,3,3036
10,3,2,7,4,7,north,1,0,6,0,38,81,6,5,5,3,3344
10,3,2,8,4,8,north,1,0,7,0,51,78,7,6,6,3,3786
10,3,2,9,4,9,east,2,0,7,0,68,76,7,6,6,5,4078
10,3,2,10,5,9,east,3,0,7,0,105,74,8,6,5,7,4350
10,3,4,1,3,4,north,0,0,1,0,1,97,1,1,1,0,588
10,3,4,2,3,5,east,1,0,1,0,4,94,2,1,1,2,1154
10,3,4,3,4,5,north,1,0,2,0,7,91,3,2,2,2,1698
10,3,4,4,4,6,north,1,0,3,0,12,88,4,3,3,2,2218
10,3,4,5,4,7,north,1,0,4,0,19,86,4,4,4,2,2552
10,3,4,6,4,8,north,1,0,5,0,26,83,5,5,4,3,3036
10,3,4,7,4,9,east,2,0,5,0,41,81,6,4,4,5,3346
10,3,4,8,5,9,east,3,0,5,0,58,79,7,4,4,6,3642
10,3,4,9,6,9,east,4,0,5,0,82,76,8,4,4,8,4064
10,3,4,10,7,9,east,5,0,5,0,112,74,8,4,4,10,4328
10,3,5,1,3,5,east,1,0,0,0,1,97,1,1,1,0,588
10,3,5,2,4,5,north,1,0,1,0,4,94,2,1,1,2,1154
10,3,5,3,4,6,north,1,0,2,0,7,91,3,2,2,2,1698
10,3,5,4,4,7,north,1,0,3,0,12,88,4,3,3,2,2218
10,3,5,5,4,8,north,1,0,4,0,19,86,4,4,4,2,2552
10,3,5,6,4,9,east,2,0,4,0,28,83,5,4,4,4,3038
10,3,5,7,5,9,east,3,0,4,0,43,81,6,4,3,6,3342
10,3,5,8,6,9,east,4,0,4,0,61,79,7,3,3,8,3628
10,3,5,9,7,9,east,5,0,4,0,82,76,8,4,4,8,4064
10,3,5,10,8,9,east,6,0,4,0,109,74,8,5,5,8,4346
10,3,6,1,3,6,east,1,0,0,0,1,97,1,1,1,0,588
10,3,6,2,4,6,north,1,0,1,0,4,94,2,1,1,2,1154
10,3,6,3,4,7,north,1,0,2,0,7,91,3,2,2,2,1698
10,3,6,4,4,8,north,1,0,3,0,12,88,4,3,3,2,2218
10,3,6,5,4,9,east,2,0,3,0,21,86,4,3,3,4,2554
10,3,6,6,5,9,east,3,0,3,0,31,83,5,3,3,6,3032
10,3,6,7,6,9,east,4,0,3,0,43,81,6,4,3,6,3342
10,3,6,8,7,9,east,5,0,3,0,58,79,7,4,4,6,3642
10,3,6,9,8,9,east,6,0,3,0,76,76,7,5,5,7,4076
10,3,8,1,3,8,east,1,0,0,0,1,97,1,1,1,0,588
10,3,8,2,4,8,north,1,0,1,0,4,94,2,1,1,2,1154
10,3,8,3,4,9,east,2,0,1,0,7,91,3,2,2,2,1698
10,3,8,4,5,9,east,3,0,1,0,12,88,4,3,3,2,2218
10,3,8,5,6,9,east,4,0,1,0,19,86,4,4,4,2,2552
10,3,8,6,7,9,east,5,0,1,0,26,83,5,5,4,3,3036
10,3,8,7,8,9,east,6,0,1,0,38,81,6,5,5,3,3344
10,4,0,1,4,0,north,0,0,1,0,1,97,1,1,1,0,588
10,4,0,2,4,1,north,0,0,2,0,2,94,2,2,2,0,1152
10,4,0,3,4,2,north,0,0,3,0,5,91,3,3,3,0,1692
10,4,0,4,4,3,north,0,0,4,0,9,88,4,4,4,0,2208
10,4,0,5,4,4,north,0,0,5,0,16,86,5,4,4,1,2546
10,4,0,6,4,5,north,0,0,6,0,22,83,6,5,5,1,3024
10,4,0,7,4,6,north,0,0,7,0,34,81,6,6,6,1,3330
10,4,0,8,4,7,north,0,0,8,0,46,78,7,7,6,2,3778
10,4,0,9,4,8,north,0,0,9,0,67,76,8,7,7,2,4058
10,4,0,10,4,9,east,1,0,9,0,96,74,8,7,7,4,4346
10,4,1,1,4,1,north,0,0,1,0,1,97,1,1,1,0,588
10,4,1,2,4,2,north,0,0,2,0,2,94,2,2,2,0,1152
10,4,1,3,4,3,north,0,0,3,0,5,91,3,3,3,0,1692
10,4,1,4,4,4,north,0,0,4,0,9,88,4,4,4,0,2208
10,4,1,5,4,5,north,0,0,5,0,16,86,5,4,4,1,2546
10,4,1,6,4,6,north,0,0,6,0,22,83,6,5,5,1,3024
10,4,1,7,4,7,north,0,0,7,0,34,81,6,6,6,1,3330
10,4,1,8,4,8,north,0,0,8,0,46,78,7,7,6,2,3778
10,4,1,9,4,9,east,1,0,8,0,72,76,7,7,6,4,4074
10,4,1,10,5,9,east,2,0,8,0,101,74,8,7,6,5,4350
10,4,2,1,4,2,north,0,0,1,0,1,97,1,1,1,0,588
10,4,2,2,4,3,north,0,0,2,0,2,94,2,2,2,0,1152
10,4,2,3,4,4,north,0,0,3,0,5,91,3,3,3,0,1692
10,4,2,4,4,5,north,0,0,4,0,9,88,4,4,4,0,2208
10,4,2,5,4,6,north,0,0,5,0,16,86,5,4,4,1,2546
10,4,2,6,4,7,north,0,0,6,0,22,83,6,5,5,1,3024
10,4,2,7,4,8,north,0,0,7,0,34,81,6,6,6,1,3330
10,4,2,8,4,9,east,1,0,7,0,51,78,7,6,6,3,3786
10,4,2,9,5,9,east,2,0,7,0,68,76,7,6,6,5,4078
10,4,2,10,6,9,east,3,0,7,0,105,74,8,6,5,7,4350
10,4,3,1,4,3,north,0,0,1,0,1,97,1,1,1,0,588
10,4,3,2,4,4,north,0,0,2,0,2,94,2,2,2,0,1152
10,4,3,3,4,5,north,0,0,3,0,5,91,3,3,3,0,1692
10,4,3,4,4,6,north,0,0,4,0,9,88,4,4,4,0,2208
10,4,3,5,4,7,north,0,0,5,0,16,86,5,4,4,1,2546
10,4,3,6,4,8,north,0,0,6,0,22,83,6,5,5,1,3024
10,4,3,7,4,9,east,1,0,6,0,38,81,6,5,5,3,3344
10,4,3,8,5,9,east,2,0,6,0,55,78,7,5,5,5,3792
10,4,3,9,6,9,east,3,0,6,0,76,76,7,5,5,7,4076
10,4,3,10,7,9,east,4,0,6,0,109,74,8,5,5,8,4346
10,4,4,1,4,4,north,0,0,1,0,1,97,1,1,1,0,588
10,4,4,2,4,5,north,0,0,2,0,2,94,2,2,2,0,1152
10,4,4,3,4,6,north,0,0,3,0,5,91,3,3,3,0,1692
10,4,4,4,4,7,north,0,0,4,0,9,88,4,4,4,0,2208
10,4,4,5,4,8,north,0,0,5,0,16,86,5,4,4,1,2546
10,4,4,6,4,9,east,1,0,5,0,26,83,5,5,4,3,3036
10,4,4,7,5,9,east,2,0,5,0,41,81,6,4,4,5,3346
10,4,4,8,6,9,east,3,0,5,0,58,79,7,4,4,6,3642
10,4,4,9,7,9,east,4,0,5,0,82,76,8,4,4,8,4064
10,4,4,10,8,9,east,5,0,5,0,112,74,8,4,4,10,4328
