belief_state,b1,b2,b3,b4,other,gini_uncertainty,state_occurrences,same_gini_occurrences
1,97,1,1,1,0,588,6188,6188
2,94,2,2,2,0,1152,3193,3193
4,94,2,1,1,2,1154,2854,2854
5,91,3,3,3,0,1692,1776,1776
7,91,3,2,2,2,1698,4105,4105
9,88,4,4,4,0,2208,1012,1012
12,88,4,3,3,2,2218,2819,3216
14,88,4,2,2,4,2216,1463,1463
15,88,3,3,2,4,2218,397,3216
16,86,5,4,4,1,2546,595,955
18,86,3,3,2,6,2546,360,955
19,86,4,4,4,2,2552,1851,1851
21,86,4,3,3,4,2554,2664,2664
22,83,6,5,5,1,3024,342,342
25,83,3,3,3,8,3020,4,4
26,83,5,5,4,3,3036,1184,1184
28,83,5,4,4,4,3038,1520,1520
29,83,4,3,3,7,3028,213,213
30,83,4,3,2,8,3018,73,73
31,83,5,3,3,6,3032,838,838
32,83,4,4,3,6,3034,542,542
33,84,4,4,4,4,2880,525,525
34,81,6,6,6,1,3330,178,178
36,81,5,4,4,6,3346,569,1639
37,81,4,3,3,9,3324,103,103
38,81,6,5,5,3,3344,709,709
39,81,5,5,4,5,3348,467,467
40,81,4,4,3,8,3334,138,138
41,81,6,4,4,5,3346,1070,1639
42,81,5,4,3,7,3340,136,136
43,81,6,4,3,6,3342,1262,1262
44,81,5,3,3,8,3332,326,326
46,78,7,7,6,2,3778,84,84
51,78,7,6,6,3,3786,397,397
54,79,4,4,3,10,3618,28,28
55,78,7,5,5,5,3792,695,695
56,79,6,4,4,7,3642,92,1044
57,79,5,3,3,10,3616,70,70
58,79,7,4,4,6,3642,952,1044
59,79,6,3,3,9,3624,207,207
60,79,5,4,3,9,3628,182,680
61,79,7,3,3,8,3628,498,680
62,79,6,4,3,8,3634,371,371
63,79,5,5,3,8,3636,158,158
64,79,6,5,4,6,3646,565,565
65,78,6,6,5,5,3794,349,349
67,76,8,7,7,2,4058,31,51
68,76,7,6,6,5,4078,656,1152
72,76,7,7,6,4,4074,188,188
76,76,7,5,5,7,4076,690,690
77,76,6,4,4,10,4056,29,29
78,77,5,4,3,11,3900,41,41
79,76,7,4,4,9,4062,150,150
80,76,6,4,3,11,4042,140,140
81,76,5,5,3,11,4044,32,32
82,76,8,4,4,8,4064,798,798
83,76,7,4,3,10,4050,248,248
84,76,6,5,3,10,4054,181,181
85,76,7,5,4,8,4070,383,383
86,76,6,6,4,8,4072,181,181
87,76,6,6,5,7,4078,496,1152
88,76,5,5,4,10,4058,20,51
89,76,6,5,4,9,4066,40,40
91,74,7,7,7,5,4352,125,125
92,74,7,6,6,7,4354,367,367
93,74,6,6,5,9,4346,30,678
96,74,8,7,7,4,4346,80,678
99,74,6,5,5,10,4338,15,15
100,74,5,4,4,13,4298,1,1
101,74,8,7,6,5,4350,228,1245
102,74,7,6,5,8,4350,591,1245
103,74,6,4,4,12,4312,58,58
104,74,5,5,3,13,4296,9,9
105,74,8,6,5,7,4350,426,1245
106,74,7,5,5,9,4344,93,93
107,74,7,4,4,11,4322,254,314
108,74,6,5,3,12,4310,61,61
109,74,8,5,5,8,4346,568,678
110,74,7,5,3,11,4320,109,109
111,74,6,6,3,11,4322,60,314
112,74,8,4,4,10,4328,312,312
113,74,7,5,4,10,4334,257,257
114,74,6,6,4,10,4336,234,234
116,74,6,5,4,11,4326,67,67
