x,y,direction
0,0,east
0,1,south
0,2,south
0,3,south
0,4,south
0,5,south
0,6,south
0,8,east
0,9,east
1,0,east
1,1,south
1,4,west
1,5,west
1,7,north
1,8,east
1,9,south
2,0,east
2,1,south
2,3,east
2,5,west
2,7,east
2,8,east
2,9,south
3,0,east
3,1,south
3,2,south
3,3,south
3,4,south
3,5,south
3,7,east
3,8,east
4,0,east
4,1,south
4,2,west
4,4,west
4,6,north
4,7,north
4,8,north
4,9,east
5,0,east
5,3,east
5,7,east
5,9,east
6,0,north
6,1,north
6,2,north
6,3,north
6,4,north
6,5,north
6,6,north
6,7,north
6,8,north
6,9,east
7,0,west
7,3,west
7,5,west
7,7,west
7,8,north
7,9,east
8,0,north
8,1,north
8,2,north
8,3,north
8,4,north
8,5,north
8,6,north
8,7,west
8,9,east
9,0,west
9,2,west
9,3,west
9,5,west
9,6,west
9,8,north
