policy_index,scope,num_decisions,c_1_count,c_2_count,c_3_count,c_4_count,c_5_count,c_6_count,c_7_count,c_8_count,c_9_count,c_10_count,c_7_10_count,c_7_10_fraction,mean_c,objective_1,objective_2
0,all_decisions,100,16,12,9,13,12,9,5,10,10,4,29,0.29,4.78,0.863,54.294
1,all_decisions,100,4,7,6,10,13,15,9,11,14,11,45,0.45,6.18,0.669,26.39
2,all_decisions,100,6,6,6,11,14,14,9,10,12,12,43,0.43,6.05,0.669,26.39
3,all_decisions,100,16,12,9,13,12,9,5,10,10,4,29,0.29,4.78,0.863,54.294
4,all_decisions,100,6,10,10,7,11,10,11,12,15,8,46,0.46,5.87,0.82,38.813
5,all_decisions,100,11,7,11,11,14,8,7,10,10,11,38,0.38,5.49,0.853,49.184
6,all_decisions,100,14,11,10,8,11,14,7,10,10,5,32,0.32,5.06,0.858,53.184
7,all_decisions,100,8,8,13,7,14,11,11,9,9,10,39,0.39,5.57,0.84,48.237
8,all_decisions,100,17,6,8,9,16,10,9,9,6,10,34,0.34,5.18,0.837,44.493
9,all_decisions,100,6,12,9,8,16,9,14,13,6,7,40,0.4,5.49,0.832,42.492
10,all_decisions,100,5,8,7,7,12,18,15,12,8,8,43,0.43,5.91,0.735,30.7
11,all_decisions,100,7,8,4,10,15,16,9,12,11,8,40,0.4,5.84,0.674,26.732
12,all_decisions,100,7,8,7,7,9,15,14,15,9,9,47,0.47,5.96,0.695,26.733
13,all_decisions,100,12,7,7,6,8,13,13,12,10,12,47,0.47,5.86,0.814,37.664
14,all_decisions,100,11,7,14,8,13,12,10,10,7,8,35,0.35,5.29,0.844,49.129
15,all_decisions,100,9,8,5,10,10,10,16,9,12,11,48,0.48,5.92,0.728,28.776
16,all_decisions,100,6,13,2,10,11,10,10,11,17,10,48,0.48,6.04,0.801,37.618
17,all_decisions,100,6,12,5,13,13,11,8,12,11,9,40,0.4,5.69,0.789,35.096
18,all_decisions,100,10,8,9,5,13,11,10,15,9,10,44,0.44,5.75,0.832,42.492
19,all_decisions,100,12,5,8,7,14,9,8,18,9,10,45,0.45,5.79,0.797,36.652
20,all_decisions,100,18,7,3,9,14,8,9,11,11,10,41,0.41,5.45,0.837,44.493
21,all_decisions,100,11,8,9,7,13,11,10,13,9,9,41,0.41,5.58,0.836,43.359
22,all_decisions,100,9,10,2,12,10,9,9,14,13,12,48,0.48,5.99,0.749,31.513
23,all_decisions,100,8,8,6,11,14,16,11,6,11,9,37,0.37,5.66,0.757,31.546
24,all_decisions,100,10,5,9,8,15,9,9,15,9,11,44,0.44,5.82,0.797,36.652
25,all_decisions,100,6,13,4,13,14,12,8,11,11,8,38,0.38,5.61,0.789,35.096
26,all_decisions,100,10,9,5,7,14,7,11,16,9,12,48,0.48,5.89,0.772,32.369
27,all_decisions,100,9,8,12,8,14,11,11,8,9,10,38,0.38,5.51,0.842,48.512
28,all_decisions,100,10,5,5,9,11,9,15,9,14,13,51,0.51,6.13,0.728,28.776
29,all_decisions,100,4,13,4,10,12,10,12,12,17,6,47,0.47,5.95,0.765,32.224
30,all_decisions,100,15,7,12,11,9,13,4,11,13,5,33,0.33,5.15,0.862,54.097
31,all_decisions,100,13,8,12,10,12,12,3,13,11,6,33,0.33,5.21,0.859,53.205
32,all_decisions,100,10,9,7,13,7,10,11,11,11,11,44,0.44,5.7,0.785,34.699
33,all_decisions,100,8,7,7,6,12,12,11,14,14,9,48,0.48,6.04,0.715,27.745
34,all_decisions,100,14,8,13,6,14,10,7,10,9,9,35,0.35,5.23,0.836,43.359
35,all_decisions,100,7,9,8,9,11,14,9,12,13,8,42,0.42,5.8,0.833,42.511
36,all_decisions,100,11,6,8,9,12,10,11,11,10,12,44,0.44,5.78,0.818,38.511
37,all_decisions,100,5,10,2,8,14,10,9,15,16,11,51,0.51,6.3,0.71,27.626
38,all_decisions,100,6,11,8,10,19,14,12,6,2,12,32,0.32,5.41,0.774,32.682
39,all_decisions,100,9,7,12,10,7,10,10,15,13,7,45,0.45,5.71,0.784,33.959
40,all_decisions,100,4,10,2,6,10,13,13,19,12,11,55,0.55,6.43,0.74,31.086
41,all_decisions,100,8,7,7,9,13,8,14,7,14,13,48,0.48,6.02,0.777,32.911
42,all_decisions,100,6,6,5,7,13,14,12,17,13,7,49,0.49,6.17,0.724,28.442
43,all_decisions,100,11,7,11,11,14,8,7,10,10,11,38,0.38,5.49,0.853,49.184
44,all_decisions,100,6,9,4,5,12,14,7,17,14,12,50,0.5,6.31,0.671,26.478
45,all_decisions,100,6,6,5,7,13,14,12,17,13,7,49,0.49,6.17,0.724,28.442
46,all_decisions,100,14,11,10,8,11,14,7,10,10,5,32,0.32,5.06,0.858,53.184
47,all_decisions,100,10,10,5,3,11,16,11,13,11,10,45,0.45,5.88,0.739,30.969
48,all_decisions,100,7,10,7,12,16,16,14,7,6,5,32,0.32,5.3,0.76,31.642
49,all_decisions,100,10,10,9,8,11,10,10,14,11,7,42,0.42,5.55,0.784,33.959
50,all_decisions,100,9,9,10,8,15,12,8,10,12,7,37,0.37,5.5,0.783,33.416
51,all_decisions,100,5,7,5,9,12,16,9,12,14,11,46,0.46,6.21,0.672,26.709
52,all_decisions,100,7,9,7,11,14,18,14,7,8,5,34,0.34,5.44,0.707,27.371
53,all_decisions,100,5,6,5,11,12,9,13,13,14,12,52,0.52,6.31,0.705,27.169
54,all_decisions,100,8,7,9,8,11,11,12,11,11,12,46,0.46,5.93,0.817,38.022
55,all_decisions,100,15,7,12,11,9,13,4,11,13,5,33,0.33,5.15,0.862,54.097
56,all_decisions,100,4,11,5,11,12,11,11,11,15,9,46,0.46,6.01,0.763,32.133
57,all_decisions,100,8,11,5,10,10,12,9,12,11,12,44,0.44,5.85,0.762,31.819
58,all_decisions,100,8,4,5,12,11,8,14,11,12,15,52,0.52,6.26,0.72,28.124
59,all_decisions,100,9,8,9,8,9,10,8,15,15,9,47,0.47,5.9,0.819,38.701
60,all_decisions,100,6,13,2,8,10,11,10,11,19,10,50,0.5,6.15,0.8,37.53
61,all_decisions,100,7,8,8,11,14,17,15,8,6,6,35,0.35,5.46,0.744,31.115
62,all_decisions,100,8,8,7,12,13,10,9,14,11,8,42,0.42,5.72,0.781,33.32
63,all_decisions,100,9,11,12,4,12,10,13,13,7,9,42,0.42,5.51,0.841,48.255
64,all_decisions,100,8,9,5,9,13,10,11,10,15,10,46,0.46,5.94,0.727,28.647
65,all_decisions,100,6,8,5,9,9,11,11,10,17,14,52,0.52,6.34,0.799,37.32
66,all_decisions,100,15,7,6,8,12,9,7,15,11,10,43,0.43,5.61,0.798,36.904
67,all_decisions,100,8,8,7,12,13,10,9,14,11,8,42,0.42,5.72,0.781,33.32
68,all_decisions,100,10,7,5,11,14,7,14,5,15,12,46,0.46,5.88,0.777,32.911
69,all_decisions,100,6,5,6,14,19,10,11,8,7,14,40,0.4,5.89,0.776,32.69
70,all_decisions,100,6,10,2,9,15,9,8,17,15,9,49,0.49,6.14,0.748,31.34
71,all_decisions,100,8,10,2,6,11,16,12,14,11,10,47,0.47,6.04,0.697,26.794
72,all_decisions,100,8,4,5,10,15,13,11,9,11,14,45,0.45,6.12,0.716,27.784
73,all_decisions,100,6,11,5,9,12,12,10,11,14,10,45,0.45,5.95,0.704,27.131
74,all_decisions,100,9,4,5,9,16,11,11,11,8,16,46,0.46,6.11,0.719,28.104
75,all_decisions,100,4,8,5,11,19,10,14,12,6,11,43,0.43,5.92,0.716,27.784
76,all_decisions,100,6,5,5,11,14,9,18,11,8,13,50,0.5,6.15,0.72,28.124
77,all_decisions,100,10,10,10,7,13,12,9,11,11,7,38,0.38,5.45,0.786,34.703
78,all_decisions,100,9,6,6,10,13,10,10,12,12,12,46,0.46,5.98,0.816,37.853
79,all_decisions,100,10,11,6,9,15,14,10,10,7,8,35,0.35,5.38,0.787,34.87
80,all_decisions,100,11,9,12,9,11,13,3,14,13,5,35,0.35,5.34,0.859,53.205
81,all_decisions,100,5,8,5,12,19,9,15,9,5,13,42,0.42,5.85,0.719,28.104
82,all_decisions,100,7,8,8,9,9,13,7,13,17,9,46,0.46,6.02,0.833,42.511
83,all_decisions,100,5,10,12,7,16,13,12,11,8,6,37,0.37,5.51,0.84,48.237
84,all_decisions,100,9,5,5,11,8,15,10,10,13,14,47,0.47,6.15,0.701,26.866
85,all_decisions,100,8,6,5,10,10,14,12,11,14,10,47,0.47,6.07,0.7,26.855
86,all_decisions,100,10,9,5,7,14,7,11,16,9,12,48,0.48,5.89,0.772,32.369
87,all_decisions,100,7,8,5,7,13,16,11,14,10,9,44,0.44,5.96,0.739,30.969
88,all_decisions,100,10,8,5,11,9,12,9,12,14,10,45,0.45,5.87,0.704,27.131
89,all_decisions,100,9,5,5,11,8,15,10,10,13,14,47,0.47,6.15,0.701,26.866
90,all_decisions,100,10,11,4,7,13,11,8,12,14,10,44,0.44,5.81,0.71,27.626
91,all_decisions,100,13,7,4,7,11,7,8,17,14,12,51,0.51,6.02,0.798,36.904
92,all_decisions,100,10,9,10,7,13,13,9,11,11,7,38,0.38,5.49,0.782,33.328
93,all_decisions,100,7,11,4,5,12,14,11,12,15,9,47,0.47,6.03,0.764,32.141
94,all_decisions,100,12,13,7,9,17,14,9,6,7,6,28,0.28,4.98,0.787,34.87
95,all_decisions,100,6,6,6,9,13,15,13,12,12,8,45,0.45,6.02,0.759,31.56
96,all_decisions,100,11,7,6,11,11,19,10,9,8,8,35,0.35,5.5,0.708,27.412
97,all_decisions,100,7,10,8,7,11,11,15,9,11,11,46,0.46,5.86,0.799,37.32
98,all_decisions,100,8,12,7,9,11,12,13,9,13,6,41,0.41,5.56,0.727,28.647
99,all_decisions,100,10,8,4,5,13,14,9,13,14,10,46,0.46,6.0,0.697,26.794
