policy_index,scope,num_decisions,c_1_count,c_2_count,c_3_count,c_4_count,c_5_count,c_6_count,c_7_count,c_8_count,c_9_count,c_10_count,c_7_10_count,c_7_10_fraction,mean_c,objective_1,objective_2
0,mape_positions,74,12,10,6,6,10,7,5,9,6,3,23,0.3108108108108108,4.824324324324325,0.863,54.294
1,mape_positions,74,4,5,4,9,6,12,7,7,11,9,34,0.4594594594594595,6.1891891891891895,0.669,26.39
2,mape_positions,74,6,4,4,10,9,9,7,6,9,10,32,0.43243243243243246,5.986486486486487,0.669,26.39
3,mape_positions,74,12,10,6,6,10,7,5,9,6,3,23,0.3108108108108108,4.824324324324325,0.863,54.294
4,mape_positions,74,3,6,8,5,9,7,9,11,11,5,36,0.4864864864864865,6.027027027027027,0.82,38.813
5,mape_positions,74,7,4,8,9,11,5,5,8,9,8,30,0.40540540540540543,5.675675675675675,0.853,49.184
6,mape_positions,74,12,10,8,5,7,10,4,9,6,3,22,0.2972972972972973,4.797297297297297,0.858,53.184
7,mape_positions,74,6,7,10,5,8,8,8,7,8,7,30,0.40540540540540543,5.5675675675675675,0.84,48.237
8,mape_positions,74,11,4,6,6,13,5,7,7,6,9,29,0.3918918918918919,5.472972972972973,0.837,44.493
9,mape_positions,74,4,6,8,6,13,6,12,11,6,2,31,0.4189189189189189,5.554054054054054,0.832,42.492
10,mape_positions,74,5,6,4,5,6,13,13,10,7,5,35,0.47297297297297297,5.95945945945946,0.735,30.7
11,mape_positions,74,6,7,1,7,9,12,8,10,8,6,32,0.43243243243243246,5.891891891891892,0.674,26.732
12,mape_positions,74,7,5,4,6,4,11,12,12,6,7,37,0.5,5.986486486486487,0.695,26.733
13,mape_positions,74,9,5,5,6,6,9,10,11,6,7,34,0.4594594594594595,5.72972972972973,0.814,37.664
14,mape_positions,74,8,6,10,6,8,7,9,8,6,6,29,0.3918918918918919,5.364864864864865,0.844,49.129
15,mape_positions,74,8,5,3,8,7,9,11,8,8,7,34,0.4594594594594595,5.824324324324325,0.728,28.776
16,mape_positions,74,4,8,2,6,7,7,8,9,13,10,40,0.5405405405405406,6.378378378378378,0.801,37.618
17,mape_positions,74,5,9,4,10,7,9,7,9,7,7,30,0.40540540540540543,5.648648648648648,0.789,35.096
18,mape_positions,74,8,5,7,4,10,7,7,12,9,5,33,0.44594594594594594,5.716216216216216,0.832,42.492
19,mape_positions,74,7,3,6,6,10,5,6,14,8,9,37,0.5,6.094594594594595,0.797,36.652
20,mape_positions,74,9,4,2,7,11,5,8,10,8,10,36,0.4864864864864865,6.0,0.837,44.493
21,mape_positions,74,8,5,7,5,11,9,8,10,7,4,29,0.3918918918918919,5.5,0.836,43.359
22,mape_positions,74,7,3,2,9,8,6,9,12,8,10,39,0.527027027027027,6.243243243243243,0.749,31.513
23,mape_positions,74,8,7,4,10,9,11,8,5,7,5,25,0.33783783783783783,5.324324324324325,0.757,31.546
24,mape_positions,74,6,3,7,6,11,5,7,11,9,9,36,0.4864864864864865,6.081081081081081,0.797,36.652
25,mape_positions,74,5,10,3,10,8,10,7,8,7,6,28,0.3783783783783784,5.54054054054054,0.789,35.096
26,mape_positions,74,7,6,4,5,11,7,8,12,5,9,34,0.4594594594594595,5.878378378378378,0.772,32.369
27,mape_positions,74,6,7,10,6,8,8,8,6,8,7,29,0.3918918918918919,5.513513513513513,0.842,48.512
