policy_index,scope,num_decisions,c_1_count,c_2_count,c_3_count,c_4_count,c_5_count,c_6_count,c_7_count,c_8_count,c_9_count,c_10_count,c_7_10_count,c_7_10_fraction,mean_c,objective_1,objective_2
0,nominal_path,18,4,3,2,1,0,2,2,2,1,1,6,0.3333333333333333,4.5,0.863,54.294
1,nominal_path,18,0,1,0,1,2,2,3,2,3,4,12,0.6666666666666666,7.333333333333333,0.669,26.39
2,nominal_path,18,0,0,0,1,3,2,3,1,4,4,12,0.6666666666666666,7.555555555555555,0.669,26.39
3,nominal_path,18,4,3,2,1,0,2,2,2,1,1,6,0.3333333333333333,4.5,0.863,54.294
4,nominal_path,18,1,2,0,0,0,2,6,4,2,1,13,0.7222222222222222,6.611111111111111,0.82,38.813
5,nominal_path,18,3,1,0,1,3,1,2,1,4,2,9,0.5,6.0,0.853,49.184
6,nominal_path,18,1,5,2,1,0,4,2,2,0,1,5,0.2777777777777778,4.722222222222222,0.858,53.184
7,nominal_path,18,1,3,2,1,1,2,2,2,2,2,8,0.4444444444444444,5.666666666666667,0.84,48.237
8,nominal_path,18,3,0,0,1,3,2,3,1,1,4,9,0.5,6.222222222222222,0.837,44.493
9,nominal_path,18,0,3,1,2,1,2,4,2,2,1,9,0.5,5.888888888888889,0.832,42.492
10,nominal_path,18,0,1,1,0,0,2,6,3,2,3,14,0.7777777777777778,7.277777777777778,0.735,30.7
11,nominal_path,18,0,1,0,1,3,3,2,2,2,4,10,0.5555555555555556,7.055555555555555,0.674,26.732
12,nominal_path,18,0,0,0,1,1,4,6,2,2,2,12,0.6666666666666666,7.166666666666667,0.695,26.733
13,nominal_path,18,0,1,0,1,0,3,5,3,2,3,13,0.7222222222222222,7.277777777777778,0.814,37.664
14,nominal_path,18,2,3,2,0,1,2,3,2,2,1,8,0.4444444444444444,5.333333333333333,0.844,49.129
15,nominal_path,18,0,0,1,0,2,2,6,2,2,3,13,0.7222222222222222,7.277777777777778,0.728,28.776
16,nominal_path,18,0,3,1,1,0,2,3,5,2,1,11,0.6111111111111112,6.333333333333333,0.801,37.618
17,nominal_path,18,1,2,0,1,2,2,5,3,2,0,10,0.5555555555555556,6.0,0.789,35.096
18,nominal_path,18,0,2,0,1,2,3,4,2,3,1,10,0.5555555555555556,6.5,0.832,42.492
19,nominal_path,18,0,1,2,2,1,0,4,2,4,2,12,0.6666666666666666,6.722222222222222,0.797,36.652
20,nominal_path,18,3,1,0,2,2,1,2,2,2,3,9,0.5,5.944444444444445,0.837,44.493
21,nominal_path,18,1,3,1,0,1,2,4,2,3,1,10,0.5555555555555556,6.0,0.836,43.359
22,nominal_path,18,0,0,1,1,1,1,4,4,3,3,14,0.7777777777777778,7.5,0.749,31.513
