map_id,reachable_beliefs,selected_k,tolerance_met,representation_mean_l1,representation_max_l1,transition_mean_l1,transition_max_l1,output_dir
10,643,400,1,0.015601733458637185,0.053027268001999944,0.017724230766614328,0.053027268001999944,full_belief_results\map_10
11,486,300,1,0.016770827026069964,0.0548234712,0.019452558316634852,0.0548234712,full_belief_results\map_11
12,734,400,1,0.01951329491641217,0.05540547920000001,0.021767110134721174,0.05540547920000001,full_belief_results\map_12
13,676,400,1,0.017472453621633976,0.05452526139000003,0.019587692617287843,0.05452526139000003,full_belief_results\map_13
14,707,400,1,0.018383137055915197,0.05635592938426183,0.020564680219196274,0.05635592938426183,full_belief_results\map_14
15,548,400,1,0.010500251855877838,0.04845743115868281,0.011987787535460532,0.04845743115868281,full_belief_results\map_15
16,717,400,1,0.019933558036688687,0.056454000000000004,0.022296975214205598,0.056454000000000004,full_belief_results\map_16
17,652,400,1,0.0159239577452454,0.05297511385447009,0.017962665138235294,0.05297511385447009,full_belief_results\map_17
18,698,400,1,0.018520896830400393,0.05507849820999987,0.02071728523656967,0.05507849820999987,full_belief_results\map_18
19,633,400,1,0.017004072917657636,0.06261935234047217,0.01905058080863236,0.06261935234047217,full_belief_results\map_19
20,494,300,1,0.017130215449466052,0.054760380000000025,0.01977179072905661,0.054760380000000025,full_belief_results\map_20
21,652,400,1,0.015823601750378783,0.05302726800200006,0.017880395738729578,0.05302726800200006,full_belief_results\map_21
22,652,400,1,0.016136531380129878,0.0530589850799999,0.018139686999732205,0.0530589850799999,full_belief_results\map_22
23,670,400,1,0.01712961882781723,0.05388157940000003,0.01928881447838243,0.05388157940000003,full_belief_results\map_23
24,743,500,1,0.013349289162530684,0.05227608409399998,0.014960063118793812,0.05227608409399998,full_belief_results\map_24
25,692,400,1,0.018707755712191524,0.0548648532,0.02091400153931589,0.0548648532,full_belief_results\map_25
26,571,400,1,0.011554062414310296,0.051147842192814194,0.013274385590686479,0.051147842192814194,full_belief_results\map_26
27,741,500,1,0.012749169559738559,0.05505413887809259,0.014270596138619748,0.05505413887809259,full_belief_results\map_27
28,656,400,1,0.016345658050077636,0.05338024043765232,0.01836087616584063,0.05338024043765232,full_belief_results\map_28
29,604,400,1,0.014215973039728401,0.05293391774112002,0.015989660551202895,0.05293391774112002,full_belief_results\map_29
30,620,400,1,0.01431554789933752,0.05268166802288777,0.016166921124934903,0.05268166802288777,full_belief_results\map_30
31,663,400,1,0.017188392567332313,0.05601595816696988,0.01931509198668021,0.05601595816696988,full_belief_results\map_31
32,699,400,1,0.0188477270488005,0.05505119360800005,0.02118096657091889,0.05505119360800005,full_belief_results\map_32
33,790,500,1,0.01533497477613125,0.054644370399999996,0.017086925349991098,0.054644370399999996,full_belief_results\map_33
34,670,400,1,0.01805694929194931,0.055536380000000024,0.020197255468457496,0.055536380000000024,full_belief_results\map_34
35,686,400,1,0.018262346870003436,0.05476038000000002,0.02050404247597767,0.05476038000000002,full_belief_results\map_35
36,673,400,1,0.017717092986203428,0.05608214451164714,0.0198066504646427,0.05608214451164714,full_belief_results\map_36
37,649,400,1,0.01643741524209394,0.05377714794600002,0.018424667516613067,0.05377714794600002,full_belief_results\map_37
38,661,400,1,0.017085214590773903,0.05452509655999994,0.019173729786929626,0.05452509655999994,full_belief_results\map_38
39,480,300,1,0.01608202476416187,0.0548648532,0.018690973091519847,0.0548648532,full_belief_results\map_39
40,501,300,1,0.01830220863543689,0.05578789700000001,0.020839560287167914,0.05578789700000001,full_belief_results\map_40
41,629,400,1,0.01491243258895356,0.05219665851180009,0.016779821285244703,0.05219665851180009,full_belief_results\map_41
42,540,400,1,0.010036172390548872,0.04772856896110059,0.011482061633255066,0.04772856896110059,full_belief_results\map_42
43,733,500,1,0.012550609837737939,0.05004426921108453,0.014023775931496812,0.05004426921108453,full_belief_results\map_43
44,759,500,1,0.013725790480167933,0.05199157334748551,0.0152979074514647,0.05199157334748551,full_belief_results\map_44
45,734,500,1,0.012561462880523197,0.05047589172360161,0.014055051454731748,0.05047589172360161,full_belief_results\map_45
46,672,400,1,0.016794237457702102,0.05487671942524623,0.018904066284046585,0.05487671942524623,full_belief_results\map_46
47,752,500,1,0.012820138267874667,0.04772839388405594,0.014261455587931581,0.04772839388405594,full_belief_results\map_47
48,734,500,1,0.01254634165923105,0.05605116057902518,0.014059564546374949,0.05605116057902518,full_belief_results\map_48
49,738,500,1,0.012863812981764942,0.05145801407267988,0.0143840817887008,0.05145801407267988,full_belief_results\map_49
50,658,400,1,0.01732086297625984,0.0546443704,0.01938287047343363,0.0546443704,full_belief_results\map_50
51,714,400,1,0.019593567411999222,0.05540547920000002,0.021859073644011635,0.05540547920000002,full_belief_results\map_51
52,626,400,1,0.01573463692453953,0.057859511714,0.017843990425293017,0.057859511714,full_belief_results\map_52
53,677,400,1,0.017831131516869707,0.05464437039999999,0.01995318353210048,0.05464437039999999,full_belief_results\map_53
54,739,500,1,0.013408147387301313,0.052540932837617134,0.015035843579993428,0.052540932837617134,full_belief_results\map_54
55,673,400,1,0.017750410952838677,0.05476038000000002,0.01977818968751727,0.05476038000000002,full_belief_results\map_55
56,514,300,1,0.017803092452872003,0.05482347120000001,0.02056357195680047,0.05482347120000001,full_belief_results\map_56
57,705,400,1,0.01935233623968842,0.05577464640000003,0.02165618579203228,0.05577464640000003,full_belief_results\map_57
58,652,400,1,0.015979024915535437,0.05364080295847991,0.018087368480779697,0.05364080295847991,full_belief_results\map_58
59,624,400,1,0.015325609152666354,0.05311756860000002,0.01713831561158388,0.05311756860000002,full_belief_results\map_59
60,711,500,1,0.012431478915422456,0.05293546573327992,0.013875638161484093,0.05293546573327992,full_belief_results\map_60
61,666,400,1,0.016483050860439687,0.05421020299540659,0.01851216167462535,0.05421020299540659,full_belief_results\map_61
62,691,400,1,0.01898372290644075,0.055592260501999946,0.021260538943842073,0.055592260501999946,full_belief_results\map_62
63,638,400,1,0.016193956888394093,0.056283241588622565,0.01831869591275786,0.056283241588622565,full_belief_results\map_63
64,573,400,1,0.012289988448302995,0.056708808731389185,0.01397254639063019,0.056708808731389185,full_belief_results\map_64
65,710,400,1,0.019620535128278237,0.05540547920000001,0.022007235293961373,0.05540547920000001,full_belief_results\map_65
66,746,500,1,0.013061854758632219,0.05209274513845874,0.014674915135451258,0.05209274513845874,full_belief_results\map_66
67,647,400,1,0.017031279223322027,0.05471443317364007,0.01903149854488662,0.05471443317364007,full_belief_results\map_67
68,697,400,1,0.018949051899840304,0.05555390000000001,0.021131982678701908,0.05555390000000001,full_belief_results\map_68
