k,representation_mean_l1,representation_max_l1,transition_mean_l1,transition_max_l1,selected
10,1.2686001860122107,1.9999997127140003,1.2096999454274395,1.9999055815239712,0
20,1.2132778288189845,1.9999784568,1.1802774170456878,1.9989753856,0
30,0.9918594513904476,1.9994371085999996,0.9640648318613463,1.9794523573999998,0
50,0.7422674705758394,1.9990114013461322,0.7483991199140616,1.96,0
75,0.11744817917129273,0.38197302020602,0.11978758128334077,0.32197302020602003,0
100,0.07446222424235881,0.22866164,0.07639063903844724,0.20866164,0
150,0.04854586265863085,0.1441597123128021,0.050589672784190305,0.1441597123128021,0
200,0.03777979129841317,0.10585310317599997,0.0401152570014372,0.10585310317599997,0
300,0.026020090126757107,0.05821199999999998,0.029239525006847393,0.05821199999999998,0
400,0.017188392567332313,0.05601595816696988,0.01931509198668021,0.05601595816696988,1
500,0.009493491795228935,0.04,0.010668110271587768,0.04,0
663,0.0,0.0,0.0,0.0,0
