map_id,start_x,start_y,target_x,target_y,p,max_steps_for_thresholds,thresholds,tau1,tau10,reachable_full_core_state_count,reachable_exact_belief_id_count,reachable_knowledge_context_count,reachable_xhat_yhat_count,reachable_physical_position_count,reachable_reset_position_count,update_behavior_count,skip_behavior_count,stochastic_move_branch_count,support_violations
10,0,0,9,9,0.01,10,"[588, 1138, 1650, 2127, 2574, 2991, 3381, 3745, 4085, 4403]",588,4403,21951,469,680,100,100,100,21845,17135,68129,60
11,0,0,9,9,0.01,10,"[588, 1136, 1650, 2127, 2574, 2991, 3381, 3745, 4086, 4403]",588,4403,17274,368,535,100,100,100,17168,13683,54364,93
12,0,0,9,9,0.01,10,"[588, 1138, 1650, 2127, 2571, 2991, 3379, 3744, 4085, 4403]",588,4403,25352,553,771,100,100,100,25243,19862,78903,159
13,0,0,9,9,0.01,10,"[588, 1138, 1650, 2127, 2574, 2991, 3379, 3743, 4084, 4403]",588,4403,23001,499,716,100,100,100,22895,17992,71488,161
14,0,0,9,9,0.01,10,"[588, 1136, 1650, 2127, 2572, 2991, 3380, 3746, 4092, 4419]",588,4419,24263,526,746,100,100,100,24154,19014,75528,123
15,0,0,9,9,0.01,10,"[588, 1138, 1650, 2127, 2573, 2990, 3379, 3744, 4085, 4405]",588,4405,16674,393,588,100,100,100,16568,12813,50889,101
16,0,0,9,9,0.01,10,"[588, 1136, 1650, 2127, 2574, 2991, 3381, 3744, 4086, 4403]",588,4403,25212,550,757,100,100,100,25103,19805,78693,125
17,0,0,9,9,0.01,10,"[588, 1138, 1650, 2127, 2574, 2992, 3381, 3746, 4086, 4405]",588,4405,23621,501,695,100,100,100,23515,18678,74242,60
18,0,0,9,9,0.01,10,"[588, 1138, 1650, 2127, 2574, 2991, 3381, 3746, 4086, 4405]",588,4405,24697,542,742,100,100,100,24588,19464,77331,50
19,0,0,9,9,0.01,10,"[588, 1138, 1650, 2127, 2574, 2992, 3384, 3756, 4102, 4426]",588,4426,22552,482,685,100,100,100,22443,17793,70682,58
