x,y,xhat,yhat,belief_id,uncertainty,branch,commanded_action,next_x,next_y,next_xhat,next_yhat,next_belief_id,probability
0,0,0,0,0,0,skip_move,east,0,0,1,0,1,0.02
0,0,0,0,0,0,skip_move,east,1,0,1,0,1,0.97
0,0,0,0,0,0,skip_move,east,0,1,1,0,1,0.01
0,0,1,0,1,586,skip_move,east,0,0,2,0,2,0.02
0,0,1,0,1,586,skip_move,east,1,0,2,0,2,0.97
0,0,1,0,1,586,skip_move,east,0,1,2,0,2,0.01
1,0,1,0,1,586,skip_move,east,0,0,2,0,2,0.01
1,0,1,0,1,586,skip_move,east,2,0,2,0,2,0.97
1,0,1,0,1,586,skip_move,east,1,0,2,0,2,0.01
1,0,1,0,1,586,skip_move,east,1,1,2,0,2,0.01
0,1,1,0,1,586,skip_move,east,0,1,2,0,2,0.01
0,1,1,0,1,586,skip_move,east,1,1,2,0,2,0.97
0,1,1,0,1,586,skip_move,east,0,0,2,0,2,0.01
0,1,1,0,1,586,skip_move,east,0,2,2,0,2,0.01
0,0,2,0,2,1134,update,,0,0,0,0,0,1.0
0,0,2,0,2,1134,skip_move,north,0,0,2,1,3,0.02
0,0,2,0,2,1134,skip_move,north,1,0,2,1,3,0.01
0,0,2,0,2,1134,skip_move,north,0,1,2,1,3,0.97
1,0,2,0,2,1134,update,,1,0,1,0,0,1.0
1,0,2,0,2,1134,skip_move,north,0,0,2,1,3,0.01
1,0,2,0,2,1134,skip_move,north,2,0,2,1,3,0.01
1,0,2,0,2,1134,skip_move,north,1,0,2,1,3,0.01
1,0,2,0,2,1134,skip_move,north,1,1,2,1,3,0.97
0,1,2,0,2,1134,update,,0,1,0,1,0,1.0
0,1,2,0,2,1134,skip_move,north,0,1,2,1,3,0.01
0,1,2,0,2,1134,skip_move,north,1,1,2,1,3,0.01
0,1,2,0,2,1134,skip_move,north,0,0,2,1,3,0.01
0,1,2,0,2,1134,skip_move,north,0,2,2,1,3,0.97
2,0,2,0,2,1134,update,,2,0,2,0,0,1.0
2,0,2,0,2,1134,skip_move,north,1,0,2,1,3,0.01
2,0,2,0,2,1134,skip_move,north,3,0,2,1,3,0.01
2,0,2,0,2,1134,skip_move,north,2,0,2,1,3,0.01
2,0,2,0,2,1134,skip_move,north,2,1,2,1,3,0.97
1,1,2,0,2,1134,update,,1,1,1,1,0,1.0
1,1,2,0,2,1134,skip_move,north,0,1,2,1,3,0.01
1,1,2,0,2,1134,skip_move,north,2,1,2,1,3,0.01
1,1,2,0,2,1134,skip_move,north,1,0,2,1,3,0.01
1,1,2,0,2,1134,skip_move,north,1,2,2,1,3,0.97
0,2,2,0,2,1134,update,,0,2,0,2,0,1.0
0,2,2,0,2,1134,skip_move,north,0,2,2,1,3,0.01
