map,reachable_full_core_states,reachable_exact_gaussian_ids,reachable_knowledge_contexts,reachable_reset_positions,tau_1,tau_10,max_queue
10,22628,383,689,100,80000,835600,2664
11,17557,326,539,100,80000,813400,1817
12,27010,403,790,100,80000,832700,3081
13,23576,390,723,100,80000,823300,2871
14,24696,441,750,100,80000,774600,2712
15,17090,293,594,100,80000,838400,2188
16,25712,436,764,100,80000,821800,2649
17,25028,387,713,100,80000,816000,2521
18,25525,433,753,100,80000,825600,2745
19,23442,425,696,100,80000,777800,2757
20,17573,310,544,100,80000,791600,1969
21,22162,342,697,100,80000,837800,2931
22,23258,362,698,100,80000,763400,2801
23,23535,381,723,100,80000,815100,2998
24,26645,467,792,100,80000,790000,2795
25,25292,388,742,100,80000,813000,2769
26,18410,342,610,100,80000,810000,2433
27,27145,472,793,100,80000,816800,3144
28,23937,346,708,100,80000,833800,2792
29,21256,345,662,100,80000,821100,2431
30,21851,375,669,100,80000,809400,2434
31,23386,389,709,100,80000,817100,2668
32,24401,411,747,100,80000,834600,2861
33,29532,482,845,100,80000,788800,3185
34,23901,391,722,100,80000,834400,2636
35,24304,419,733,100,80000,775000,2823
36,24114,423,724,100,80000,790000,2585
37,24247,352,705,100,80000,833500,2702
38,25028,422,724,100,80000,796800,2884
39,14846,308,525,100,80000,774600,1579
40,16346,326,550,100,80000,751900,1760
41,21963,387,681,100,80000,800300,2532
42,19490,360,594,100,80000,825600,2215
43,27375,477,785,100,80000,812800,2940
44,27785,443,808,100,80000,820800,3018
45,26807,423,784,100,80000,826600,2827
46,23094,424,718,100,80000,776800,2786
47,29766,513,816,100,80000,796900,3109
48,24884,451,771,100,80000,757800,2892
49,26804,402,787,100,80000,829200,2948
50,24294,393,713,100,80000,816000,2447
51,26485,395,764,100,80000,786200,2759
52,20265,336,668,100,80000,789900,2650
53,25837,405,735,100,80000,809600,2605
54,26737,406,792,100,80000,830900,2805
55,24657,442,724,100,80000,791000,2442
56,19041,347,568,100,80000,795800,2273
57,25369,390,753,100,80000,845000,2899
58,20802,371,689,100,80000,754600,2532
59,22620,397,675,100,80000,769000,2376
60,26510,400,767,100,80000,834200,2825
61,23641,377,714,100,80000,799800,2865
62,25218,410,748,100,80000,812400,2789
63,21781,360,680,100,80000,774800,2540
64,19980,351,621,100,80000,769700,2295
65,26528,395,764,100,80000,814800,2902
66,25452,442,783,100,80000,753300,3000
67,24326,406,703,100,80000,816000,2394
68,26175,437,752,100,80000,827100,2665
69,25999,394,744,100,80000,828000,2897
70,29200,465,824,100,80000,819600,2852
71,25057,414,741,100,80000,822500,3061
72,24600,387,717,100,80000,799400,2519
73,24899,377,718,100,80000,822100,2888
74,28524,478,809,100,80000,784400,3044
75,23132,358,689,100,80000,834400,2446
76,17692,327,565,100,80000,763400,1966
77,21194,383,653,100,80000,803200,2319
78,24322,382,714,100,80000,830800,2844
79,22293,383,671,100,80000,808200,2588
80,19926,360,622,100,80000,753300,2306
81,20463,271,620,100,80000,832200,2476
82,26597,459,748,100,80000,788800,2811
83,24263,391,700,100,80000,818900,2596
84,22686,389,677,100,80000,819600,2399
85,23908,402,716,100,80000,824400,2797
86,16872,284,564,100,80000,790000,2176
87,22097,340,667,100,80000,813300,2645
88,25629,408,777,100,80000,832900,2895
89,26223,397,754,100,80000,811400,2868
90,26324,454,775,100,80000,797000,2787
91,24584,397,705,100,80000,814400,2564
92,25081,425,752,100,80000,826100,2724
93,24930,435,758,100,80000,815600,2952
94,19797,303,635,100,80000,780800,2286
95,18569,339,615,100,80000,777400,2321
96,14432,275,481,100,80000,763400,1475
97,24916,396,710,100,80000,818600,2651
98,18794,327,604,100,80000,823100,2336
99,25414,450,763,100,80000,776000,2816
