map_id,unique_raw_sigma,geometric_knee_k,mean_frobenius_error_at_knee,max_frobenius_error_at_knee,silhouette_at_knee,geometric_knee_distance
10,256,50,0.01379215491739278,0.06172973351635336,0.3732696067794418,0.32839542273909794
11,259,75,0.010705421453095571,0.054305800795126855,0.3794584152649278,0.30072120618593623
12,303,75,0.011899417339462027,0.05430580079512685,0.3356392382110522,0.2719001772013431
13,303,100,0.010018574624594892,0.05076386510107361,0.33700833723152834,0.2441161531217817
14,344,100,0.01200731723559005,0.054305800795126834,0.33026391933330773,0.2347253889129711
15,258,75,0.013479437767907757,0.05430580079512685,0.31013016730224324,0.25345381352599433
16,308,75,0.011884848397091112,0.054305800795126834,0.2896794352875364,0.2775627805752168
17,250,75,0.007811125883881549,0.05430580079512685,0.3429284706444306,0.3242688036655257
18,268,75,0.010115776182140433,0.054305800795126855,0.361556342625358,0.29564512724682945
19,301,75,0.012908282843256078,0.06076915335924963,0.3440032273420125,0.2862928756764866
20,263,75,0.012097891540918374,0.0554105585606209,0.4139707840617491,0.29296345906947696
21,272,100,0.008070589640135292,0.050763865101073634,0.35335195264676417,0.26556737555024623
22,327,100,0.010353724188558693,0.06076915335924961,0.4307521998688333,0.2694417697396026
23,299,75,0.012728200472654706,0.06076915335924963,0.3634442455009923,0.2735668017488078
24,332,75,0.011684536355048594,0.051217575108550385,0.342230950935134,0.27511939672938357
25,263,75,0.010365153863093902,0.05430580079512685,0.3414216324935049,0.2800499119288077
26,261,75,0.011096227182939232,0.04610845909374981,0.30230980978993865,0.24420507411765816
27,343,100,0.010835062683075096,0.06076915335924963,0.3357550914661509,0.2325958413589056
28,210,75,0.008486880191320207,0.054305800795126834,0.3269078000654402,0.2958806220154519
29,258,75,0.012078808453199448,0.06172973351635334,0.3686416730018118,0.2788837359724151
30,269,75,0.01126268106195409,0.054305800795126834,0.2449974252088374,0.25929114497667977
31,262,75,0.00975216643559331,0.054305800795126855,0.3425294813733589,0.3046873233856058
32,342,75,0.01465841430315491,0.06440403714053958,0.31052398740523274,0.2680699106147722
33,312,75,0.010502446205043857,0.0512183560845133,0.3070733466832832,0.2823570766053572
34,293,75,0.012478352593306074,0.058964480833803665,0.27597188011819,0.2593772850563815
35,321,100,0.010950645931099892,0.050956059502280986,0.35453728038934973,0.25954478892929767
36,305,75,0.01222854826118075,0.06172973351635335,0.37423164736298653,0.2922592256876648
37,233,75,0.008347123999354373,0.04074162490623074,0.3175210807018282,0.3184528272768812
38,282,75,0.010616884150862066,0.06060627030266754,0.31371280570383103,0.28664028630598154
39,253,75,0.012040132104933309,0.04959606839256514,0.3710719407313213,0.2537462335180006
40,249,75,0.009222704072902174,0.05076386510107362,0.3483180269336342,0.3046826221677247
41,300,100,0.009533993497770461,0.050763865101073634,0.350578031246256,0.2621060099323573
42,247,75,0.010614166949032848,0.046352777694546016,0.3212342966170951,0.25709177780220593
43,291,50,0.01649930733203168,0.06333348245596482,0.33358736888365875,0.22340794017387872
44,301,75,0.010834834958832962,0.054305800795126834,0.3254647297429721,0.2883848513185187
45,278,75,0.010075453392860288,0.05430580079512685,0.3179685379844121,0.2884322373523743
46,335,75,0.014166389816315158,0.05973081281884585,0.2976293391586192,0.2429657382992592
47,319,75,0.011559770083079807,0.0512183560845133,0.36186489406401173,0.28754232191828777
48,353,75,0.014172629397922578,0.06172973351635331,0.3588605750997778,0.2940774629840367
49,261,75,0.008274715374951426,0.035310196827545465,0.3269381535026371,0.32214186322525834
50,256,75,0.009854624676162145,0.045390747955943625,0.32965688125570264,0.2937830839749635
51,321,100,0.010093308929236369,0.043637140144606165,0.33535420762574986,0.2418382371174184
52,257,75,0.010364287602635684,0.06076915335924963,0.39253739928476844,0.2965940310676557
53,273,75,0.011972220798419413,0.06060627030266754,0.3545525465194432,0.2698504126133168
54,299,75,0.00985271967763203,0.05430580079512685,0.33221615285222356,0.31892088890412734
55,319,75,0.01223247318067485,0.06172973351635336,0.3517067380118968,0.2844937243051619
56,251,75,0.010574601338499067,0.04869065618781494,0.40641542480498216,0.3047485195546764
57,277,75,0.00901418616945574,0.05645821463702161,0.29253026551479144,0.3143854053997998
58,305,75,0.013398231783445284,0.06076915335924963,0.3611680833770477,0.27910869352783524
59,318,75,0.013051219378469758,0.054305800795126855,0.37472868832348266,0.28931216805562304
60,250,75,0.007030262989342464,0.03989774429714041,0.2817417100222408,0.3288572875041388
61,306,100,0.010339077619681674,0.05076386510107361,0.31648869125181617,0.2443760597887686
62,300,75,0.010361678713328853,0.054305800795126875,0.28921122125314846,0.3059590811914751
63,296,100,0.008341271093337488,0.06076915335924963,0.4080881327334687,0.29267104965598073
64,265,75,0.012327521257485433,0.06172973351635338,0.36587143221025986,0.2716287122855468
65,265,75,0.010568905410353735,0.058964480833803665,0.3407779276530201,0.2858110433218527
66,348,75,0.015392271901452387,0.060769153359249616,0.3853275576784074,0.2810492624440923
67,282,75,0.009809757652246466,0.05337124694065148,0.3042409385973362,0.28467666749838666
68,280,75,0.010910031787477133,0.06172973351635336,0.3233000656352384,0.2452148160505926
69,252,75,0.009390026504195714,0.06172973351635338,0.35204323360451917,0.32787537553811463
70,286,75,0.00946021198887955,0.045390747955943625,0.2751203023173207,0.3088993941148253
71,320,100,0.010049075626073507,0.05896448083380367,0.37799431632136776,0.27605013228792924
72,283,75,0.013584836815105783,0.06076915335924963,0.332748060451903,0.2521443329347893
73,253,75,0.011237216440093574,0.06440403714053956,0.3175465781058664,0.2897664990249849
74,310,75,0.012517054709995581,0.07278323982896062,0.3234058595359491,0.2784996671367111
75,250,75,0.009505579715725911,0.06076915335924961,0.3239496046096226,0.31595635480818945
76,294,75,0.011597046244062003,0.050763865101073634,0.3662525009531497,0.2665318740865324
77,284,75,0.011282953194292828,0.05076386510107362,0.30762181818749657,0.26501658373862436
78,268,75,0.009308095819551497,0.054305800795126855,0.3978381561151839,0.3202022404462788
79,269,75,0.013576832640357672,0.06501899722388835,0.349340359455678,0.26027532611112947
80,281,75,0.010822079200942076,0.06076915335924961,0.42400197087329716,0.3131230538847186
81,225,75,0.009403060829886385,0.06076915335924961,0.3603423654924622,0.3089984598664986
82,370,75,0.015015525943804805,0.05977733684265301,0.38865382544973287,0.27832173194604376
83,258,75,0.011360308918706312,0.054305800795126855,0.3238151110665685,0.2375733612180869
84,279,75,0.01038727276718,0.05430580079512685,0.32960980827778324,0.28626486081671815
85,277,100,0.008683840060893615,0.05076386510107361,0.3218506488708298,0.2603163887290049
86,215,75,0.009415803023606381,0.051026463722268676,0.3377447553162937,0.28388276294171594
87,265,75,0.011422476054979444,0.06076915335924963,0.37551634750665214,0.29304871698662666
88,300,100,0.00905869994023586,0.05656014497859778,0.2454998723456663,0.24497502705479726
89,265,75,0.011395854975876411,0.054305800795126834,0.2949915691425931,0.24359021042820986
90,349,75,0.01294977610974987,0.06708867266536132,0.3743221513163542,0.28451890955633
91,223,75,0.008219440271616047,0.04649042912256241,0.306580709187988,0.2877010524310543
92,314,75,0.013282312846240344,0.06172973351635335,0.2883171284585452,0.25207807560660406
93,318,100,0.010119507815990893,0.05896448083380367,0.3484302503270237,0.23917236724172328
94,246,75,0.011510610958761115,0.06076915335924963,0.3439948638852521,0.2749627498692284
95,282,100,0.009475197175411258,0.060769153359249636,0.35529909979063495,0.2617817533424595
96,230,75,0.010623020845515967,0.05401120254169499,0.3145142897855206,0.2666485471654932
97,245,75,0.007254199412848075,0.04193268414971787,0.2521474333672877,0.2955480445667571
98,271,75,0.012748870573731287,0.06172973351635337,0.3906067898892552,0.26983063208168645
99,309,75,0.012797619542409218,0.06172973351635338,0.33277020571043536,0.28740621709580827
