h,map,raw_atom_count,mean_frobenius_error,rmse_frobenius_error,max_frobenius_error,gvars,gstates,extra_gstates,split_gvars,max_gstates_per_gvar,lookup_transitions
0.01,10,643,0.0033699815506234294,0.003853006743340871,0.007066116330771777,255,255,0,0,1,506
0.01,11,486,0.003375694781342628,0.0038887698394476293,0.007066116330771756,257,257,0,0,1,393
0.01,12,734,0.0033199404417993527,0.0037539388941095586,0.006882586723027916,299,299,0,0,1,633
0.01,13,676,0.0034796875907305365,0.003924556659090839,0.007066116330771777,301,301,0,0,1,592
0.01,14,707,0.003426350421673815,0.0038785085863401194,0.007066116330771777,343,343,0,0,1,618
0.01,15,548,0.0031338641053661096,0.0036066544337348943,0.006882586723027916,258,258,0,0,1,480
0.01,16,717,0.0034851107716387317,0.003938943001177758,0.007066116330771777,308,311,3,3,2,590
0.01,17,652,0.0036381476171470175,0.004092251019293426,0.006882586723027877,245,245,0,0,1,502
0.01,18,698,0.0034588139264760394,0.0038900910044525594,0.00702281994643174,263,263,0,0,1,582
0.01,19,633,0.0036518434381752397,0.004080181747957627,0.006788225099390854,298,298,0,0,1,535
0.01,20,494,0.003565878574923019,0.0040485764979705016,0.007022819946431758,263,263,0,0,1,419
0.01,21,652,0.0033360818431461357,0.0037956323785865104,0.006882586723027916,272,272,0,0,1,558
0.01,22,652,0.003516986704052857,0.003956494621916172,0.007066116330771777,326,326,0,0,1,580
0.01,23,670,0.003458290007382925,0.0039019570290709836,0.00702281994643174,296,296,0,0,1,579
0.01,24,743,0.0036697791957970077,0.004111509302958916,0.007066116330771775,326,326,0,0,1,619
0.01,25,692,0.0036208742741615316,0.004076277770519059,0.007066116330771777,263,263,0,0,1,568
0.01,26,571,0.0034806979551108845,0.003969782976771151,0.007022819946431758,259,259,0,0,1,443
0.01,27,741,0.0035277193521835682,0.003965592569396256,0.007066116330771756,340,341,1,1,2,601
0.01,28,656,0.0035335611980990642,0.003982536190946061,0.006882586723027896,208,208,0,0,1,522
0.01,29,604,0.003513566552057351,0.003955943219381059,0.007066116330771777,252,252,0,0,1,519
0.01,30,620,0.0036040007069789316,0.004059107640690227,0.007066116330771777,269,269,0,0,1,518
0.01,31,663,0.003522372454988305,0.00397117821436617,0.007066116330771777,261,261,0,0,1,543
0.01,32,699,0.0034597705153337583,0.0039049856251303955,0.007066116330771777,339,339,0,0,1,609
0.01,33,790,0.0037134248657294615,0.0041527160549345845,0.006882586723027896,305,306,1,1,2,628
0.01,34,670,0.0034696855824188355,0.003907451740518066,0.007022819946431759,285,285,0,0,1,568
0.01,35,686,0.0037163327010544555,0.0041568518027013035,0.007066116330771775,321,321,0,0,1,574
0.01,36,673,0.0036056571860068713,0.00405384450551432,0.007066116330771777,304,304,0,0,1,541
0.01,37,649,0.0035098421288886615,0.003976729304720161,0.007066116330771777,231,231,0,0,1,510
0.01,38,661,0.0035295606983197256,0.0039654597976727995,0.006882586723027896,275,275,0,0,1,565
0.01,39,480,0.003434704470169545,0.003934341325643557,0.007066116330771777,253,253,0,0,1,409
0.01,40,501,0.0035756579074943556,0.004059605793866793,0.007022819946431738,246,246,0,0,1,409
0.01,41,629,0.0035744555476864746,0.004044800780573879,0.007066116330771777,300,300,0,0,1,539
0.01,42,540,0.0036069548709666338,0.004082085977282447,0.006882586723027896,245,245,0,0,1,449
0.01,43,733,0.003658594274805686,0.004087499661021902,0.007022819946431758,288,288,0,0,1,589
0.01,44,759,0.003583006197878568,0.004018816086915153,0.007066116330771777,296,296,0,0,1,601
0.01,45,734,0.003644871786866107,0.0040827342977530524,0.00702281994643174,274,274,0,0,1,597
0.01,46,672,0.0035590361650073865,0.004000543117889786,0.007066116330771777,331,331,0,0,1,594
0.01,47,752,0.003823116632467704,0.004261450469779398,0.007066116330771775,316,317,1,1,2,611
0.01,48,734,0.00349100026913312,0.003910006027995946,0.007066116330771777,350,350,0,0,1,630
0.01,49,738,0.003612230003337918,0.004053567467563877,0.006882586723027896,253,253,0,0,1,592
0.01,50,658,0.003515042572046657,0.003952439514464655,0.007066116330771777,254,254,0,0,1,579
0.01,51,714,0.0037348087771007865,0.0041677163943792585,0.007066116330771777,321,321,0,0,1,624
0.01,52,626,0.0035616642115977397,0.004045721125450963,0.007066116330771777,255,255,0,0,1,552
0.01,53,677,0.003597366668034344,0.004018471015916474,0.007066116330771756,273,273,0,0,1,582
0.01,54,739,0.0036250413479505077,0.0040717632238398875,0.006882586723027896,293,293,0,0,1,595
0.01,55,673,0.0037097378421125943,0.004158540863085932,0.007066116330771777,320,325,5,5,2,548
0.01,56,514,0.0035801439486764547,0.004071754275417106,0.007066116330771756,251,251,0,0,1,386
0.01,57,705,0.0034352413052536456,0.0038673464797359856,0.007022819946431758,276,276,0,0,1,575
0.01,58,652,0.0034422144054810644,0.0039022645619763525,0.006882586723027896,300,300,0,0,1,566
0.01,59,624,0.003640666973511997,0.004069063238759714,0.007066116330771777,317,317,0,0,1,529
0.01,60,711,0.00361148080044451,0.004052815867479834,0.006882586723027896,246,246,0,0,1,564
0.01,61,666,0.0035346362361184792,0.003972850808115454,0.007066116330771777,305,305,0,0,1,577
0.01,62,691,0.0035598170690687137,0.004000548081119488,0.006882586723027896,293,293,0,0,1,578
0.01,63,638,0.0035783974278475656,0.00403634157270369,0.007066116330771777,294,294,0,0,1,528
0.01,64,573,0.003594050472674228,0.004063007251188611,0.007066116330771777,265,265,0,0,1,487
0.01,65,710,0.003728173135330653,0.004184446385042578,0.007066116330771756,259,261,2,2,2,547
0.01,66,746,0.003621873082149083,0.004043677420090291,0.007066116330771777,345,345,0,0,1,630
0.01,67,647,0.003590575388158149,0.004003155633145434,0.007066116330771777,273,273,0,0,1,500
0.01,68,697,0.0036349376323915597,0.004071089941797383,0.007066116330771756,279,279,0,0,1,535
0.01,69,692,0.0036606571477621054,0.004098552895614542,0.007066116330771777,250,250,0,0,1,523
0.01,70,771,0.0036333961548074252,0.004058639565570794,0.006882586723027896,285,285,0,0,1,632
0.01,71,691,0.0035378285663198506,0.003999831762019169,0.007066116330771777,318,318,0,0,1,562
0.01,72,667,0.003688125280441864,0.004133446783115234,0.007066116330771777,283,283,0,0,1,561
0.01,73,665,0.0035089129745369168,0.003948558316899341,0.007066116330771775,253,253,0,0,1,553
0.01,74,755,0.003757804025242624,0.004187047198015652,0.007066116330771777,304,304,0,0,1,617
0.01,75,637,0.003526714009877145,0.00396702261725843,0.007066116330771777,247,247,0,0,1,513
0.01,76,518,0.0036186194942399827,0.004084779640375325,0.007066116330771777,289,289,0,0,1,455
0.01,77,597,0.0036078256686009223,0.004056043735867475,0.007066116330771777,282,282,0,0,1,522
0.01,78,654,0.0034874034853081648,0.003946304352532065,0.006882586723027896,264,264,0,0,1,540
0.01,79,624,0.00353226948467942,0.003981863933463254,0.007066116330771756,269,269,0,0,1,492
0.01,80,569,0.003673788054525737,0.004108780088263219,0.007066116330771756,277,277,0,0,1,491
0.01,81,562,0.0034584124322341162,0.003917078673970994,0.006882586723027896,225,225,0,0,1,487
0.01,82,690,0.0036351087147418223,0.0040380832014743195,0.007066116330771777,366,366,0,0,1,595
0.01,83,641,0.0034685533144055525,0.00390678037741012,0.007022819946431758,251,251,0,0,1,499
0.01,84,629,0.003571921987947096,0.004031107182801882,0.007066116330771756,271,280,9,9,2,505
0.01,85,663,0.0034876512152771295,0.003935747143897064,0.007066116330771756,277,277,0,0,1,511
0.01,86,525,0.0033569212893786457,0.0038696302271971853,0.007066116330771777,215,215,0,0,1,431
0.01,87,610,0.00364347602434968,0.004085165084851754,0.007066116330771756,264,264,0,0,1,495
0.01,88,730,0.0034606258943468172,0.003931291746299254,0.00702281994643174,296,297,1,1,2,610
0.01,89,699,0.0036624262246791094,0.004104556245716334,0.006882586723027896,261,261,0,0,1,561
0.01,90,727,0.003582850573040638,0.0040262412970559,0.007066116330771777,349,349,0,0,1,651
0.01,91,646,0.0036600549049117695,0.004109838682212254,0.006882586723027896,222,222,0,0,1,505
0.01,92,702,0.0035636421536028315,0.003997331731125281,0.00702281994643174,306,306,0,0,1,595
0.01,93,713,0.0035116218196967527,0.003956614289255549,0.007066116330771777,317,317,0,0,1,577
0.01,94,592,0.003362436832306496,0.003863887728490368,0.007066116330771777,246,246,0,0,1,491
0.01,95,564,0.003546709597145688,0.003996252677320712,0.007066116330771777,282,282,0,0,1,466
0.01,96,432,0.003442795804801805,0.003947186058165718,0.007022819946431758,230,230,0,0,1,367
0.01,97,651,0.003598884393672005,0.004036637130597299,0.00702281994643174,234,239,5,5,2,517
0.01,98,563,0.003398517661496718,0.00387244902567912,0.007066116330771777,271,271,0,0,1,458
0.01,99,719,0.0035601371888032943,0.004011537602468949,0.007022819946431758,305,305,0,0,1,628
0.025,10,643,0.010410447190907467,0.011767958712327912,0.021496976531596254,202,209,7,7,2,506
0.025,11,486,0.011019816133201674,0.012472401631968711,0.022118770309400123,187,197,10,10,2,384
0.025,12,734,0.010315990873300136,0.011630058888705944,0.021458098704218893,223,238,15,13,3,624
0.025,13,676,0.01052115028284556,0.011850389477533243,0.021496976531596254,241,242,1,1,2,583
0.025,14,707,0.011134628400345745,0.012455651455562681,0.021496976531596254,270,276,6,6,2,609
0.025,15,548,0.010553308568619047,0.011952793400414502,0.021458098704218876,203,210,7,7,2,480
0.025,16,717,0.010499860767773142,0.011758165802558071,0.021458098704218893,236,241,5,5,2,584
0.025,17,652,0.010040167560910874,0.011377901436745453,0.021458098704218876,177,177,0,0,1,493
0.025,18,698,0.01039323031959472,0.011733349477934522,0.021242410409367397,203,204,1,1,2,564
0.025,19,633,0.010934629105347544,0.012261185369558135,0.02149697653159629,224,225,1,1,2,526
0.025,20,494,0.01107473222816144,0.01254474905069604,0.021740285186721917,205,210,5,5,2,419
0.025,21,652,0.010397288413259128,0.011733312781749045,0.0214580987042189,221,225,4,4,2,558
0.025,22,652,0.0114410183052657,0.012716910026161892,0.022483549541831745,247,247,0,0,1,580
0.025,23,670,0.010636825859958775,0.011983317383862775,0.022406918574404626,236,243,7,7,2,579
0.025,24,743,0.010850990841718014,0.012163093681866561,0.02211877030940011,239,246,7,7,2,609
0.025,25,692,0.010651212545291455,0.012011513022375858,0.021242410409367397,208,208,0,0,1,550
0.025,26,571,0.01053861207413851,0.011938215873768006,0.0214580987042189,197,203,6,6,2,434
