xhat,yhat,gvar,action,xhat_next,yhat_next,gvar_next,var_x,var_y,cov_xy,var_x_next,var_y_next,cov_xy_next
0,0,0,north,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0
0,0,2,north,0,1,2,0.1,0.0,0.0,0.1,0.0,0.0
0,0,4,north,0,1,4,0.1,0.1,0.0,0.1,0.1,0.0
0,0,5,north,0,1,8,0.2,0.0,0.0,0.2,0.1,0.0
0,0,6,north,0,1,11,0.3,0.0,0.0,0.3,0.1,0.0
0,0,8,north,0,1,8,0.2,0.1,0.0,0.2,0.1,0.0
0,0,8,north,0,1,10,0.2,0.1,0.0,0.2,0.2,0.0
0,0,11,north,0,1,11,0.3,0.1,0.0,0.3,0.1,0.0
0,0,14,north,0,1,14,0.3,0.2,0.0,0.3,0.2,0.0
0,0,16,north,0,1,21,0.4,0.1,0.1,0.4,0.2,0.1
0,0,16,north,0,1,15,0.4,0.1,0.1,0.4,0.1,0.0
0,0,16,north,0,1,16,0.4,0.1,0.1,0.4,0.1,0.1
0,0,18,north,0,1,18,0.5,0.1,0.1,0.5,0.1,0.1
0,0,20,north,0,1,20,0.4,0.2,0.0,0.4,0.2,0.0
0,0,21,north,0,1,24,0.4,0.2,0.1,0.5,0.2,0.1
0,1,0,north,0,2,1,0.0,0.0,0.0,0.0,0.1,0.0
0,1,2,north,0,2,4,0.1,0.0,0.0,0.1,0.1,0.0
0,1,4,north,0,2,10,0.1,0.1,0.0,0.2,0.2,0.0
0,1,8,north,0,2,11,0.2,0.1,0.0,0.3,0.1,0.0
0,1,8,north,0,2,10,0.2,0.1,0.0,0.2,0.2,0.0
0,1,8,north,0,2,8,0.2,0.1,0.0,0.2,0.1,0.0
0,1,10,north,0,2,10,0.2,0.2,0.0,0.2,0.2,0.0
0,1,11,north,0,2,11,0.3,0.1,0.0,0.3,0.1,0.0
0,1,11,north,0,2,14,0.3,0.1,0.0,0.3,0.2,0.0
0,1,14,north,0,2,23,0.3,0.2,0.0,0.4,0.3,0.0
0,1,15,north,0,2,15,0.4,0.1,0.0,0.4,0.1,0.0
0,1,16,north,0,2,20,0.4,0.1,0.1,0.4,0.2,0.0
0,1,18,north,0,2,24,0.5,0.1,0.1,0.5,0.2,0.1
0,1,20,north,0,2,23,0.4,0.2,0.0,0.4,0.3,0.0
0,1,21,north,0,2,20,0.4,0.2,0.1,0.4,0.2,0.0
0,2,0,north,0,3,1,0.0,0.0,0.0,0.0,0.1,0.0
0,2,1,north,0,3,1,0.0,0.1,0.0,0.0,0.1,0.0
0,2,4,north,0,3,7,0.1,0.1,0.0,0.1,0.2,0.0
0,2,4,north,0,3,4,0.1,0.1,0.0,0.1,0.1,0.0
0,2,8,north,0,3,10,0.2,0.1,0.0,0.2,0.2,0.0
0,2,10,north,0,3,13,0.2,0.2,0.0,0.2,0.3,0.0
0,2,10,north,0,3,10,0.2,0.2,0.0,0.2,0.2,0.0
0,2,11,north,0,3,14,0.3,0.1,0.0,0.3,0.2,0.0
0,2,14,north,0,3,17,0.3,0.2,0.0,0.3,0.3,0.0
0,2,14,north,0,3,14,0.3,0.2,0.0,0.3,0.2,0.0
0,2,15,north,0,3,20,0.4,0.1,0.0,0.4,0.2,0.0
0,2,20,north,0,3,20,0.4,0.2,0.0,0.4,0.2,0.0
0,2,23,north,0,3,23,0.4,0.3,0.0,0.4,0.3,0.0
0,3,0,east,1,3,0,0.0,0.0,0.0,0.0,0.0,0.0
0,3,1,east,1,3,7,0.0,0.1,0.0,0.1,0.2,0.0
0,3,1,east,1,3,1,0.0,0.1,0.0,0.0,0.1,0.0
0,3,4,east,1,3,7,0.1,0.1,0.0,0.1,0.2,0.0
0,3,7,east,1,3,7,0.1,0.2,0.0,0.1,0.2,0.0
0,3,7,east,1,3,10,0.1,0.2,0.0,0.2,0.2,0.0
0,3,10,east,1,3,10,0.2,0.2,0.0,0.2,0.2,0.0
0,3,10,east,1,3,17,0.2,0.2,0.0,0.3,0.3,0.0
0,3,13,east,1,3,13,0.2,0.3,0.0,0.2,0.3,0.0
0,3,14,east,1,3,17,0.3,0.2,0.0,0.3,0.3,0.0
0,3,14,east,1,3,20,0.3,0.2,0.0,0.4,0.2,0.0
0,3,14,east,1,3,14,0.3,0.2,0.0,0.3,0.2,0.0
0,3,17,east,1,3,23,0.3,0.3,0.0,0.4,0.3,0.0
0,3,20,east,1,3,20,0.4,0.2,0.0,0.4,0.2,0.0
0,6,0,east,1,6,0,0.0,0.0,0.0,0.0,0.0,0.0
0,7,0,east,1,7,0,0.0,0.0,0.0,0.0,0.0,0.0
0,7,1,east,1,7,1,0.0,0.1,0.0,0.0,0.1,0.0
0,8,0,south,0,7,1,0.0,0.0,0.0,0.0,0.1,0.0
1,0,0,west,0,0,2,0.0,0.0,0.0,0.1,0.0,0.0
1,0,2,west,0,0,5,0.1,0.0,0.0,0.2,0.0,0.0
1,0,2,west,0,0,2,0.1,0.0,0.0,0.1,0.0,0.0
1,0,4,west,0,0,4,0.1,0.1,0.0,0.1,0.1,0.0
1,0,4,west,0,0,8,0.1,0.1,0.0,0.2,0.1,0.0
1,0,5,west,0,0,5,0.2,0.0,0.0,0.2,0.0,0.0
1,0,5,west,0,0,6,0.2,0.0,0.0,0.3,0.0,0.0
1,0,6,west,0,0,16,0.3,0.0,0.0,0.4,0.1,0.1
1,0,8,west,0,0,11,0.2,0.1,0.0,0.3,0.1,0.0
1,0,11,west,0,0,11,0.3,0.1,0.0,0.3,0.1,0.0
1,0,14,west,0,0,20,0.3,0.2,0.0,0.4,0.2,0.0
1,0,14,west,0,0,14,0.3,0.2,0.0,0.3,0.2,0.0
1,0,16,west,0,0,18,0.4,0.1,0.1,0.5,0.1,0.1
1,0,16,west,0,0,16,0.4,0.1,0.1,0.4,0.1,0.1
1,0,21,west,0,0,24,0.4,0.2,0.1,0.5,0.2,0.1
1,0,21,west,0,0,21,0.4,0.2,0.1,0.4,0.2,0.1
1,1,0,west,0,1,2,0.0,0.0,0.0,0.1,0.0,0.0
1,3,0,north,1,4,1,0.0,0.0,0.0,0.0,0.1,0.0
1,3,1,north,1,4,4,0.0,0.1,0.0,0.1,0.1,0.0
1,3,1,north,1,4,7,0.0,0.1,0.0,0.1,0.2,0.0
