map,gaussian_states,gvar_max,lookup_transitions,mape_positions
10,23,22,397,70
11,29,28,297,48
12,29,28,477,75
13,30,29,451,72
14,31,30,490,74
15,29,28,366,63
16,24,23,446,75
17,26,25,399,68
18,28,27,436,73
19,32,31,443,67
20,33,32,349,49
21,31,30,456,72
22,38,37,496,69
23,30,29,479,73
24,23,22,458,79
25,21,20,436,72
26,25,24,334,61
27,31,30,474,78
28,26,25,403,68
29,29,28,408,66
30,28,27,405,65
31,22,21,422,69
32,30,29,480,76
33,27,26,452,80
34,31,30,435,70
35,39,38,482,74
36,31,30,431,70
37,23,22,395,67
38,27,26,461,70
39,28,27,323,54
40,26,25,322,54
41,30,29,436,69
42,24,23,331,53
43,22,21,431,74
44,26,25,469,77
45,24,23,430,75
46,31,30,483,74
47,28,27,470,75
48,34,33,510,78
49,21,20,434,77
50,28,27,441,67
51,31,30,509,73
52,28,27,421,71
53,30,29,472,68
54,22,21,458,79
55,28,27,410,67
56,31,30,306,52
57,23,22,433,74
58,31,30,450,74
59,34,33,437,64
60,21,20,405,72
61,37,36,461,71
62,27,26,460,73
63,35,34,456,71
64,29,28,426,63
65,30,29,424,76
66,38,37,539,81
67,28,27,390,64
68,22,21,412,70
69,29,28,409,72
70,26,25,477,78
71,35,34,447,72
72,33,32,454,68
73,29,28,446,67
74,27,26,486,76
75,27,26,412,67
76,28,27,370,55
77,26,25,407,65
78,25,24,410,68
79,31,30,392,64
80,33,32,414,61
81,31,30,418,60
82,36,35,487,68
83,23,22,383,66
84,23,22,395,66
85,31,30,422,71
86,27,26,350,59
87,33,32,409,65
88,29,28,461,78
89,28,27,423,70
90,33,32,504,75
91,21,20,378,67
92,28,27,450,73
93,26,25,444,78
94,30,29,398,64
95,35,34,399,65
96,27,26,292,45
97,20,19,395,64
98,31,30,371,62
99,30,29,517,76
