h,map,raw_sigma_states,quantized_sigma_states,gvar_max,reduction_absolute,reduction_percent,mean_frobenius_error,rmse_frobenius_error,max_frobenius_error,weighted_mean_frobenius_error,weighted_rmse_frobenius_error
0.01,10,389,388,387,1,0.2570694087403599,0.004399668095396893,0.0046092228989980345,0.008637129152675655,0.0037181001115997995,0.004157946161830425
0.01,11,399,397,396,2,0.5012531328320802,0.004433647900941848,0.004633024096710678,0.007383765976789902,0.003702620874885973,0.004143854636687926
0.01,12,456,452,451,4,0.8771929824561403,0.004086280594939269,0.004324651390473321,0.007485318964479743,0.0035273919254536165,0.0039359052188802325
0.01,13,432,430,429,2,0.46296296296296297,0.0043348165410919655,0.004538926288435612,0.007274613391789275,0.003666129357254716,0.004079442049769246
0.01,14,539,538,537,1,0.18552875695732837,0.003999224419918484,0.004243519559991414,0.007066116330771796,0.0035731318475981126,0.003993125056899975
0.01,15,327,327,326,0,0.0,0.004013614533695351,0.004243606451905558,0.006882586723027916,0.003331671810414306,0.0037830186401799416
0.01,16,462,461,460,1,0.21645021645021645,0.004280387286500052,0.004478348586321309,0.00784601809837321,0.003701894386588902,0.004102018281330642
0.01,17,438,430,429,8,1.82648401826484,0.0041532806649907435,0.004394340486410023,0.006882586723027916,0.0036386770282988137,0.004055268723511364
0.01,18,445,440,439,5,1.1235955056179776,0.004032876679248044,0.004250710449541665,0.007022819946431778,0.003489410653651297,0.003886419285101805
0.01,19,513,510,509,3,0.5847953216374269,0.004210290800233972,0.004411839467317475,0.006788225099390854,0.0036748953527459913,0.004055481144423599
0.01,20,395,395,394,0,0.0,0.0043372435635695,0.004536931433848552,0.00754453444554402,0.003707642983745628,0.0041312435874817505
0.01,21,364,364,363,0,0.0,0.003992593723335771,0.004223085430044078,0.006902173570694972,0.0034457286752392455,0.0038829357416283353
0.01,22,647,646,645,1,0.1545595054095827,0.0042866690384234145,0.00450755505237949,0.007475292636412347,0.0037822748128702884,0.004169119251592358
0.01,23,453,448,447,5,1.1037527593818985,0.004330186164867303,0.004550363253578154,0.0077801028270839834,0.003657648415087335,0.004078933295269984
0.01,24,530,523,522,7,1.320754716981132,0.00420515423745182,0.004398129962815028,0.007485318964479743,0.0037357962682360124,0.00411604952927621
0.01,25,433,433,432,0,0.0,0.004058675577683302,0.0043065689123438795,0.007066116330771796,0.0036058408505080758,0.004020856488646035
0.01,26,347,345,344,2,0.5763688760806917,0.004302025712947715,0.004482203040048392,0.007022819946431778,0.0035798158886042285,0.004021291817163719
0.01,27,513,508,507,5,0.9746588693957114,0.004165356352087781,0.004352494747419666,0.007066116330771796,0.0036376945542282327,0.004026877002917332
0.01,28,318,316,315,2,0.6289308176100629,0.0039807830040832545,0.004216909655663157,0.006882586723027916,0.0035422351952850025,0.003956085502109376
0.01,29,412,406,405,6,1.4563106796116505,0.004304307438886739,0.0044957531200572895,0.007066116330771796,0.003657798548472183,0.0040428340359521964
0.01,30,425,425,424,0,0.0,0.004288598070974703,0.00448758548992794,0.007144228439796687,0.003880112239250606,0.004293907333293989
0.01,31,400,399,398,1,0.25,0.004134165353427051,0.004349718381688634,0.007066116330771796,0.003617960841128416,0.004016749814186519
0.01,32,476,471,470,5,1.050420168067227,0.00422412289595225,0.004407956900153799,0.007066116330771796,0.0036400028306575647,0.004040767398600254
0.01,33,585,573,572,12,2.051282051282051,0.004052674468517092,0.004290422647680123,0.006882586723027916,0.0036157293403584756,0.004024740561249364
0.01,34,434,426,425,8,1.8433179723502304,0.004097681225862951,0.004311748498603251,0.007149125820686096,0.0035738997787888855,0.003984562925360966
0.01,35,525,525,524,0,0.0,0.004537816415905669,0.0047227393180935455,0.00754453444554402,0.003959499912397883,0.0043444554670285995
0.01,36,445,444,443,1,0.2247191011235955,0.004269080356395858,0.004455588587708851,0.007066116330771796,0.003657017925613762,0.004045646099016888
0.01,37,364,362,361,2,0.5494505494505495,0.003911805106304301,0.004147036542871561,0.007066116330771796,0.0034909642283974395,0.003905069234687082
0.01,38,507,500,499,7,1.3806706114398422,0.004033445598662623,0.004274037488102338,0.0077801028270839834,0.0036187356174968454,0.004002590844824684
0.01,39,368,368,367,0,0.0,0.004486430157161202,0.004656668897118556,0.007066116330771796,0.0037281853976556508,0.004161959430422728
0.01,40,392,390,389,2,0.5102040816326531,0.004396425917881413,0.00457698880603965,0.007022819946431778,0.0037967107390793234,0.004189863574429877
0.01,41,492,489,488,3,0.6097560975609756,0.004333672501225191,0.004542175887019117,0.007100704190430713,0.0038020284442845187,0.004199137888782532
0.01,42,427,423,422,4,0.936768149882904,0.004012396275773443,0.004241484098005084,0.006882586723027916,0.0035674745109612652,0.003994918647482076
0.01,43,512,505,504,7,1.3671875,0.00398630814280545,0.004219442072863426,0.007022819946431778,0.0035828426554250356,0.003977367721739249
0.01,44,486,478,477,8,1.646090534979424,0.004231625444860055,0.0044474920106938,0.007104224095564541,0.0036896082458593746,0.00408737275130436
0.01,45,443,439,438,4,0.9029345372460497,0.004260172285273879,0.004452439917501597,0.007022819946431778,0.0036997227204081085,0.004081569411483711
0.01,46,541,537,536,4,0.7393715341959335,0.004438350491031605,0.004618293208823121,0.007066116330771796,0.003875913647566126,0.004263097970455888
0.01,47,617,613,612,4,0.6482982171799028,0.004127420866691403,0.004345714556675773,0.007066116330771796,0.0038818208278002986,0.004243621211613299
0.01,48,581,578,577,3,0.5163511187607573,0.004245806374146087,0.004438268490581921,0.007247068372797361,0.003769172203298944,0.004139557319744664
0.01,49,394,386,385,8,2.030456852791878,0.004058631425250609,0.004265711478316796,0.006882586723027916,0.0036025390425421253,0.0039957987915136125
0.01,50,483,477,476,6,1.2422360248447204,0.004155950567630051,0.004382789132471487,0.007274613391789275,0.00364545620225461,0.0040262109673304125
0.01,51,586,583,582,3,0.5119453924914675,0.004490579101008049,0.004676511637123357,0.007144228439796687,0.003932220323609834,0.004312806862161004
0.01,52,390,388,387,2,0.5128205128205128,0.004296370429983762,0.004532653606657884,0.007694153624668499,0.0036425651275183214,0.0040811089101650605
0.01,53,568,560,559,8,1.408450704225352,0.004242118817660827,0.004456410559006268,0.007247068372797361,0.0037429559065803738,0.004108441932507014
0.01,54,473,467,466,6,1.2684989429175475,0.004127337839721464,0.004343949158514032,0.007152621896899071,0.0035824971984361052,0.003988076469515293
0.01,55,499,499,498,0,0.0,0.004372918196087956,0.0045505973093368166,0.007066116330771796,0.0038050430793368194,0.004188822038274856
0.01,56,372,372,371,0,0.0,0.00432346662091944,0.0045325169252214996,0.007066116330771796,0.0037040951218623103,0.004136825887580134
0.01,57,414,412,411,2,0.4830917874396135,0.003950747157794215,0.004196064408673815,0.007022819946431778,0.0034598044877998634,0.0038717426637517264
0.01,58,461,457,456,4,0.8676789587852495,0.00437571002298925,0.004555547737032487,0.006882586723027916,0.003755992064781773,0.004153437186527294
0.01,59,574,573,572,1,0.17421602787456447,0.004190311204752335,0.004409049926498387,0.007247068372797361,0.00376552800499232,0.00413549730242488
0.01,60,409,402,401,7,1.7114914425427872,0.003833633987561813,0.0040660049296600215,0.006882586723027916,0.00349145168761714,0.003903697643462758
0.01,61,462,461,460,1,0.21645021645021645,0.004336837991442794,0.004528046318579732,0.007435724578008474,0.00371974799590478,0.004118722333335667
