xhat,yhat,raw_state,action,xhat_next,yhat_next,raw_state_next
0,0,0,east,1,0,1
0,0,6,east,1,0,13
0,0,22,east,1,0,33
0,0,45,east,1,0,62
0,1,0,south,0,0,6
0,1,6,south,0,0,22
0,1,22,south,0,0,45
0,2,0,south,0,1,6
0,2,6,south,0,1,22
0,3,0,south,0,2,6
0,5,0,north,0,6,5
0,5,10,north,0,6,25
0,6,0,north,0,7,5
0,6,5,north,0,7,21
0,6,25,north,0,7,52
0,7,0,east,1,7,4
0,7,5,east,1,7,15
0,7,21,east,1,7,38
0,7,52,east,1,7,71
1,0,0,east,2,0,7
1,0,1,east,2,0,11
1,0,9,east,2,0,27
1,0,13,east,2,0,34
1,0,33,east,2,0,63
1,0,62,east,2,0,92
1,1,0,south,1,0,9
1,3,0,north,1,4,9
1,4,0,east,2,4,10
1,4,9,east,2,4,30
1,5,0,west,0,5,10
1,7,0,east,2,7,10
1,7,4,east,2,7,20
1,7,9,east,2,7,30
1,7,15,east,2,7,41
1,7,38,east,2,7,71
1,7,71,east,2,7,103
1,8,0,south,1,7,9
2,0,0,east,3,0,7
2,0,7,east,3,0,23
2,0,11,east,3,0,36
2,0,27,east,3,0,53
2,0,34,east,3,0,65
2,0,63,east,3,0,88
2,0,92,east,3,0,117
2,4,0,east,3,4,10
2,4,10,east,3,4,31
2,4,30,east,3,4,60
2,6,0,east,3,6,10
2,7,0,east,3,7,10
2,7,9,east,3,7,30
2,7,10,east,3,7,31
2,7,20,east,3,7,51
2,7,30,east,3,7,60
2,7,41,east,3,7,77
2,7,71,east,3,7,103
2,7,103,east,3,7,135
2,8,0,south,2,7,9
3,0,0,east,4,0,7
3,0,7,east,4,0,23
3,0,23,east,4,0,46
3,0,36,east,4,0,67
3,0,53,east,4,0,78
3,0,65,east,4,0,93
3,0,88,east,4,0,119
3,0,117,east,4,0,146
3,3,0,north,3,4,9
3,4,0,north,3,5,9
3,4,9,north,3,5,29
3,4,10,north,3,5,30
3,4,31,north,3,5,60
3,4,60,north,3,5,97
3,5,0,north,3,6,9
3,5,9,north,3,6,29
3,5,29,north,3,6,57
3,5,30,north,3,6,59
3,5,60,north,3,6,97
3,5,97,north,3,6,126
3,6,0,east,4,6,10
3,6,9,east,4,6,30
3,6,10,east,4,6,31
3,6,29,east,4,6,59
3,6,57,east,4,6,96
3,6,59,east,4,6,97
3,6,97,east,4,6,127
3,6,126,east,4,6,153
3,7,0,east,4,7,10
3,7,10,east,4,7,31
3,7,30,east,4,7,60
3,7,31,east,4,7,58
3,7,51,east,4,7,83
3,7,60,east,4,7,98
3,7,77,east,4,7,110
3,7,103,east,4,7,135
3,7,135,east,4,7,166
4,0,0,east,5,0,7
4,0,7,east,5,0,23
4,0,23,east,5,0,46
4,0,46,east,5,0,74
4,0,67,east,5,0,90
4,0,78,east,5,0,106
4,0,93,east,5,0,121
4,0,119,east,5,0,148
4,0,146,east,5,0,172
4,2,0,east,5,2,10
4,3,0,east,5,3,10
4,5,0,north,4,6,9
4,6,0,north,4,7,9
4,6,9,north,4,7,29
4,6,10,north,4,7,30
4,6,30,north,4,7,59
4,6,31,north,4,7,60
4,6,59,north,4,7,96
4,6,96,north,4,7,125
4,6,97,north,4,7,126
4,6,127,north,4,7,153
4,6,153,north,4,7,183
4,7,0,east,5,7,10
4,7,9,east,5,7,30
4,7,10,east,5,7,31
4,7,29,east,5,7,59
4,7,30,east,5,7,60
4,7,31,east,5,7,58
4,7,58,east,5,7,99
4,7,59,east,5,7,97
4,7,60,east,5,7,98
4,7,83,east,5,7,115
4,7,96,east,5,7,126
4,7,98,east,5,7,128
4,7,110,east,5,7,140
4,7,125,east,5,7,156
4,7,126,east,5,7,153
4,7,135,east,5,7,166
4,7,153,east,5,7,184
4,7,166,east,5,7,195
4,7,183,east,5,7,212
4,8,0,south,4,7,9
5,0,0,north,5,1,3
5,0,7,north,5,1,16
5,0,8,north,5,1,17
5,0,23,north,5,1,39
5,0,24,north,5,1,40
5,0,46,north,5,1,69
5,0,47,north,5,1,70
5,0,68,north,5,1,84
5,0,74,north,5,1,100
5,0,79,north,5,1,102
5,0,90,north,5,1,112
5,0,94,north,5,1,111
5,0,106,north,5,1,130
5,0,120,north,5,1,136
5,0,121,north,5,1,137
