map,raw_states,lookup_transitions
10,256,506
11,259,393
12,303,633
13,303,592
14,344,618
15,258,480
16,308,586
17,250,502
18,268,582
19,301,535
20,263,419
21,272,558
22,327,580
23,299,579
24,332,619
25,263,568
26,261,443
27,343,601
28,210,522
29,258,519
30,269,518
31,262,543
32,342,609
33,312,628
34,293,568
35,321,574
36,305,541
37,233,510
38,282,565
39,253,409
40,249,409
41,300,539
42,247,449
43,291,589
44,301,601
45,278,597
46,335,594
47,319,611
48,353,630
49,261,592
50,256,579
51,321,624
52,257,552
53,273,582
54,299,595
55,319,542
56,251,386
57,277,575
58,305,566
59,318,529
60,250,564
61,306,577
62,300,578
63,296,528
64,265,487
65,265,548
66,348,630
67,282,500
68,280,535
69,252,523
70,286,632
71,320,562
72,283,561
73,253,553
74,310,617
75,250,513
76,294,455
77,284,522
78,268,540
79,269,492
80,281,491
81,225,487
82,370,595
83,258,499
84,279,500
85,277,511
86,215,431
87,265,495
88,300,610
89,265,561
90,349,651
91,223,505
92,314,595
93,318,577
94,246,491
95,282,466
96,230,367
97,245,517
98,271,458
99,309,628
