map,raw_states
10,256
11,259
12,303
13,303
14,344
15,258
16,308
17,250
18,268
19,301
20,263
21,272
22,327
23,299
24,332
25,263
26,261
27,343
28,210
29,258
30,269
31,262
32,342
33,312
34,293
35,321
36,305
37,233
38,282
39,253
40,249
41,300
42,247
43,291
44,301
45,278
46,335
47,319
48,353
49,261
50,256
51,321
52,257
53,273
54,299
55,319
56,251
57,277
58,305
59,318
60,250
61,306
62,300
63,296
64,265
65,265
66,348
67,282
68,280
69,252
70,286
71,320
72,283
73,253
74,310
75,250
76,294
77,284
78,268
79,269
80,281
81,225
82,370
83,258
84,279
85,277
86,215
87,265
88,300
89,265
90,349
91,223
92,314
93,318
94,246
95,282
96,230
97,245
98,271
99,309
