map,threshold_1,threshold_2,threshold_3,threshold_4,threshold_5,threshold_6,threshold_7,threshold_8,threshold_9,threshold_10,unique_trace_values
10,78400,156800,235200,313600,392000,470400,548800,627200,705600,784000,108
11,78400,156800,235200,313600,392000,470400,548800,627200,705600,773900,120
12,78400,156800,235200,313600,392000,470400,548800,627200,705600,784000,124
13,78400,156800,235200,313600,392000,470400,548800,627200,705600,784000,124
14,78400,156800,235200,313600,392000,470400,548800,627200,705600,784000,136
15,78400,156800,235200,313600,392000,470400,548800,627200,705600,784000,115
16,78400,156800,235200,313600,392000,470400,548800,627200,705600,784000,107
17,78400,156800,235200,313600,392000,470400,548800,627200,705600,784000,111
18,78400,156800,235200,313600,392000,470400,548800,627200,705600,784000,117
19,78400,156800,235200,313600,392000,470400,548800,627200,705600,784000,142
20,78400,156800,235200,313600,392000,470400,548800,627200,705600,773900,120
21,78400,156800,235200,313600,392000,470400,548800,627200,705600,784000,116
22,78400,156800,235200,313600,392000,470400,548800,627200,695500,763800,108
23,78400,156800,235200,313600,392000,470400,548800,627200,705600,784000,125
24,78400,156800,235200,313600,392000,470400,548800,627200,705600,784000,122
25,78400,156800,235200,313600,392000,470400,548800,627200,705600,784000,100
26,78400,156800,235200,313600,392000,470400,548800,627200,705600,784000,109
27,78400,156800,235200,313600,392000,470400,548800,627200,705600,784000,127
28,78400,156800,235200,313600,392000,470400,548800,627200,705600,784000,91
29,78400,156800,235200,313600,392000,470400,548800,627200,705600,784000,126
30,78400,156800,235200,313600,392000,470400,548800,627200,705600,784000,132
31,78400,156800,235200,313600,392000,470400,548800,627200,705600,784000,94
32,78400,156800,235200,313600,392000,470400,548800,627200,705600,784000,131
33,78400,156800,235200,313600,392000,470400,548800,627200,705600,784000,125
34,78400,156800,235200,313600,392000,470400,548800,627200,705600,784000,120
35,78400,156800,235200,313600,392000,470400,548800,617100,685400,753700,106
36,78400,156800,235200,313600,392000,470400,548800,627200,705600,784000,118
37,78400,156800,235200,313600,392000,470400,548800,627200,705600,784000,101
38,78400,156800,235200,313600,392000,470400,548800,627200,705600,784000,127
39,78400,156800,235200,313600,392000,470400,548800,627200,695500,763800,117
40,78400,156800,235200,313600,392000,470400,548800,627200,705600,784000,126
41,78400,156800,235200,313600,392000,470400,548800,627200,705600,784000,127
42,78400,156800,235200,313600,392000,470400,548800,627200,705600,784000,115
43,78400,156800,235200,313600,392000,470400,548800,627200,705600,784000,103
44,78400,156800,235200,313600,392000,470400,548800,627200,705600,784000,128
45,78400,156800,235200,313600,392000,470400,548800,627200,705600,784000,110
46,78400,156800,235200,313600,392000,470400,548800,627200,705600,773900,139
47,78400,156800,235200,313600,392000,470400,548800,627200,705600,784000,143
48,78400,156800,235200,313600,392000,470400,548800,627200,705600,784000,122
49,78400,156800,235200,313600,392000,470400,548800,627200,705600,784000,101
50,78400,156800,235200,313600,392000,470400,548800,627200,705600,784000,119
51,78400,156800,235200,313600,392000,470400,548800,627200,705600,784000,135
52,78400,156800,235200,313600,392000,470400,548800,627200,705600,784000,124
53,78400,156800,235200,313600,392000,470400,548800,627200,705600,784000,132
54,78400,156800,235200,313600,392000,470400,548800,627200,705600,784000,102
55,78400,156800,235200,313600,392000,470400,548800,627200,705600,784000,124
56,78400,156800,235200,313600,392000,470400,548800,627200,695500,763800,123
57,78400,156800,235200,313600,392000,470400,548800,627200,705600,784000,97
58,78400,156800,235200,313600,392000,470400,548800,627200,705600,784000,129
59,78400,156800,235200,313600,392000,470400,548800,627200,705600,784000,128
60,78400,156800,235200,313600,392000,470400,548800,627200,705600,784000,91
61,78400,156800,235200,313600,392000,470400,548800,627200,705600,784000,128
62,78400,156800,235200,313600,392000,470400,548800,627200,705600,784000,127
63,78400,156800,235200,313600,392000,470400,548800,627200,705600,784000,99
64,78400,156800,235200,313600,392000,470400,548800,627200,705600,784000,125
65,78400,156800,235200,313600,392000,470400,548800,627200,705600,784000,138
66,78400,156800,235200,313600,392000,470400,548800,627200,705600,784000,106
67,78400,156800,235200,313600,392000,470400,548800,627200,705600,784000,120
68,78400,156800,235200,313600,392000,470400,548800,627200,705600,784000,119
69,78400,156800,235200,313600,392000,470400,548800,627200,705600,784000,115
70,78400,156800,235200,313600,392000,470400,548800,627200,705600,784000,127
71,78400,156800,235200,313600,392000,470400,548800,627200,705600,784000,129
72,78400,156800,235200,313600,392000,470400,548800,627200,705600,784000,130
73,78400,156800,235200,313600,392000,470400,548800,627200,705600,784000,102
74,78400,156800,235200,313600,392000,470400,548800,627200,705600,784000,144
75,78400,156800,235200,313600,392000,470400,548800,627200,705600,784000,117
76,78400,156800,235200,313600,392000,470400,548800,627200,705600,784000,122
77,78400,156800,235200,313600,392000,470400,548800,627200,705600,784000,124
78,78400,156800,235200,313600,392000,470400,548800,627200,705600,784000,95
79,78400,156800,235200,313600,392000,470400,548800,627200,705600,784000,128
80,78400,156800,235200,313600,392000,470400,548800,627200,695500,763800,96
81,78400,156800,235200,313600,392000,470400,548800,627200,705600,784000,112
82,78400,156800,235200,313600,392000,470400,548800,627200,705600,784000,131
83,78400,156800,235200,313600,392000,470400,548800,627200,705600,784000,98
84,78400,156800,235200,313600,392000,470400,548800,627200,705600,784000,110
85,78400,156800,235200,313600,392000,470400,548800,627200,705600,784000,132
86,78400,156800,235200,313600,392000,470400,548800,627200,705600,784000,100
87,78400,156800,235200,313600,392000,470400,548800,627200,705600,784000,111
88,78400,156800,235200,313600,392000,470400,548800,627200,705600,784000,102
89,78400,156800,235200,313600,392000,470400,548800,627200,705600,784000,103
90,78400,156800,235200,313600,392000,470400,548800,627200,705600,784000,137
91,78400,156800,235200,313600,392000,470400,548800,627200,705600,784000,107
92,78400,156800,235200,313600,392000,470400,548800,627200,705600,784000,113
93,78400,156800,235200,313600,392000,470400,548800,627200,705600,784000,117
94,78400,156800,235200,313600,392000,470400,548800,627200,705600,784000,140
95,78400,156800,235200,313600,392000,470400,548800,627200,695500,763800,119
96,78400,156800,235200,313600,392000,470400,548800,617100,685400,753700,114
97,78400,156800,235200,313600,392000,470400,548800,627200,705600,784000,112
98,78400,156800,235200,313600,392000,470400,548800,627200,705600,773900,112
99,78400,156800,235200,313600,392000,470400,548800,627200,705600,784000,147
