xhat,yhat,gstate,gvar,action,xhat_next,yhat_next,gstate_next,gvar_next
0,0,0,0,east,1,0,2,2
0,3,0,0,north,0,4,1,1
0,4,0,0,north,0,5,1,1
0,4,1,1,north,0,5,4,3
0,5,0,0,north,0,6,1,1
0,5,1,1,north,0,6,4,3
0,5,4,3,north,0,6,17,11
0,6,0,0,east,1,6,2,2
0,6,1,1,east,1,6,7,5
0,6,4,3,east,1,6,11,7
0,6,17,11,east,1,6,17,11
0,6,19,13,east,1,6,19,13
0,6,20,13,east,1,6,36,24
0,7,0,0,south,0,6,1,1
0,7,1,1,south,0,6,4,3
0,7,7,5,south,0,6,19,13
0,7,13,8,south,0,6,20,13
0,8,0,0,south,0,7,1,1
0,8,2,2,south,0,7,7,5
0,8,9,6,south,0,7,13,8
1,0,0,0,east,2,0,2,2
1,0,1,1,east,2,0,9,6
1,0,2,2,east,2,0,5,4
1,0,7,5,east,2,0,19,13
1,1,0,0,south,1,0,1,1
1,1,1,1,south,1,0,7,5
1,2,0,0,south,1,1,1,1
1,5,0,0,north,1,6,1,1
1,6,0,0,east,2,6,2,2
1,6,1,1,east,2,6,13,8
1,6,2,2,east,2,6,9,6
1,6,7,5,east,2,6,12,8
1,6,11,7,east,2,6,19,13
1,6,17,11,east,2,6,30,19
1,6,19,13,east,2,6,36,24
1,6,36,24,east,2,6,46,33
1,8,0,0,west,0,8,2,2
1,8,1,1,west,0,8,9,6
1,9,0,0,south,1,8,1,1
2,0,0,0,east,3,0,2,2
2,0,1,1,east,3,0,9,6
2,0,2,2,east,3,0,5,4
2,0,5,4,east,3,0,15,9
2,0,9,6,east,3,0,22,14
2,0,19,13,east,3,0,26,17
2,1,0,0,south,2,0,1,1
2,6,0,0,east,3,6,2,2
2,6,2,2,east,3,6,9,6
2,6,9,6,east,3,6,16,10
2,6,12,8,east,3,6,21,14
2,6,13,8,east,3,6,22,14
2,6,19,13,east,3,6,36,24
2,6,30,19,east,3,6,58,42
2,6,36,24,east,3,6,46,33
2,6,46,33,east,3,6,67,50
2,7,0,0,east,3,7,2,2
3,0,0,0,east,4,0,2,2
3,0,2,2,east,4,0,5,4
3,0,5,4,east,4,0,24,15
3,0,9,6,east,4,0,22,14
3,0,15,9,east,4,0,23,15
3,0,22,14,east,4,0,32,21
3,0,26,17,east,4,0,37,25
3,2,0,0,north,3,3,1,1
3,3,0,0,north,3,4,1,1
3,3,1,1,north,3,4,7,5
3,4,0,0,north,3,5,1,1
3,4,1,1,north,3,5,7,5
3,4,7,5,north,3,5,18,12
3,5,0,0,north,3,6,1,1
3,5,1,1,north,3,6,7,5
3,5,7,5,north,3,6,18,12
3,5,18,12,north,3,6,35,23
3,6,0,0,north,3,7,1,1
3,6,1,1,north,3,7,7,5
3,6,2,2,north,3,7,13,8
3,6,7,5,north,3,7,18,12
3,6,9,6,north,3,7,21,14
3,6,16,10,north,3,7,22,14
3,6,18,12,north,3,7,35,23
3,6,21,14,north,3,7,46,33
3,6,22,14,north,3,7,26,17
3,6,35,23,north,3,7,44,31
3,6,36,24,north,3,7,59,43
3,6,46,33,north,3,7,67,50
3,6,58,42,north,3,7,64,47
3,6,67,50,north,3,7,75,57
3,7,0,0,east,4,7,2,2
3,7,1,1,east,4,7,14,8
3,7,2,2,east,4,7,9,6
3,7,7,5,east,4,7,19,13
3,7,8,5,east,4,7,13,8
3,7,13,8,east,4,7,22,14
3,7,18,12,east,4,7,31,20
3,7,21,14,east,4,7,33,22
3,7,22,14,east,4,7,38,26
3,7,26,17,east,4,7,46,33
3,7,35,23,east,4,7,45,32
3,7,44,31,east,4,7,54,38
3,7,46,33,east,4,7,61,45
3,7,59,43,east,4,7,67,50
3,7,64,47,east,4,7,74,56
3,7,67,50,east,4,7,87,64
3,7,75,57,east,4,7,86,64
3,8,0,0,south,3,7,1,1
3,8,1,1,south,3,7,8,5
3,9,0,0,south,3,8,1,1
4,0,0,0,east,5,0,2,2
4,0,1,1,east,5,0,9,6
4,0,2,2,east,5,0,5,4
4,0,5,4,east,5,0,23,15
4,0,22,14,east,5,0,32,21
4,0,23,15,east,5,0,28,18
4,0,24,15,east,5,0,29,18
4,0,32,21,east,5,0,39,27
4,0,37,25,east,5,0,49,34
4,1,0,0,south,4,0,1,1
4,3,0,0,north,4,4,1,1
4,4,0,0,east,5,4,2,2
4,4,1,1,east,5,4,13,8
4,6,0,0,north,4,7,1,1
4,7,0,0,east,5,7,2,2
4,7,1,1,east,5,7,14,8
4,7,2,2,east,5,7,9,6
4,7,7,5,east,5,7,13,8
4,7,9,6,east,5,7,25,16
4,7,13,8,east,5,7,26,17
4,7,14,8,east,5,7,22,14
4,7,19,13,east,5,7,27,17
4,7,22,14,east,5,7,33,22
4,7,31,20,east,5,7,46,33
4,7,33,22,east,5,7,50,35
4,7,38,26,east,5,7,55,39
4,7,45,32,east,5,7,59,43
4,7,46,33,east,5,7,61,45
4,7,54,38,east,5,7,73,55
4,7,61,45,east,5,7,70,52
4,7,67,50,east,5,7,86,64
4,7,74,56,east,5,7,92,69
4,7,86,64,east,5,7,109,80
4,7,87,64,east,5,7,95,71
4,8,0,0,south,4,7,1,1
4,8,1,1,south,4,7,7,5
4,9,0,0,south,4,8,1,1
5,0,0,0,east,6,0,2,2
5,0,1,1,east,6,0,9,6
5,0,2,2,east,6,0,5,4
5,0,5,4,east,6,0,23,15
5,0,9,6,east,6,0,22,14
5,0,23,15,east,6,0,28,18
5,0,28,18,east,6,0,41,29
5,0,29,18,east,6,0,42,29
5,0,32,21,east,6,0,39,27
5,0,39,27,east,6,0,52,36
5,0,49,34,east,6,0,71,53
5,1,0,0,south,5,0,1,1
5,3,0,0,north,5,4,1,1
5,3,2,2,north,5,4,13,8
5,3,9,6,north,5,4,22,14
5,3,22,14,north,5,4,26,17
5,3,25,16,north,5,4,33,22
5,3,26,17,north,5,4,46,33
5,3,33,22,north,5,4,38,26
5,3,34,22,north,5,4,47,33
5,3,38,26,north,5,4,61,45
5,3,46,33,north,5,4,59,43
5,3,47,33,north,5,4,68,50
5,3,61,45,north,5,4,78,59
5,3,62,45,north,5,4,67,50
5,3,70,52,north,5,4,77,59
5,3,77,59,north,5,4,95,71
5,3,79,60,north,5,4,88,65
5,3,88,65,north,5,4,114,85
5,3,99,73,north,5,4,116,87
5,4,0,0,north,5,5,1,1
5,4,1,1,north,5,5,7,5
5,4,2,2,north,5,5,13,8
5,4,13,8,north,5,5,19,13
5,4,22,14,north,5,5,26,17
5,4,26,17,north,5,5,46,33
5,4,33,22,north,5,5,47,33
5,4,38,26,north,5,5,61,45
5,4,46,33,north,5,5,59,43
5,4,47,33,north,5,5,68,50
5,4,59,43,north,5,5,65,48
5,4,61,45,north,5,5,67,50
5,4,67,50,north,5,5,86,64
5,4,68,50,north,5,5,75,57
5,4,77,59,north,5,5,95,71
5,4,78,59,north,5,5,87,64
5,4,88,65,north,5,5,114,85
5,4,95,71,north,5,5,113,84
5,5,0,0,north,5,6,1,1
5,5,1,1,north,5,6,7,5
5,5,2,2,north,5,6,13,8
5,5,7,5,north,5,6,18,12
5,5,9,6,north,5,6,22,14
5,5,13,8,north,5,6,19,13
5,5,19,13,north,5,6,31,20
5,5,25,16,north,5,6,33,22
5,5,26,17,north,5,6,46,33
5,5,33,22,north,5,6,38,26
5,5,46,33,north,5,6,59,43
5,5,47,33,north,5,6,67,50
5,5,59,43,north,5,6,73,55
5,5,61,45,north,5,6,68,50
5,5,65,48,north,5,6,85,63
5,5,67,50,north,5,6,87,64
5,5,68,50,north,5,6,75,57
5,5,75,57,north,5,6,94,70
5,5,86,64,north,5,6,93,70
5,5,87,64,north,5,6,105,77
5,5,95,71,north,5,6,113,84
