map,gvars,gstates,extra_gstates,split_gvars,max_gstates_per_gvar,lookup_transitions
10,23,93,70,17,10,480
11,29,88,59,20,9,357
12,29,131,102,21,11,584
13,30,123,93,19,11,554
14,31,107,76,18,9,581
15,29,104,75,20,10,445
16,24,107,83,18,11,546
17,26,82,56,15,9,469
18,28,109,81,18,10,534
19,32,96,64,20,7,508
20,33,101,68,19,8,405
21,31,114,83,20,10,531
22,38,103,65,23,8,557
23,30,105,75,19,9,554
24,23,100,77,17,9,547
25,21,86,65,18,9,508
26,25,87,62,15,9,403
27,31,97,66,19,9,551
28,26,99,73,18,12,475
29,29,100,71,18,11,476
30,28,103,75,18,9,482
31,22,94,72,17,12,506
32,30,104,74,19,8,556
33,27,106,79,17,12,559
34,31,97,66,19,7,509
35,39,127,88,23,11,558
36,31,99,68,17,8,498
37,23,100,77,17,10,479
38,27,94,67,19,7,530
39,28,91,63,18,7,383
40,26,79,53,15,8,377
41,30,101,71,20,9,504
42,24,87,63,17,9,399
43,22,101,79,16,11,516
44,26,104,78,18,9,566
45,24,111,87,16,12,534
46,31,106,75,20,10,560
47,28,99,71,18,10,559
48,34,112,78,21,9,602
49,21,96,75,15,17,522
50,28,122,94,19,12,548
51,31,112,81,19,10,604
52,28,94,66,18,9,492
53,30,117,87,22,9,559
54,22,89,67,16,9,535
55,28,96,68,17,13,499
56,31,82,51,18,7,350
57,23,109,86,18,11,529
58,31,98,67,18,9,532
59,34,107,73,19,9,517
60,21,110,89,16,12,509
61,37,112,75,20,8,539
62,27,107,80,19,10,548
63,35,92,57,22,7,508
64,29,86,57,18,8,479
65,30,92,62,18,10,502
66,38,107,69,22,8,607
67,28,93,65,16,8,453
68,22,89,67,16,9,487
69,29,100,71,17,10,488
70,26,125,99,19,11,601
71,35,104,69,20,10,515
72,33,110,77,20,9,528
73,29,105,76,19,9,526
74,27,104,77,18,10,569
75,27,93,66,17,9,474
76,28,92,64,18,8,435
77,26,85,59,16,11,472
78,25,103,78,19,8,499
79,31,100,69,19,9,462
80,33,88,55,20,8,468
81,31,92,61,21,6,471
82,36,113,77,21,8,570
83,23,93,70,18,9,458
84,23,88,65,18,9,459
85,31,97,66,18,7,489
86,27,88,61,16,9,405
87,33,94,61,20,9,469
88,29,111,82,18,10,566
89,28,102,74,17,11,517
90,33,151,118,19,13,629
91,21,85,64,16,8,454
92,28,107,79,19,9,530
93,26,90,64,16,8,522
94,30,98,68,21,9,461
95,35,89,54,21,7,449
96,27,95,68,17,8,349
97,20,98,78,16,13,488
98,31,85,54,19,7,418
99,30,115,85,20,9,615
