map,unique_sigma_states,gvar_max,mape_states,update_start_positions,q_mode,p,max_steps
10,256,255,70,77,position,0.01,10
11,259,258,48,67,position,0.01,10
12,303,302,75,76,position,0.01,10
13,303,302,72,73,position,0.01,10
14,344,343,74,75,position,0.01,10
15,258,257,63,68,position,0.01,10
16,308,307,75,76,position,0.01,10
17,250,249,68,74,position,0.01,10
18,268,267,73,74,position,0.01,10
19,301,300,67,68,position,0.01,10
20,263,262,49,66,position,0.01,10
21,272,271,72,75,position,0.01,10
22,327,326,69,72,position,0.01,10
23,299,298,73,75,position,0.01,10
24,332,331,79,80,position,0.01,10
25,263,262,72,73,position,0.01,10
26,261,260,61,74,position,0.01,10
27,343,342,78,79,position,0.01,10
28,210,209,68,72,position,0.01,10
29,258,257,66,67,position,0.01,10
30,269,268,65,71,position,0.01,10
31,262,261,69,73,position,0.01,10
32,342,341,76,77,position,0.01,10
33,312,311,80,81,position,0.01,10
34,293,292,70,71,position,0.01,10
35,321,320,74,75,position,0.01,10
36,305,304,70,71,position,0.01,10
37,233,232,67,70,position,0.01,10
38,282,281,70,72,position,0.01,10
39,253,252,54,67,position,0.01,10
40,249,248,54,61,position,0.01,10
41,300,299,69,70,position,0.01,10
42,247,246,53,68,position,0.01,10
43,291,290,74,77,position,0.01,10
44,301,300,77,78,position,0.01,10
45,278,277,75,78,position,0.01,10
46,335,334,74,75,position,0.01,10
47,319,318,75,76,position,0.01,10
48,353,352,78,79,position,0.01,10
49,261,260,77,78,position,0.01,10
50,256,255,67,70,position,0.01,10
51,321,320,73,74,position,0.01,10
52,257,256,71,74,position,0.01,10
53,273,272,68,72,position,0.01,10
54,299,298,79,80,position,0.01,10
55,319,318,67,69,position,0.01,10
56,251,250,52,69,position,0.01,10
57,277,276,74,75,position,0.01,10
58,305,304,74,76,position,0.01,10
59,318,317,64,66,position,0.01,10
60,250,249,72,74,position,0.01,10
61,306,305,71,73,position,0.01,10
62,300,299,73,74,position,0.01,10
63,296,295,71,74,position,0.01,10
64,265,264,63,69,position,0.01,10
65,265,264,76,77,position,0.01,10
66,348,347,81,82,position,0.01,10
67,282,281,64,68,position,0.01,10
68,280,279,70,72,position,0.01,10
69,252,251,72,73,position,0.01,10
70,286,285,78,79,position,0.01,10
71,320,319,72,76,position,0.01,10
72,283,282,68,72,position,0.01,10
73,253,252,67,76,position,0.01,10
74,310,309,76,77,position,0.01,10
75,250,249,67,70,position,0.01,10
76,294,293,55,63,position,0.01,10
77,284,283,65,66,position,0.01,10
78,268,267,68,70,position,0.01,10
79,269,268,64,73,position,0.01,10
80,281,280,61,63,position,0.01,10
81,225,224,60,67,position,0.01,10
82,370,369,68,69,position,0.01,10
83,258,257,66,68,position,0.01,10
84,279,278,66,74,position,0.01,10
85,277,276,71,74,position,0.01,10
86,215,214,59,71,position,0.01,10
87,265,264,65,67,position,0.01,10
88,300,299,78,80,position,0.01,10
89,265,264,70,71,position,0.01,10
90,349,348,75,76,position,0.01,10
91,223,222,67,72,position,0.01,10
92,314,313,73,74,position,0.01,10
93,318,317,78,79,position,0.01,10
94,246,245,64,74,position,0.01,10
95,282,281,65,66,position,0.01,10
96,230,229,45,65,position,0.01,10
97,245,244,64,67,position,0.01,10
98,271,270,62,72,position,0.01,10
99,309,308,76,77,position,0.01,10
