map,threshold_1,threshold_2,threshold_3,threshold_4,threshold_5,threshold_6,threshold_7,threshold_8,threshold_9,threshold_10,unique_trace_values
10,50,200,250,350,400,500,550,650,700,800,17
11,50,200,250,350,400,500,550,650,700,800,17
12,50,200,250,350,400,500,550,650,700,800,17
13,50,200,250,350,400,500,550,650,700,800,17
14,50,200,250,350,400,500,550,650,700,800,17
15,50,200,250,350,400,500,550,650,700,800,17
16,50,200,250,350,400,500,550,650,700,800,17
17,50,200,250,350,400,500,550,650,700,800,17
18,50,200,250,350,400,500,550,650,700,800,17
19,50,200,250,350,400,500,550,650,700,800,17
20,50,200,250,350,400,500,550,650,700,750,16
21,50,200,250,350,400,500,550,650,700,800,17
22,50,200,250,350,400,450,550,650,700,800,17
23,50,200,250,350,400,500,550,650,700,800,17
24,50,200,250,350,400,500,550,650,700,800,17
25,50,200,250,350,400,500,550,650,700,800,17
26,50,200,250,350,400,500,550,650,700,800,17
27,50,200,250,350,400,500,550,650,700,800,17
28,50,200,250,350,400,500,550,650,700,800,17
29,50,200,250,350,400,500,550,650,700,800,17
30,50,200,250,350,400,500,550,650,700,800,17
31,50,200,250,350,400,500,550,650,700,800,17
32,50,200,250,350,400,500,550,650,700,800,17
33,50,200,250,350,400,500,550,650,700,800,17
34,50,200,250,350,400,500,550,650,700,800,17
35,50,200,250,350,400,500,550,650,700,750,16
36,50,200,250,350,400,500,550,650,700,800,17
37,50,200,250,350,400,500,550,650,700,800,17
38,50,200,250,350,400,500,550,650,700,800,17
39,50,200,250,350,400,500,550,650,700,750,16
40,50,200,250,350,400,500,550,650,700,800,17
41,50,200,250,350,400,500,550,650,700,800,17
42,50,200,250,350,400,500,550,650,700,800,17
43,50,200,250,350,400,500,550,650,700,800,17
44,50,200,250,350,400,500,550,650,700,800,17
45,50,200,250,350,400,500,550,650,700,800,17
46,50,200,250,350,400,500,550,650,700,800,17
47,50,200,250,300,400,500,550,650,700,800,17
48,50,200,250,350,400,500,550,650,700,800,17
49,50,200,250,350,400,500,550,650,700,800,17
50,50,200,250,350,400,500,550,650,700,800,17
51,50,200,250,350,400,500,550,650,700,800,17
52,50,200,250,350,400,500,550,650,700,800,17
53,50,200,250,350,400,500,550,650,700,800,17
54,50,200,250,350,400,500,550,650,700,800,17
55,50,200,250,350,400,500,550,650,700,800,17
56,50,200,250,350,400,500,550,650,700,750,16
57,50,200,250,350,400,500,550,650,700,800,17
58,50,200,250,350,400,500,550,650,700,800,17
59,50,200,250,350,400,500,550,650,700,800,17
60,50,200,250,350,400,500,550,650,700,800,17
61,50,200,250,350,400,500,550,650,700,800,17
62,50,200,250,350,400,500,550,650,700,800,17
63,50,200,250,350,400,500,550,650,700,800,17
64,50,200,250,350,400,500,550,650,700,800,17
65,50,200,250,300,400,500,550,650,700,800,17
66,50,200,250,300,400,500,550,650,700,800,17
67,50,200,250,350,400,500,550,650,700,800,17
68,50,200,250,350,400,500,550,650,700,800,17
69,50,200,250,350,400,500,550,650,700,800,17
70,50,200,250,350,400,500,550,650,700,800,17
71,50,200,250,350,400,500,550,650,700,800,17
72,50,200,250,350,400,500,550,650,700,800,17
73,50,200,250,350,400,500,550,650,700,800,17
74,50,200,250,350,400,500,550,650,700,800,17
75,50,200,250,350,400,500,550,650,700,800,17
76,50,200,250,350,400,500,550,650,700,800,17
77,50,200,250,350,400,500,550,650,700,800,17
78,50,200,250,350,400,500,550,650,700,800,17
79,50,200,250,350,400,500,550,650,700,800,17
80,50,200,250,350,400,500,550,600,700,800,17
81,50,200,250,350,400,500,550,650,700,800,17
82,50,200,250,350,400,500,550,650,700,800,17
83,50,200,250,350,400,500,550,650,700,800,17
84,50,200,250,350,400,500,550,650,700,800,17
85,50,200,250,350,400,500,550,650,700,800,17
86,50,200,250,350,400,500,550,650,700,800,17
87,50,200,250,300,400,500,550,650,700,800,17
88,50,200,250,350,400,500,550,650,700,800,17
89,50,200,250,350,400,500,550,650,700,800,17
90,50,200,250,350,400,500,550,650,700,800,17
91,50,200,250,350,400,500,550,650,700,800,17
92,50,200,250,350,400,500,550,650,700,800,17
93,50,200,250,350,400,500,550,650,700,800,17
94,50,200,250,350,400,500,550,650,700,800,17
95,50,200,250,350,400,500,550,650,700,750,16
96,50,200,250,350,400,500,550,650,700,750,16
97,50,200,250,350,400,500,550,650,700,800,17
98,50,200,250,350,400,500,550,650,700,800,17
99,50,200,250,350,400,500,550,650,700,800,17
