map,h,reachable_gvars,reachable_urc_triples,raw_state_records,mape_positions
10,0.05,84,520,643,70
10,0.1,23,314,643,70
11,0.05,98,408,486,48
11,0.1,29,246,486,48
12,0.05,99,581,734,75
12,0.1,29,350,734,75
13,0.05,115,568,676,72
13,0.1,30,333,676,72
14,0.05,128,614,707,74
14,0.1,31,372,707,74
15,0.05,98,466,548,63
15,0.1,29,285,548,63
16,0.05,100,598,717,75
16,0.1,24,332,717,75
17,0.05,89,507,652,68
17,0.1,26,311,652,68
18,0.05,97,555,698,73
18,0.1,28,318,698,73
19,0.05,107,550,633,67
19,0.1,32,355,633,67
20,0.05,106,451,494,49
20,0.1,33,294,494,49
21,0.05,115,557,652,72
21,0.1,31,348,652,72
22,0.05,120,628,652,69
22,0.1,38,388,652,69
23,0.05,106,604,670,73
23,0.1,30,366,670,73
24,0.05,97,597,743,79
24,0.1,23,350,743,79
25,0.05,99,545,692,72
25,0.1,21,322,692,72
26,0.05,91,427,571,61
26,0.1,25,267,571,61
27,0.05,124,604,741,78
27,0.1,31,364,741,78
28,0.05,88,506,656,68
28,0.1,26,303,656,68
29,0.05,104,527,604,66
29,0.1,29,327,604,66
30,0.05,89,519,620,65
30,0.1,28,318,620,65
31,0.05,99,542,663,69
31,0.1,22,324,663,69
32,0.05,134,601,699,76
32,0.1,30,360,699,76
33,0.05,88,558,790,80
33,0.1,27,348,790,80
34,0.05,108,547,670,70
34,0.1,31,329,670,70
35,0.05,130,599,686,74
35,0.1,39,384,686,74
36,0.05,106,540,673,70
36,0.1,31,338,673,70
37,0.05,83,502,649,67
37,0.1,23,293,649,67
38,0.05,98,588,661,70
38,0.1,27,367,661,70
39,0.05,99,426,480,54
39,0.1,28,273,480,54
40,0.05,84,411,501,54
40,0.1,26,273,501,54
41,0.05,114,535,629,69
41,0.1,30,339,629,69
42,0.05,98,447,540,53
42,0.1,24,266,540,53
43,0.05,108,557,733,74
43,0.1,22,319,733,74
44,0.05,106,589,759,77
44,0.1,26,346,759,77
45,0.05,85,539,734,75
45,0.1,24,324,734,75
46,0.05,112,608,672,74
46,0.1,31,383,672,74
47,0.05,107,603,752,75
47,0.1,28,359,752,75
48,0.05,118,648,734,78
48,0.1,34,396,734,78
49,0.05,78,544,738,77
49,0.1,21,315,738,77
50,0.05,87,552,658,67
50,0.1,28,339,658,67
51,0.05,109,634,714,73
51,0.1,31,392,714,73
52,0.05,95,552,626,71
52,0.1,28,337,626,71
53,0.05,114,592,677,68
53,0.1,30,365,677,68
54,0.05,95,585,739,79
54,0.1,22,344,739,79
55,0.05,106,521,673,67
55,0.1,28,314,673,67
56,0.05,103,405,514,52
56,0.1,31,266,514,52
57,0.05,83,542,705,74
57,0.1,23,319,705,74
58,0.05,111,569,652,74
58,0.1,31,360,652,74
59,0.05,107,545,624,64
59,0.1,34,339,624,64
60,0.05,69,503,711,72
60,0.1,21,295,711,72
61,0.05,122,587,666,71
61,0.1,37,367,666,71
62,0.05,91,571,691,73
62,0.1,27,354,691,73
63,0.05,115,579,638,71
63,0.1,35,375,638,71
64,0.05,109,534,573,63
64,0.1,29,354,573,63
65,0.05,95,524,710,76
65,0.1,30,332,710,76
66,0.05,132,673,746,81
66,0.1,38,436,746,81
67,0.05,95,480,647,64
67,0.1,28,300,647,64
68,0.05,90,522,697,70
68,0.1,22,319,697,70
69,0.05,89,523,692,72
69,0.1,29,305,692,72
70,0.05,90,602,771,78
70,0.1,26,349,771,78
71,0.05,130,570,691,72
71,0.1,35,349,691,72
72,0.05,114,570,667,68
72,0.1,33,343,667,68
73,0.05,107,572,665,67
73,0.1,29,349,665,67
74,0.05,99,611,755,76
74,0.1,27,373,755,76
75,0.05,90,503,637,67
75,0.1,27,323,637,67
76,0.05,93,473,518,55
76,0.1,28,306,518,55
77,0.05,94,519,597,65
77,0.1,26,328,597,65
78,0.05,97,522,654,68
78,0.1,25,306,654,68
79,0.05,125,502,624,64
79,0.1,31,305,624,64
80,0.05,100,531,569,61
80,0.1,33,338,569,61
81,0.05,97,521,562,60
81,0.1,31,334,562,60
82,0.05,123,613,690,68
82,0.1,36,386,690,68
83,0.05,93,475,641,66
83,0.1,23,292,641,66
84,0.05,98,502,629,66
84,0.1,23,307,629,66
85,0.05,117,538,663,71
85,0.1,31,342,663,71
86,0.05,85,450,525,59
86,0.1,27,285,525,59
87,0.05,104,509,610,65
87,0.1,33,336,610,65
88,0.05,102,568,730,78
88,0.1,29,339,730,78
89,0.05,93,527,699,70
89,0.1,28,312,699,70
90,0.05,115,640,727,75
90,0.1,33,385,727,75
91,0.05,84,498,646,67
91,0.1,21,289,646,67
92,0.05,99,563,702,73
92,0.1,28,332,702,73
93,0.05,119,580,713,78
93,0.1,26,341,713,78
94,0.05,95,504,592,64
94,0.1,30,317,592,64
95,0.05,124,511,564,65
95,0.1,35,334,564,65
96,0.05,99,398,432,45
96,0.1,27,259,432,45
97,0.05,72,498,651,64
97,0.1,20,285,651,64
98,0.05,122,481,563,62
98,0.1,31,297,563,62
99,0.05,103,635,719,76
99,0.1,30,393,719,76
