age,count,min_mse,median_mse,mean_mse,max_mse,range_mse,std_mse,cv_mse
0,6538,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,6188,0.04,0.08,0.07391564318034116,0.08,0.04,0.00863291050485139,0.11679409301477102
2,6047,0.08940000000000001,0.15999999999999998,0.15054185546552318,0.1632,0.0738,0.014067262739986153,0.09344419660888138
3,5881,0.1614,0.2348,0.22966920591734855,0.2496,0.0882,0.017754852926655296,0.0773061972141131
4,5691,0.22920000000000001,0.318,0.3101848532771025,0.3392,0.10999999999999999,0.021799182398685606,0.07027803636566156
5,5470,0.3004,0.39980000000000004,0.3916636563071349,0.432,0.1316,0.0258665525379075,0.06604276940524566
6,5241,0.3748,0.48319999999999996,0.47379458118678347,0.528,0.1532,0.02970740929741077,0.06270103221315496
7,4958,0.4494,0.5666,0.5565065348931109,0.6272,0.17779999999999996,0.033985468112320054,0.06106930643473522
8,4648,0.5207999999999999,0.6505000000000001,0.6394596385542055,0.7072,0.18640000000000012,0.038303085366305514,0.05989914461670696
9,4304,0.5944,0.7338,0.7221459572490706,0.8042,0.2098,0.04260108280268181,0.0589923441030752
10,3945,0.6679999999999999,0.8138000000000001,0.8045113814955666,0.8864,0.21840000000000004,0.046974878972616464,0.058389328048151834
