map_id,histories,conditional_multi_occurrence_groups,conditional_groups_with_multiple_urc_levels,conditional_multi_level_rate,periodic_cases,periodic_different,periodic_disagreement_rate
10,77,163,79,0.48466257668711654,566,276,0.4876325088339223
11,67,131,73,0.5572519083969466,419,204,0.48687350835322196
12,76,157,83,0.5286624203821656,658,325,0.4939209726443769
13,73,176,112,0.6363636363636364,603,300,0.4975124378109453
14,75,189,98,0.5185185185185185,632,299,0.47310126582278483
15,68,142,105,0.7394366197183099,480,245,0.5104166666666666
16,76,162,86,0.5308641975308642,641,320,0.49921996879875197
17,74,174,68,0.39080459770114945,578,285,0.4930795847750865
18,74,175,88,0.5028571428571429,624,311,0.4983974358974359
19,68,184,66,0.358695652173913,565,294,0.5203539823008849
20,66,130,65,0.5,428,195,0.45560747663551404
21,75,176,76,0.4318181818181818,577,280,0.4852686308492201
22,72,194,110,0.5670103092783505,580,268,0.46206896551724136
23,75,161,74,0.45962732919254656,595,279,0.4689075630252101
24,80,189,72,0.38095238095238093,663,338,0.5098039215686274
25,73,188,81,0.4308510638297872,619,296,0.4781906300484653
26,74,139,57,0.41007194244604317,497,252,0.5070422535211268
27,79,181,73,0.40331491712707185,662,337,0.5090634441087614
28,72,160,68,0.425,584,263,0.4503424657534247
29,67,175,83,0.4742857142857143,537,245,0.45623836126629425
30,71,180,73,0.40555555555555556,549,258,0.46994535519125685
31,73,160,90,0.5625,590,285,0.4830508474576271
32,77,166,72,0.43373493975903615,622,318,0.5112540192926045
33,81,195,88,0.4512820512820513,709,359,0.5063469675599436
34,71,164,99,0.6036585365853658,599,298,0.4974958263772955
35,75,220,125,0.5681818181818182,611,265,0.4337152209492635
36,71,170,83,0.48823529411764705,602,308,0.5116279069767442
37,70,178,95,0.5337078651685393,579,270,0.46632124352331605
38,72,205,90,0.43902439024390244,589,294,0.499151103565365
39,67,150,54,0.36,413,210,0.5084745762711864
40,61,125,38,0.304,440,234,0.5318181818181819
41,70,213,74,0.3474178403755869,559,289,0.516994633273703
42,68,139,88,0.6330935251798561,472,225,0.4766949152542373
43,77,185,67,0.3621621621621622,656,335,0.510670731707317
44,78,196,83,0.42346938775510207,681,336,0.4933920704845815
45,78,190,79,0.41578947368421054,656,323,0.4923780487804878
46,75,191,79,0.41361256544502617,597,283,0.474036850921273
47,76,235,73,0.31063829787234043,676,344,0.5088757396449705
48,79,197,80,0.40609137055837563,655,350,0.5343511450381679
49,78,174,67,0.3850574712643678,660,316,0.47878787878787876
50,70,202,126,0.6237623762376238,588,292,0.4965986394557823
51,74,207,93,0.4492753623188406,640,303,0.4734375
52,74,165,75,0.45454545454545453,552,279,0.5054347826086957
53,72,191,89,0.46596858638743455,605,309,0.5107438016528926
54,80,169,72,0.4260355029585799,659,323,0.49013657056145676
55,69,163,66,0.4049079754601227,604,304,0.5033112582781457
56,69,123,62,0.5040650406504065,445,197,0.44269662921348313
57,75,157,88,0.5605095541401274,630,293,0.4650793650793651
58,76,180,106,0.5888888888888889,576,261,0.453125
59,66,177,80,0.4519774011299435,558,269,0.482078853046595
60,74,155,93,0.6,637,292,0.45839874411302983
61,73,194,92,0.4742268041237113,593,293,0.49409780775716694
62,74,191,68,0.35602094240837695,617,317,0.513776337115073
63,74,179,102,0.5698324022346368,564,242,0.42907801418439717
64,69,160,62,0.3875,504,225,0.44642857142857145
65,77,205,71,0.3463414634146341,633,324,0.5118483412322274
66,82,208,126,0.6057692307692307,664,310,0.46686746987951805
67,68,160,71,0.44375,579,287,0.49568221070811747
68,72,167,68,0.40718562874251496,625,312,0.4992
69,73,174,70,0.40229885057471265,619,307,0.49596122778675283
70,79,181,104,0.574585635359116,692,336,0.48554913294797686
71,76,184,79,0.42934782608695654,615,312,0.5073170731707317
72,72,175,80,0.45714285714285713,595,298,0.5008403361344538
73,76,149,59,0.3959731543624161,589,292,0.49575551782682514
74,77,201,85,0.4228855721393035,678,318,0.4690265486725664
75,70,164,64,0.3902439024390244,567,273,0.48148148148148145
76,63,121,44,0.36363636363636365,455,228,0.5010989010989011
77,66,155,82,0.5290322580645161,531,274,0.5160075329566854
78,70,156,72,0.46153846153846156,584,278,0.476027397260274
79,73,143,51,0.35664335664335667,551,274,0.49727767695099817
80,63,145,69,0.47586206896551725,506,232,0.45849802371541504
81,67,144,66,0.4583333333333333,495,246,0.49696969696969695
82,69,200,110,0.55,621,287,0.46215780998389694
83,68,163,74,0.4539877300613497,573,289,0.5043630017452007
84,74,154,57,0.37012987012987014,555,277,0.4990990990990991
85,74,181,53,0.292817679558011,589,297,0.5042444821731749
86,71,152,68,0.4473684210526316,454,225,0.4955947136563877
87,67,169,105,0.621301775147929,543,259,0.47697974217311234
88,80,187,91,0.48663101604278075,650,324,0.49846153846153846
89,71,182,77,0.4230769230769231,628,311,0.49522292993630573
90,76,189,120,0.6349206349206349,651,324,0.4976958525345622
91,72,129,44,0.34108527131782945,574,291,0.5069686411149826
92,74,155,69,0.44516129032258067,628,320,0.5095541401273885
93,79,186,64,0.34408602150537637,634,319,0.5031545741324921
94,74,154,79,0.512987012987013,518,258,0.4980694980694981
95,66,144,83,0.5763888888888888,498,219,0.4397590361445783
96,65,119,63,0.5294117647058824,367,170,0.46321525885558584
97,67,152,80,0.5263157894736842,584,281,0.4811643835616438
98,72,136,57,0.41911764705882354,491,250,0.5091649694501018
99,77,193,79,0.40932642487046633,642,316,0.49221183800623053
