map_id,hmm_states,raw_occurrences,age_group_count,same_age_position_group_count,same_age_position_multi_belief_groups,same_age_position_multi_belief_fraction,same_age_position_multi_level_groups,same_age_position_multi_level_fraction
10,455,636,11,163,163,1.0,65,0.3987730061349693
11,352,467,11,131,131,1.0,78,0.5954198473282443
12,540,733,11,157,157,1.0,82,0.5222929936305732
13,486,675,11,176,176,1.0,114,0.6477272727272727
14,512,706,11,189,189,1.0,110,0.582010582010582
15,385,543,11,142,142,1.0,92,0.647887323943662
16,534,716,11,162,162,1.0,80,0.49382716049382713
17,484,646,11,174,174,1.0,71,0.40804597701149425
18,524,697,11,175,175,1.0,92,0.5257142857142857
19,462,632,11,184,184,1.0,89,0.483695652173913
20,348,477,11,130,130,1.0,75,0.5769230769230769
21,457,649,11,176,176,1.0,63,0.35795454545454547
22,452,649,11,194,194,1.0,118,0.6082474226804123
23,462,668,11,161,161,1.0,81,0.5031055900621118
24,551,742,11,189,189,1.0,86,0.455026455026455
25,508,691,11,188,188,1.0,83,0.44148936170212766
26,411,558,11,139,139,1.0,66,0.4748201438848921
27,546,740,11,181,181,1.0,78,0.430939226519337
28,492,652,11,160,160,1.0,70,0.4375
29,441,603,11,175,175,1.0,77,0.44
30,454,614,11,180,180,1.0,84,0.4666666666666667
31,497,659,11,160,160,1.0,93,0.58125
32,505,698,11,166,166,1.0,69,0.41566265060240964
33,599,789,11,195,195,1.0,96,0.49230769230769234
34,499,669,11,164,164,1.0,91,0.5548780487804879
35,481,685,11,220,220,1.0,123,0.5590909090909091
36,503,672,11,170,170,1.0,91,0.5352941176470588
37,477,646,11,178,178,1.0,99,0.5561797752808989
38,491,659,11,205,205,1.0,103,0.5024390243902439
39,343,467,11,150,150,1.0,74,0.49333333333333335
40,369,494,11,125,125,1.0,60,0.48
41,443,628,11,213,213,1.0,93,0.43661971830985913
42,410,525,11,139,139,1.0,84,0.60431654676259
43,552,730,11,185,185,1.0,68,0.3675675675675676
44,564,758,11,196,196,1.0,86,0.4387755102040816
45,561,731,11,190,190,1.0,81,0.4263157894736842
46,484,671,11,191,191,1.0,96,0.5026178010471204
47,557,751,11,235,235,1.0,92,0.39148936170212767
48,528,733,11,197,197,1.0,94,0.47715736040609136
49,549,737,11,174,174,1.0,65,0.3735632183908046
50,497,655,11,202,202,1.0,128,0.6336633663366337
51,520,713,11,207,207,1.0,106,0.5120772946859904
52,440,623,11,165,165,1.0,79,0.47878787878787876
53,497,673,11,191,191,1.0,96,0.5026178010471204
54,545,738,11,169,169,1.0,67,0.39644970414201186
55,508,671,11,163,163,1.0,72,0.44171779141104295
56,356,497,11,123,123,1.0,60,0.4878048780487805
57,524,704,11,157,157,1.0,85,0.5414012738853503
58,460,650,11,180,180,1.0,111,0.6166666666666667
59,459,622,11,177,177,1.0,83,0.4689265536723164
60,544,709,11,155,155,1.0,89,0.5741935483870968
61,476,664,11,194,194,1.0,107,0.5515463917525774
62,514,690,11,191,191,1.0,69,0.3612565445026178
63,435,635,11,179,179,1.0,101,0.5642458100558659
64,402,567,11,160,160,1.0,74,0.4625
65,514,709,11,205,205,1.0,75,0.36585365853658536
66,519,745,11,208,208,1.0,119,0.5721153846153846
67,495,643,11,160,160,1.0,71,0.44375
68,526,695,11,167,167,1.0,71,0.4251497005988024
69,505,691,11,174,174,1.0,74,0.42528735632183906
70,589,770,11,181,181,1.0,108,0.5966850828729282
71,495,687,11,184,184,1.0,76,0.41304347826086957
72,482,663,11,175,175,1.0,92,0.5257142857142857
73,484,656,11,149,149,1.0,67,0.44966442953020136
74,565,754,11,201,201,1.0,100,0.4975124378109453
75,465,634,11,164,164,1.0,68,0.4146341463414634
76,375,510,11,121,121,1.0,53,0.4380165289256198
77,446,596,11,155,155,1.0,82,0.5290322580645161
78,490,652,11,156,156,1.0,72,0.46153846153846156
79,446,615,11,143,143,1.0,71,0.4965034965034965
80,404,567,11,145,145,1.0,76,0.5241379310344828
81,392,555,11,144,144,1.0,63,0.4375
82,517,689,11,200,200,1.0,107,0.535
83,471,639,11,163,163,1.0,80,0.49079754601226994
84,458,621,11,154,154,1.0,62,0.4025974025974026
85,480,660,11,181,181,1.0,71,0.39226519337016574
86,355,513,11,152,152,1.0,81,0.5328947368421053
87,433,608,11,169,169,1.0,99,0.5857988165680473
88,524,728,11,187,187,1.0,93,0.49732620320855614
89,517,698,11,182,182,1.0,77,0.4230769230769231
90,545,726,11,189,189,1.0,130,0.6878306878306878
91,495,641,11,129,129,1.0,50,0.3875968992248062
92,528,701,11,155,155,1.0,70,0.45161290322580644
93,514,712,11,186,186,1.0,84,0.45161290322580644
94,396,582,11,154,154,1.0,100,0.6493506493506493
95,390,563,11,144,144,1.0,86,0.5972222222222222
96,305,412,11,119,119,1.0,65,0.5462184873949579
97,499,648,11,152,152,1.0,79,0.5197368421052632
98,384,553,11,136,136,1.0,71,0.5220588235294118
99,528,718,11,193,193,1.0,91,0.47150259067357514
