age,xhat,yhat,occurrences,unique_beliefs,unique_urc_levels,mse_mean,mse_std,mse_min,mse_max,mse_range,modal_level_disagreement
1,0,2,2,2,2,0.07500000000000001,0.0049999999999999975,0.07,0.08,0.009999999999999995,0.5
1,0,3,2,2,2,0.07500000000000001,0.0049999999999999975,0.07,0.08,0.009999999999999995,0.5
1,1,0,2,2,2,0.06,0.02,0.04,0.08,0.04,0.5
1,1,8,2,2,1,0.05,0.0,0.05,0.05,0.0,0.0
1,2,0,2,2,2,0.07500000000000001,0.0049999999999999975,0.07,0.08,0.009999999999999995,0.5
1,2,7,2,2,1,0.08,0.0,0.08,0.08,0.0,0.0
1,3,4,2,2,1,0.08,0.0,0.08,0.08,0.0,0.0
1,3,5,3,3,1,0.08,0.0,0.08,0.08,0.0,0.0
1,4,0,2,2,2,0.07500000000000001,0.0049999999999999975,0.07,0.08,0.009999999999999995,0.5
1,4,5,2,2,1,0.08,0.0,0.08,0.08,0.0,0.0
1,4,9,2,2,2,0.07500000000000001,0.0049999999999999975,0.07,0.08,0.009999999999999995,0.5
1,6,1,2,2,2,0.065,0.015,0.05,0.08,0.03,0.5
1,6,5,3,3,1,0.08,0.0,0.08,0.08,0.0,0.0
1,6,8,2,2,2,0.065,0.015,0.05,0.08,0.03,0.5
1,7,1,3,3,2,0.07,0.01414213562373095,0.05,0.08,0.03,0.33333333333333337
1,7,2,3,3,1,0.08,0.0,0.08,0.08,0.0,0.0
1,7,5,3,3,1,0.08,0.0,0.08,0.08,0.0,0.0
1,7,8,2,2,2,0.065,0.015,0.05,0.08,0.03,0.5
1,8,5,2,2,1,0.08,0.0,0.08,0.08,0.0,0.0
1,9,7,2,2,2,0.075,0.0050000000000000044,0.06999999999999999,0.08,0.010000000000000009,0.5
1,9,8,2,2,2,0.075,0.0050000000000000044,0.06999999999999999,0.08,0.010000000000000009,0.5
2,0,1,2,2,1,0.14679999999999999,0.0034999999999999892,0.1433,0.1503,0.0069999999999999785,0.0
2,0,2,3,3,2,0.15226666666666666,0.008242302806592062,0.1433,0.16319999999999998,0.019899999999999973,0.33333333333333337
2,1,7,2,2,1,0.1296,0.000999999999999987,0.12860000000000002,0.1306,0.001999999999999974,0.0
2,2,0,2,2,1,0.13040000000000002,0.019400000000000008,0.111,0.14980000000000002,0.038800000000000015,0.0
2,2,6,2,2,1,0.16100000000000003,0.0014999999999999875,0.15950000000000003,0.1625,0.002999999999999975,0.0
2,3,0,2,2,1,0.14645000000000002,0.003850000000000006,0.1426,0.15030000000000002,0.007700000000000012,0.0
2,3,5,3,3,1,0.1610666666666667,0.001508494466531279,0.16000000000000003,0.16319999999999998,0.003199999999999953,0.0
2,4,0,2,2,2,0.15325,0.00995,0.14329999999999998,0.16319999999999998,0.0199,0.5
2,4,5,4,4,1,0.16160000000000002,0.0015999999999999764,0.16000000000000003,0.16319999999999998,0.003199999999999953,0.0
2,5,0,2,2,1,0.14679999999999999,0.003500000000000017,0.14329999999999998,0.15030000000000002,0.007000000000000034,0.0
2,5,5,2,2,1,0.16160000000000002,0.0015999999999999764,0.16000000000000003,0.16319999999999998,0.003199999999999953,0.0
2,5,9,2,2,1,0.14679999999999999,0.003500000000000017,0.14329999999999998,0.15030000000000002,0.007000000000000034,0.0
2,6,5,2,2,1,0.16160000000000002,0.0015999999999999764,0.16000000000000003,0.16319999999999998,0.003199999999999953,0.0
2,7,1,3,3,2,0.137,0.018772497613974187,0.119,0.1629,0.043899999999999995,0.33333333333333337
2,7,2,4,4,2,0.145075,0.014176102249913423,0.1309,0.15950000000000003,0.028600000000000042,0.5
2,7,3,3,3,1,0.16066666666666665,0.0013123346456686317,0.1595,0.1625,0.0030000000000000027,0.0
2,7,5,4,4,1,0.16160000000000002,0.0015999999999999764,0.16000000000000003,0.16319999999999998,0.003199999999999953,0.0
2,7,8,2,2,2,0.14455,0.015450000000000005,0.12910000000000002,0.16000000000000003,0.03090000000000001,0.5
2,8,5,3,3,1,0.1610666666666667,0.001508494466531279,0.16000000000000003,0.16319999999999998,0.003199999999999953,0.0
2,8,8,2,2,2,0.14600000000000002,0.016899999999999984,0.12910000000000002,0.1629,0.03379999999999997,0.5
2,9,5,2,2,2,0.15675,0.00644999999999997,0.15030000000000004,0.16319999999999998,0.01289999999999994,0.5
2,9,8,3,3,2,0.15216666666666667,0.008109802025258623,0.14329999999999998,0.1629,0.019600000000000006,0.33333333333333337
2,9,9,2,2,1,0.14195000000000002,0.0013499999999999762,0.14060000000000003,0.14329999999999998,0.0026999999999999524,0.0
3,0,0,2,2,1,0.21719199999999997,0.002705999999999986,0.21448599999999998,0.21989799999999995,0.005411999999999972,0.0
3,0,1,3,3,2,0.22576433333333332,0.00570814659548576,0.21989799999999995,0.23349999999999999,0.01360200000000003,0.33333333333333337
3,2,5,2,2,1,0.24551399999999998,0.0033280000000000254,0.24218599999999996,0.248842,0.006656000000000051,0.0
3,2,7,2,2,1,0.208789,0.00028799999999996884,0.20850100000000005,0.20907699999999999,0.0005759999999999377,0.0
3,3,0,2,2,1,0.20435600000000004,0.01832400000000002,0.186032,0.22268000000000004,0.03664800000000004,0.0
3,3,5,2,2,1,0.2428245,0.0003595000000000126,0.24246499999999999,0.243184,0.0007190000000000252,0.0
3,4,0,2,2,1,0.22151550000000003,0.0023705000000000115,0.219145,0.22388600000000003,0.004741000000000023,0.0
3,4,5,4,4,1,0.2431955,4.499999999983684e-06,0.24319100000000002,0.2432,8.999999999981245e-06,0.0
3,5,0,2,2,2,0.226839,0.006951999999999973,0.21988700000000005,0.233791,0.013903999999999944,0.5
