age,occurrences,unique_beliefs,unique_urc_levels,mse_mean,mse_std,mse_min,mse_max,mse_range,modal_level_disagreement
0,78,1,1,0.0,0.0,0.0,0.0,0.0,0.0
1,78,16,2,0.07397435897435899,0.010419378345271207,0.04,0.08,0.04,0.3589743589743589
2,76,40,2,0.1492197368421053,0.016229262230992723,0.0886,0.16319999999999998,0.07459999999999999,0.5
3,73,57,2,0.2265266301369863,0.01977374089821591,0.16753600000000002,0.2496,0.08206399999999997,0.4383561643835616
4,71,64,3,0.30220910225352116,0.026569887539487056,0.19760702000000002,0.3392,0.14159297999999998,0.49295774647887325
5,67,67,3,0.381231420216418,0.03192908765431287,0.27209713440000005,0.43199999720000004,0.1599028628,0.4925373134328358
6,63,63,3,0.4587059805840476,0.03844148780822302,0.35055099229200004,0.5279998193569999,0.17744882706499987,0.4920634920634921
7,58,58,3,0.5361243263901974,0.043682190936347835,0.43234833958064006,0.60797732221418,0.17562898263353993,0.5
8,54,54,4,0.6168968250906843,0.04787031455736476,0.4776953738079446,0.7063644074862061,0.22866903367826152,0.537037037037037
9,49,49,4,0.6964430770100588,0.052466855474635955,0.5712052718007173,0.8009180994303503,0.22971282762963297,0.5510204081632653
10,45,45,3,0.772888612148992,0.05924433373100619,0.6676530908493433,0.8763417488568085,0.20868865800746517,0.48888888888888893
