threshold,median_first_passage,mean_first_passage,q1_first_passage,q3_first_passage,stddev_first_passage,reached_fraction,not_reached_fraction
1,1.0,1.0,1.0,1.0,0.0,1.0,0.0
2,1.0,1.0,1.0,1.0,0.0,1.0,0.0
3,1.0,1.0,1.0,1.0,0.0,1.0,0.0
4,1.0,1.0176947246568546,1.0,1.0,0.13183937718365002,0.9772139625080801,0.022786037491919875
5,1.0,1.1875310071109642,1.0,1.0,0.39033719843605946,0.9772139625080801,0.022786037491919875
6,2.0,1.5339837936166694,1.0,2.0,0.49884376489179416,0.9772139625080801,0.022786037491919875
7,2.0,2.012582894065635,2.0,2.0,0.11146553208309778,0.9503878474466709,0.04961215255332907
8,2.0,2.087060023805475,2.0,2.0,0.2819229966860904,0.9503878474466709,0.04961215255332907
9,2.0,2.239585104574052,2.0,2.0,0.4268302733409295,0.9503878474466709,0.04961215255332907
10,2.0,2.4254085397996836,2.0,3.0,0.5190258106813129,0.919683257918552,0.08031674208144801
11,3.0,2.749604638903532,2.0,3.0,0.6034206089321533,0.919683257918552,0.08031674208144801
12,3.0,3.0261816903883325,3.0,3.0,0.595050594195534,0.919683257918552,0.08031674208144801
13,3.0,3.396892138939671,3.0,4.0,0.5133228964737855,0.8839689722042663,0.11603102779573371
14,4.0,3.729981718464351,3.0,4.0,0.7210827474939524,0.8839689722042663,0.11603102779573371
15,4.0,4.11573137074517,3.0,5.0,0.8901179818847443,0.8783128636069812,0.12168713639301876
16,5.0,4.588032220943614,4.0,5.0,0.9817175334165663,0.8425985778926955,0.15740142210730446
17,5.0,5.119673088149446,4.0,6.0,1.1104941803249266,0.8304783451842276,0.16952165481577242
18,6.0,5.714401131084629,5.0,6.0,1.1608787650050811,0.8000969618616678,0.1999030381383322
19,,,,,,0.0,1.0
