threshold,total_starts,reached_count,not_reached_count,reached_fraction,not_reached_fraction,first_step_min,first_step_q1,first_step_median,first_step_mean,first_step_q3,first_step_max,first_step_stddev
1,6188,6188,0,1.0,0.0,1,1.0,1.0,1.0,1.0,1,0.0
2,6188,6188,0,1.0,0.0,1,1.0,1.0,1.0,1.0,1,0.0
3,6188,6188,0,1.0,0.0,1,1.0,1.0,1.0,1.0,1,0.0
4,6188,6047,141,0.9772139625080801,0.022786037491919875,1,1.0,1.0,1.0176947246568546,1.0,2,0.13183937718365002
5,6188,6047,141,0.9772139625080801,0.022786037491919875,1,1.0,1.0,1.1875310071109642,1.0,2,0.39033719843605946
6,6188,6047,141,0.9772139625080801,0.022786037491919875,1,1.0,2.0,1.5339837936166694,2.0,2,0.49884376489179416
7,6188,5881,307,0.9503878474466709,0.04961215255332907,2,2.0,2.0,2.012582894065635,2.0,3,0.11146553208309778
8,6188,5881,307,0.9503878474466709,0.04961215255332907,2,2.0,2.0,2.087060023805475,2.0,3,0.2819229966860904
9,6188,5881,307,0.9503878474466709,0.04961215255332907,2,2.0,2.0,2.239585104574052,2.0,3,0.4268302733409295
10,6188,5691,497,0.919683257918552,0.08031674208144801,2,2.0,2.0,2.4254085397996836,3.0,4,0.5190258106813129
11,6188,5691,497,0.919683257918552,0.08031674208144801,2,2.0,3.0,2.749604638903532,3.0,4,0.6034206089321533
12,6188,5691,497,0.919683257918552,0.08031674208144801,2,3.0,3.0,3.0261816903883325,3.0,4,0.595050594195534
13,6188,5470,718,0.8839689722042663,0.11603102779573371,3,3.0,3.0,3.396892138939671,4.0,5,0.5133228964737855
14,6188,5470,718,0.8839689722042663,0.11603102779573371,3,3.0,4.0,3.729981718464351,4.0,5,0.7210827474939524
15,6188,5435,753,0.8783128636069812,0.12168713639301876,3,3.0,4.0,4.11573137074517,5.0,6,0.8901179818847443
16,6188,5214,974,0.8425985778926955,0.15740142210730446,3,4.0,5.0,4.588032220943614,5.0,7,0.9817175334165663
17,6188,5139,1049,0.8304783451842276,0.16952165481577242,3,4.0,5.0,5.119673088149446,6.0,8,1.1104941803249266
18,6188,4951,1237,0.8000969618616678,0.1999030381383322,4,5.0,6.0,5.714401131084629,6.0,9,1.1608787650050811
19,6188,0,6188,0.0,1.0,,,,,,,
