group,median_first_passage,q3_first_passage,mean_not_reached_fraction,minimum_not_reached_fraction,maximum_not_reached_fraction,not_reached_tolerance,thresholds,minimum_threshold,maximum_threshold
1,1.0,1.0,0.0,0.0,0.0,0.02,"1,2,3",1,3
2,1.0,1.0,0.022786037491919875,0.022786037491919875,0.022786037491919875,0.02,"4,5",4,5
3,2.0,2.0,0.022786037491919875,0.022786037491919875,0.022786037491919875,0.02,6,6,6
4,2.0,2.0,0.04961215255332907,0.04961215255332907,0.04961215255332907,0.02,"7,8,9",7,9
5,2.0,3.0,0.08031674208144801,0.08031674208144801,0.08031674208144801,0.02,10,10,10
6,3.0,3.0,0.08031674208144801,0.08031674208144801,0.08031674208144801,0.02,"11,12",11,12
7,3.0,4.0,0.11603102779573371,0.11603102779573371,0.11603102779573371,0.02,13,13,13
8,4.0,4.0,0.11603102779573371,0.11603102779573371,0.11603102779573371,0.02,14,14,14
9,4.0,5.0,0.12168713639301876,0.12168713639301876,0.12168713639301876,0.02,15,15,15
10,5.0,5.0,0.15740142210730446,0.15740142210730446,0.15740142210730446,0.02,16,16,16
11,5.0,6.0,0.16952165481577242,0.16952165481577242,0.16952165481577242,0.02,17,17,17
12,6.0,6.0,0.1999030381383322,0.1999030381383322,0.1999030381383322,0.02,18,18,18
13,nie,nie,1.0,1.0,1.0,0.02,19,19,19
