model,start_x,start_y,threshold,reached,first_passage_step,actual_update_step,fallback_used
10,0,0,1,1,1,1,0
10,0,0,2,1,1,1,0
10,0,0,3,1,1,1,0
10,0,0,4,1,1,1,0
10,0,0,5,1,2,2,0
10,0,0,6,1,2,2,0
10,0,0,7,1,2,2,0
10,0,0,8,1,2,2,0
10,0,0,9,1,3,3,0
10,0,0,10,1,3,3,0
10,0,0,11,1,3,3,0
10,0,0,12,1,3,3,0
10,0,0,13,1,4,4,0
10,0,0,14,1,4,4,0
10,0,0,15,1,4,4,0
10,0,0,16,1,5,5,0
10,0,0,17,1,6,6,0
10,0,0,18,1,6,6,0
10,0,0,19,0,,10,1
10,0,6,1,1,1,1,0
10,0,6,2,1,1,1,0
10,0,6,3,1,1,1,0
10,0,6,4,1,1,1,0
10,0,6,5,1,1,1,0
10,0,6,6,1,2,2,0
10,0,6,7,1,2,2,0
10,0,6,8,1,2,2,0
10,0,6,9,1,2,2,0
10,0,6,10,1,2,2,0
10,0,6,11,1,3,3,0
10,0,6,12,1,3,3,0
10,0,6,13,1,3,3,0
10,0,6,14,1,3,3,0
10,0,6,15,1,3,3,0
10,0,6,16,1,4,4,0
10,0,6,17,1,4,4,0
10,0,6,18,1,4,4,0
10,0,6,19,0,,10,1
10,1,0,1,1,1,1,0
10,1,0,2,1,1,1,0
10,1,0,3,1,1,1,0
10,1,0,4,1,1,1,0
10,1,0,5,1,1,1,0
10,1,0,6,1,2,2,0
10,1,0,7,1,2,2,0
10,1,0,8,1,2,2,0
10,1,0,9,1,2,2,0
10,1,0,10,1,3,3,0
10,1,0,11,1,3,3,0
10,1,0,12,1,3,3,0
10,1,0,13,1,3,3,0
10,1,0,14,1,4,4,0
10,1,0,15,1,4,4,0
10,1,0,16,1,5,5,0
10,1,0,17,1,5,5,0
10,1,0,18,1,5,5,0
10,1,0,19,0,,10,1
10,1,1,1,1,1,1,0
10,1,1,2,1,1,1,0
10,1,1,3,1,1,1,0
10,1,1,4,1,1,1,0
10,1,1,5,1,2,2,0
10,1,1,6,1,2,2,0
10,1,1,7,1,2,2,0
10,1,1,8,1,2,2,0
10,1,1,9,1,3,3,0
10,1,1,10,1,3,3,0
10,1,1,11,1,3,3,0
10,1,1,12,1,3,3,0
10,1,1,13,1,4,4,0
10,1,1,14,1,4,4,0
10,1,1,15,1,4,4,0
10,1,1,16,1,4,4,0
10,1,1,17,1,5,5,0
10,1,1,18,1,6,6,0
10,1,1,19,0,,10,1
10,1,3,1,1,1,1,0
10,1,3,2,1,1,1,0
10,1,3,3,1,1,1,0
10,1,3,4,1,1,1,0
10,1,3,5,1,1,1,0
10,1,3,6,1,1,1,0
10,1,3,7,1,2,2,0
10,1,3,8,1,2,2,0
10,1,3,9,1,2,2,0
10,1,3,10,1,2,2,0
10,1,3,11,1,2,2,0
10,1,3,12,1,3,3,0
10,1,3,13,1,3,3,0
10,1,3,14,1,3,3,0
10,1,3,15,1,3,3,0
10,1,3,16,1,4,4,0
10,1,3,17,1,4,4,0
10,1,3,18,1,4,4,0
10,1,3,19,0,,10,1
10,1,5,1,1,1,1,0
10,1,5,2,1,1,1,0
10,1,5,3,1,1,1,0
10,1,5,4,1,1,1,0
10,1,5,5,1,1,1,0
10,1,5,6,1,1,1,0
10,1,5,7,1,2,2,0
10,1,5,8,1,2,2,0
10,1,5,9,1,2,2,0
10,1,5,10,1,2,2,0
10,1,5,11,1,2,2,0
10,1,5,12,1,3,3,0
10,1,5,13,1,3,3,0
10,1,5,14,1,3,3,0
10,1,5,15,1,3,3,0
10,1,5,16,1,4,4,0
10,1,5,17,1,4,4,0
10,1,5,18,1,5,5,0
10,1,5,19,0,,10,1
10,1,6,1,1,1,1,0
10,1,6,2,1,1,1,0
10,1,6,3,1,1,1,0
10,1,6,4,1,1,1,0
10,1,6,5,1,1,1,0
10,1,6,6,1,1,1,0
10,1,6,7,1,2,2,0
10,1,6,8,1,2,2,0
10,1,6,9,1,2,2,0
10,1,6,10,1,2,2,0
10,1,6,11,1,2,2,0
10,1,6,12,1,3,3,0
10,1,6,13,1,3,3,0
10,1,6,14,1,3,3,0
10,1,6,15,1,3,3,0
10,1,6,16,1,3,3,0
10,1,6,17,1,4,4,0
10,1,6,18,1,4,4,0
10,1,6,19,0,,10,1
10,2,0,1,1,1,1,0
10,2,0,2,1,1,1,0
10,2,0,3,1,1,1,0
10,2,0,4,1,1,1,0
10,2,0,5,1,1,1,0
10,2,0,6,1,2,2,0
10,2,0,7,1,2,2,0
10,2,0,8,1,2,2,0
10,2,0,9,1,2,2,0
10,2,0,10,1,2,2,0
10,2,0,11,1,3,3,0
10,2,0,12,1,3,3,0
10,2,0,13,1,3,3,0
10,2,0,14,1,3,3,0
10,2,0,15,1,4,4,0
10,2,0,16,1,4,4,0
10,2,0,17,1,4,4,0
10,2,0,18,1,5,5,0
10,2,0,19,0,,10,1
10,2,1,1,1,1,1,0
10,2,1,2,1,1,1,0
10,2,1,3,1,1,1,0
