model,group,actual_update_median,actual_update_q3,mean_fallback_fraction,minimum_fallback_fraction,maximum_fallback_fraction,fallback_tolerance,thresholds,minimum_threshold,maximum_threshold
10,1,1.0,1.0,0.0,0.0,0.0,0.02,"1,2,3",1,3
10,2,1.0,1.0,0.02857142857142857,0.02857142857142857,0.02857142857142857,0.02,"4,5",4,5
10,3,1.0,2.0,0.02857142857142857,0.02857142857142857,0.02857142857142857,0.02,6,6,6
10,4,2.0,2.0,0.05714285714285714,0.05714285714285714,0.05714285714285714,0.02,"7,8,9",7,9
10,5,2.0,3.0,0.1,0.1,0.1,0.02,10,10,10
10,6,3.0,3.0,0.1,0.1,0.1,0.02,"11,12",11,12
10,7,3.0,4.0,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.02,13,13,13
10,8,4.0,4.0,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.02,14,14,14
10,9,4.0,5.0,0.15714285714285714,0.15714285714285714,0.15714285714285714,0.02,15,15,15
10,10,4.5,6.0,0.18571428571428572,0.18571428571428572,0.18571428571428572,0.02,16,16,16
10,11,5.0,6.75,0.21428571428571427,0.21428571428571427,0.21428571428571427,0.02,17,17,17
10,12,6.0,10.0,0.2714285714285714,0.2714285714285714,0.2714285714285714,0.02,18,18,18
10,13,10.0,10.0,1.0,1.0,1.0,0.02,19,19,19
11,1,1.0,1.0,0.0,0.0,0.0,0.02,"1,2,3",1,3
11,2,1.0,1.0,0.020833333333333332,0.020833333333333332,0.020833333333333332,0.02,"4,5",4,5
11,3,2.0,2.0,0.020833333333333332,0.020833333333333332,0.020833333333333332,0.02,6,6,6
11,4,2.0,2.0,0.041666666666666664,0.041666666666666664,0.041666666666666664,0.02,"7,8",7,8
11,5,2.0,3.0,0.041666666666666664,0.041666666666666664,0.041666666666666664,0.02,9,9,9
11,6,2.0,3.0,0.0625,0.0625,0.0625,0.02,10,10,10
11,7,3.0,3.0,0.0625,0.0625,0.0625,0.02,"11,12",11,12
11,8,3.0,4.0,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.02,13,13,13
11,9,4.0,4.0,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.02,14,14,14
11,10,4.0,5.0,0.10416666666666667,0.10416666666666667,0.10416666666666667,0.02,15,15,15
11,11,4.5,5.0,0.14583333333333334,0.14583333333333334,0.14583333333333334,0.02,16,16,16
11,12,5.0,6.0,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.02,17,17,17
11,13,6.0,7.0,0.20833333333333334,0.20833333333333334,0.20833333333333334,0.02,18,18,18
11,14,10.0,10.0,1.0,1.0,1.0,0.02,19,19,19
12,1,1.0,1.0,0.005333333333333334,0.0,0.013333333333333334,0.02,"1,2,3,4,5",1,5
12,2,2.0,2.0,0.023333333333333334,0.013333333333333334,0.02666666666666667,0.02,"6,7,8,9",6,9
12,3,2.0,3.0,0.04,0.04,0.04,0.02,10,10,10
12,4,3.0,3.0,0.04,0.04,0.04,0.02,"11,12",11,12
12,5,3.0,4.0,0.05333333333333334,0.05333333333333334,0.05333333333333334,0.02,13,13,13
12,6,4.0,4.0,0.05333333333333334,0.05333333333333334,0.05333333333333334,0.02,14,14,14
12,7,4.0,5.0,0.05333333333333334,0.05333333333333334,0.05333333333333334,0.02,15,15,15
12,8,5.0,5.0,0.09333333333333334,0.09333333333333334,0.09333333333333334,0.02,16,16,16
12,9,5.0,6.0,0.10666666666666667,0.10666666666666667,0.10666666666666667,0.02,17,17,17
12,10,6.0,7.0,0.14666666666666667,0.14666666666666667,0.14666666666666667,0.02,18,18,18
12,11,10.0,10.0,1.0,1.0,1.0,0.02,19,19,19
13,1,1.0,1.0,0.005555555555555555,0.0,0.013888888888888888,0.02,"1,2,3,4,5",1,5
13,2,1.5,2.0,0.013888888888888888,0.013888888888888888,0.013888888888888888,0.02,6,6,6
13,3,2.0,2.0,0.041666666666666664,0.041666666666666664,0.041666666666666664,0.02,"7,8,9",7,9
13,4,2.0,3.0,0.06944444444444445,0.06944444444444445,0.06944444444444445,0.02,10,10,10
13,5,3.0,3.0,0.06944444444444445,0.06944444444444445,0.06944444444444445,0.02,"11,12",11,12
13,6,3.0,4.0,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.02,13,13,13
13,7,4.0,4.0,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.02,14,14,14
13,8,4.0,5.0,0.125,0.125,0.125,0.02,15,15,15
13,9,5.0,6.0,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.02,16,16,16
13,10,6.0,7.0,0.18055555555555555,0.18055555555555555,0.18055555555555555,0.02,17,17,17
