model,threshold,total_starts,actual_update_min,actual_update_q1,actual_update_median,actual_update_mean,actual_update_q3,actual_update_max,actual_update_stddev,interval_trigger_count,fallback_count,interval_trigger_fraction,fallback_fraction
10,1,70,1,1.0,1.0,1.0,1.0,1,0.0,70,0,1.0,0.0
10,2,70,1,1.0,1.0,1.0,1.0,1,0.0,70,0,1.0,0.0
10,3,70,1,1.0,1.0,1.0,1.0,1,0.0,70,0,1.0,0.0
10,4,70,1,1.0,1.0,1.2571428571428571,1.0,10,1.4993876301030773,68,2,0.9714285714285714,0.02857142857142857
10,5,70,1,1.0,1.0,1.3857142857142857,1.0,10,1.5146226040347677,68,2,0.9714285714285714,0.02857142857142857
10,6,70,1,1.0,1.0,1.6857142857142857,2.0,10,1.5075321095169052,68,2,0.9714285714285714,0.02857142857142857
10,7,70,2,2.0,2.0,2.4571428571428573,2.0,10,1.8569230639167909,66,4,0.9428571428571428,0.05714285714285714
10,8,70,2,2.0,2.0,2.5,2.0,10,1.857417562100671,66,4,0.9428571428571428,0.05714285714285714
10,9,70,2,2.0,2.0,2.642857142857143,2.0,10,1.8519157207428998,66,4,0.9428571428571428,0.05714285714285714
10,10,70,2,2.0,2.0,3.1,3.0,10,2.3430749027719964,63,7,0.9,0.1
10,11,70,2,2.0,3.0,3.357142857142857,3.0,10,2.280574578513771,63,7,0.9,0.1
10,12,70,2,3.0,3.0,3.6142857142857143,3.0,10,2.199304157116565,63,7,0.9,0.1
10,13,70,3,3.0,3.0,4.271428571428571,4.0,10,2.3780029350662444,60,10,0.8571428571428571,0.14285714285714285
10,14,70,3,3.0,4.0,4.4714285714285715,4.0,10,2.334348661504829,60,10,0.8571428571428571,0.14285714285714285
10,15,70,3,3.0,4.0,4.8,5.0,10,2.376071187004776,59,11,0.8428571428571429,0.15714285714285714
10,16,70,3,4.0,4.5,5.357142857142857,6.0,10,2.3726760918285272,57,13,0.8142857142857143,0.18571428571428572
10,17,70,3,4.0,5.0,5.871428571428571,6.75,10,2.3599117935781813,55,15,0.7857142857142857,0.21428571428571427
10,18,70,4,5.0,6.0,6.5,10.0,10,2.3160927689291104,51,19,0.7285714285714285,0.2714285714285714
10,19,70,10,10.0,10.0,10.0,10.0,10,0.0,0,70,0.0,1.0
11,1,48,1,1.0,1.0,1.0,1.0,1,0.0,48,0,1.0,0.0
11,2,48,1,1.0,1.0,1.0,1.0,1,0.0,48,0,1.0,0.0
11,3,48,1,1.0,1.0,1.0,1.0,1,0.0,48,0,1.0,0.0
11,4,48,1,1.0,1.0,1.2083333333333333,1.0,10,1.2903218806001684,47,1,0.9791666666666666,0.020833333333333332
11,5,48,1,1.0,1.0,1.375,1.0,10,1.3169567191065923,47,1,0.9791666666666666,0.020833333333333332
11,6,48,1,1.0,2.0,1.75,2.0,10,1.299038105676658,47,1,0.9791666666666666,0.020833333333333332
11,7,48,2,2.0,2.0,2.3541666666666665,2.0,10,1.600645486115593,46,2,0.9583333333333334,0.041666666666666664
11,8,48,2,2.0,2.0,2.4375,2.0,10,1.6060594893506697,46,2,0.9583333333333334,0.041666666666666664
11,9,48,2,2.0,2.0,2.5833333333333335,3.0,10,1.6051133570215186,46,2,0.9583333333333334,0.041666666666666664
11,10,48,2,2.0,2.0,2.8958333333333335,3.0,10,1.9065630435128256,45,3,0.9375,0.0625
11,11,48,2,2.0,3.0,3.2083333333333335,3.0,10,1.8479530717947237,45,3,0.9375,0.0625
11,12,48,2,3.0,3.0,3.4583333333333335,3.0,10,1.7790251700174327,45,3,0.9375,0.0625
11,13,48,3,3.0,3.0,3.9583333333333335,4.0,10,1.8925108248626272,44,4,0.9166666666666666,0.08333333333333333
11,14,48,3,3.0,4.0,4.208333333333333,4.0,10,1.8814703174792728,44,4,0.9166666666666666,0.08333333333333333
11,15,48,3,3.0,4.0,4.604166666666667,5.0,10,2.0076892120600296,43,5,0.8958333333333334,0.10416666666666667
11,16,48,3,4.0,4.5,5.25,5.0,10,2.0966242709015206,41,7,0.8541666666666666,0.14583333333333334
