model,step,threshold_rounded_mean,selected_as_threshold,width_mean,width_median,width_q1,width_q3,width_min,width_max,width_stddev,total_mape_start_states,contributing_start_states,contributing_fraction
10,1,5,1,5.357142857142857,6.0,5.0,6.0,3,6,0.8112726208286105,70,70,1.0
10,2,10,1,9.897058823529411,10.0,9.0,11.0,6,12,1.6191837620737561,70,68,0.9714285714285714
10,3,13,1,13.454545454545455,13.0,12.0,15.0,9,17,2.133298897793702,70,66,0.9428571428571428
10,4,16,1,15.793650793650794,16,14.0,18.0,12,18,1.8785229773595062,70,63,0.9
10,5,17,1,16.966666666666665,18.0,16.0,18.0,14,18,1.2378296418418093,70,60,0.8571428571428571
10,6,18,1,17.68421052631579,18,18.0,18.0,16,18,0.6257036666711231,70,57,0.8142857142857143
10,7,18,0,17.96153846153846,18.0,18.0,18.0,17,18,0.19230769230769232,70,52,0.7428571428571429
10,8,18,0,18.0,18.0,18.0,18.0,18,18,0.0,70,46,0.6571428571428571
10,9,18,0,18.0,18.0,18.0,18.0,18,18,0.0,70,44,0.6285714285714286
10,10,18,0,18.0,18.0,18.0,18.0,18,18,0.0,70,40,0.5714285714285714
11,1,5,1,5.166666666666667,5.0,5.0,6.0,3,6,0.8498365855987975,48,48,1.0
11,2,10,1,9.595744680851064,10,8.0,11.0,6,12,1.6715335609704132,48,47,0.9791666666666666
11,3,13,1,13.065217391304348,13.0,12.0,15.0,9,16,1.881282794462603,48,46,0.9583333333333334
11,4,15,1,15.377777777777778,16,14.0,17.0,12,18,1.6232873215777488,48,45,0.9375
11,5,17,1,16.954545454545453,17.0,16.0,18.0,14,18,1.2239010925305691,48,44,0.9166666666666666
11,6,18,1,17.666666666666668,18.0,18.0,18.0,15,18,0.7766431633476233,48,42,0.875
11,7,18,0,17.9,18.0,18.0,18.0,16,18,0.3741657386773941,48,40,0.8333333333333334
11,8,18,0,18.0,18.0,18.0,18.0,18,18,0.0,48,38,0.7916666666666666
11,9,18,0,18.0,18.0,18.0,18.0,18,18,0.0,48,36,0.75
11,10,18,0,18.0,18,18.0,18.0,18,18,0.0,48,33,0.6875
12,1,5,1,5.32,5,5.0,6.0,3,6,0.7687218829546439,75,75,1.0
12,2,10,1,9.797297297297296,10.0,9.0,11.0,6,12,1.4235445837361707,75,74,0.9866666666666667
12,3,13,1,13.123287671232877,13,12.0,14.0,9,16,1.6794095952084287,75,73,0.9733333333333334
12,4,15,1,15.277777777777779,15.0,14.0,16.0,12,18,1.5565473029024333,75,72,0.96
