model,group,median_first_passage,q3_first_passage,mean_not_reached_fraction,minimum_not_reached_fraction,maximum_not_reached_fraction,not_reached_tolerance,thresholds,minimum_threshold,maximum_threshold
10,1,1.0,1.0,0.0,0.0,0.0,0.02,"1,2,3",1,3
10,2,1.0,1.0,0.02857142857142858,0.02857142857142858,0.02857142857142858,0.02,"4,5",4,5
10,3,1.0,2.0,0.02857142857142858,0.02857142857142858,0.02857142857142858,0.02,6,6,6
10,4,2.0,2.0,0.05714285714285716,0.05714285714285716,0.05714285714285716,0.02,"7,8,9",7,9
10,5,2.0,3.0,0.09999999999999998,0.09999999999999998,0.09999999999999998,0.02,10,10,10
10,6,3.0,3.0,0.09999999999999998,0.09999999999999998,0.09999999999999998,0.02,"11,12",11,12
10,7,3.0,4.0,0.1428571428571429,0.1428571428571429,0.1428571428571429,0.02,"13,14",13,14
10,8,4.0,4.5,0.15714285714285714,0.15714285714285714,0.15714285714285714,0.02,15,15,15
10,9,4.0,5.0,0.18571428571428572,0.18571428571428572,0.18571428571428572,0.02,16,16,16
10,10,4.0,6.0,0.2142857142857143,0.2142857142857143,0.2142857142857143,0.02,17,17,17
10,11,5.0,6.0,0.27142857142857146,0.27142857142857146,0.27142857142857146,0.02,18,18,18
10,12,nie,nie,1.0,1.0,1.0,0.02,19,19,19
11,1,1.0,1.0,0.0,0.0,0.0,0.02,"1,2,3",1,3
11,2,1.0,1.0,0.02083333333333337,0.02083333333333337,0.02083333333333337,0.02,"4,5",4,5
11,3,2.0,2.0,0.02083333333333337,0.02083333333333337,0.02083333333333337,0.02,6,6,6
11,4,2.0,2.0,0.04166666666666663,0.04166666666666663,0.04166666666666663,0.02,"7,8",7,8
11,5,2.0,2.75,0.04166666666666663,0.04166666666666663,0.04166666666666663,0.02,9,9,9
11,6,2.0,3.0,0.0625,0.0625,0.0625,0.02,10,10,10
11,7,3.0,3.0,0.0625,0.0625,0.0625,0.02,"11,12",11,12
11,8,3.0,4.0,0.08333333333333337,0.08333333333333337,0.08333333333333337,0.02,13,13,13
11,9,4.0,4.0,0.08333333333333337,0.08333333333333337,0.08333333333333337,0.02,14,14,14
11,10,4.0,4.5,0.10416666666666663,0.10416666666666663,0.10416666666666663,0.02,15,15,15
11,11,4.0,5.0,0.14583333333333337,0.14583333333333337,0.14583333333333337,0.02,16,16,16
11,12,5.0,5.0,0.16666666666666663,0.16666666666666663,0.16666666666666663,0.02,17,17,17
11,13,5.0,6.0,0.20833333333333337,0.20833333333333337,0.20833333333333337,0.02,18,18,18
11,14,nie,nie,1.0,1.0,1.0,0.02,19,19,19
12,1,1.0,1.0,0.005333333333333324,0.0,0.013333333333333308,0.02,"1,2,3,4,5",1,5
12,2,2.0,2.0,0.02333333333333329,0.013333333333333308,0.026666666666666616,0.02,"6,7,8,9",6,9
12,3,2.0,3.0,0.040000000000000036,0.040000000000000036,0.040000000000000036,0.02,10,10,10
12,4,3.0,3.0,0.040000000000000036,0.040000000000000036,0.040000000000000036,0.02,"11,12",11,12
12,5,3.0,4.0,0.053333333333333344,0.053333333333333344,0.053333333333333344,0.02,13,13,13
12,6,4.0,4.0,0.053333333333333344,0.053333333333333344,0.053333333333333344,0.02,14,14,14
12,7,4.0,5.0,0.053333333333333344,0.053333333333333344,0.053333333333333344,0.02,15,15,15
12,8,5.0,5.0,0.09333333333333338,0.09333333333333338,0.09333333333333338,0.02,16,16,16
12,9,5.0,6.0,0.10666666666666669,0.10666666666666669,0.10666666666666669,0.02,17,17,17
12,10,6.0,7.0,0.1466666666666666,0.1466666666666666,0.1466666666666666,0.02,18,18,18
12,11,nie,nie,1.0,1.0,1.0,0.02,19,19,19
13,1,1.0,1.0,0.005555555555555536,0.0,0.01388888888888884,0.02,"1,2,3,4,5",1,5
13,2,1.0,2.0,0.01388888888888884,0.01388888888888884,0.01388888888888884,0.02,6,6,6
13,3,2.0,2.0,0.04166666666666663,0.04166666666666663,0.04166666666666663,0.02,"7,8,9",7,9
13,4,2.0,3.0,0.06944444444444442,0.06944444444444442,0.06944444444444442,0.02,10,10,10
13,5,3.0,3.0,0.06944444444444442,0.06944444444444442,0.06944444444444442,0.02,"11,12",11,12
13,6,3.0,4.0,0.11111111111111116,0.11111111111111116,0.11111111111111116,0.02,13,13,13
13,7,4.0,4.0,0.11111111111111116,0.11111111111111116,0.11111111111111116,0.02,14,14,14
13,8,4.0,5.0,0.125,0.125,0.125,0.02,15,15,15
13,9,5.0,5.0,0.16666666666666663,0.16666666666666663,0.16666666666666663,0.02,16,16,16
13,10,5.0,6.0,0.18055555555555558,0.18055555555555558,0.18055555555555558,0.02,17,17,17
13,11,6.0,7.0,0.20833333333333337,0.20833333333333337,0.20833333333333337,0.02,18,18,18
13,12,nie,nie,1.0,1.0,1.0,0.02,19,19,19
14,1,1.0,1.0,0.0,0.0,0.0,0.02,"1,2,3",1,3
14,2,1.0,1.0,0.027027027027026973,0.027027027027026973,0.027027027027026973,0.02,"4,5",4,5
14,3,2.0,2.0,0.03716216216216217,0.027027027027026973,0.04054054054054057,0.02,"6,7,8,9",6,9
14,4,2.0,3.0,0.06756756756756754,0.06756756756756754,0.06756756756756754,0.02,10,10,10
14,5,3.0,3.0,0.06756756756756754,0.06756756756756754,0.06756756756756754,0.02,"11,12",11,12
14,6,3.0,4.0,0.09459459459459463,0.09459459459459463,0.09459459459459463,0.02,13,13,13
14,7,4.0,4.0,0.09459459459459463,0.09459459459459463,0.09459459459459463,0.02,14,14,14
14,8,4.0,5.0,0.10810810810810811,0.10810810810810811,0.10810810810810811,0.02,15,15,15
14,9,5.0,6.0,0.1216216216216216,0.1216216216216216,0.1216216216216216,0.02,16,16,16
14,10,6.0,6.0,0.1351351351351351,0.1351351351351351,0.1351351351351351,0.02,17,17,17
14,11,6.0,7.0,0.17567567567567566,0.17567567567567566,0.17567567567567566,0.02,18,18,18
14,12,nie,nie,1.0,1.0,1.0,0.02,19,19,19
15,1,1.0,1.0,0.0,0.0,0.0,0.02,"1,2,3",1,3
15,2,1.0,1.0,0.031746031746031744,0.031746031746031744,0.031746031746031744,0.02,"4,5",4,5
15,3,2.0,2.0,0.031746031746031744,0.031746031746031744,0.031746031746031744,0.02,6,6,6
15,4,2.0,2.0,0.06349206349206349,0.06349206349206349,0.06349206349206349,0.02,"7,8,9",7,9
15,5,2.0,3.0,0.11111111111111116,0.11111111111111116,0.11111111111111116,0.02,10,10,10
15,6,3.0,3.0,0.11111111111111116,0.11111111111111116,0.11111111111111116,0.02,"11,12",11,12
15,7,3.0,4.0,0.17460317460317465,0.17460317460317465,0.17460317460317465,0.02,13,13,13
15,8,4.0,4.0,0.17460317460317465,0.17460317460317465,0.17460317460317465,0.02,14,14,14
15,9,4.0,5.0,0.17460317460317465,0.17460317460317465,0.17460317460317465,0.02,15,15,15
15,10,5.0,5.25,0.23809523809523814,0.23809523809523814,0.23809523809523814,0.02,16,16,16
15,11,6.0,6.0,0.2698412698412699,0.2698412698412699,0.2698412698412699,0.02,17,17,17
15,12,7.0,7.0,0.33333333333333337,0.33333333333333337,0.33333333333333337,0.02,18,18,18
15,13,nie,nie,1.0,1.0,1.0,0.02,19,19,19
16,1,1.0,1.0,0.0,0.0,0.0,0.02,"1,2,3",1,3
16,2,1.0,1.0,0.026666666666666616,0.026666666666666616,0.026666666666666616,0.02,"4,5",4,5
16,3,2.0,2.0,0.026666666666666616,0.026666666666666616,0.026666666666666616,0.02,6,6,6
16,4,2.0,2.0,0.053333333333333344,0.053333333333333344,0.053333333333333344,0.02,"7,8,9",7,9
16,5,2.0,3.0,0.07999999999999996,0.07999999999999996,0.07999999999999996,0.02,10,10,10
16,6,3.0,3.0,0.07999999999999996,0.07999999999999996,0.07999999999999996,0.02,"11,12",11,12
16,7,3.0,4.0,0.10666666666666669,0.10666666666666669,0.10666666666666669,0.02,"13,14",13,14
16,8,4.0,4.0,0.10666666666666669,0.10666666666666669,0.10666666666666669,0.02,15,15,15
16,9,4.0,5.0,0.1333333333333333,0.1333333333333333,0.1333333333333333,0.02,16,16,16
16,10,4.5,6.0,0.1466666666666666,0.1466666666666666,0.1466666666666666,0.02,17,17,17
16,11,5.0,6.0,0.17333333333333334,0.17333333333333334,0.17333333333333334,0.02,18,18,18
16,12,nie,nie,1.0,1.0,1.0,0.02,19,19,19
17,1,1.0,1.0,0.0,0.0,0.0,0.02,"1,2,3",1,3
17,2,1.0,1.0,0.02941176470588236,0.02941176470588236,0.02941176470588236,0.02,"4,5",4,5
17,3,1.0,2.0,0.02941176470588236,0.02941176470588236,0.02941176470588236,0.02,6,6,6
17,4,2.0,2.0,0.05882352941176472,0.05882352941176472,0.05882352941176472,0.02,"7,8",7,8
17,5,2.0,2.25,0.05882352941176472,0.05882352941176472,0.05882352941176472,0.02,9,9,9
17,6,2.0,3.0,0.08823529411764708,0.08823529411764708,0.08823529411764708,0.02,10,10,10
17,7,3.0,3.0,0.08823529411764708,0.08823529411764708,0.08823529411764708,0.02,"11,12",11,12
17,8,3.0,4.0,0.11764705882352944,0.11764705882352944,0.11764705882352944,0.02,"13,14",13,14
17,9,4.0,5.0,0.11764705882352944,0.11764705882352944,0.11764705882352944,0.02,15,15,15
17,10,4.0,5.0,0.16176470588235292,0.16176470588235292,0.16176470588235292,0.02,"16,17",16,17
17,11,5.0,6.0,0.19117647058823528,0.19117647058823528,0.19117647058823528,0.02,18,18,18
17,12,nie,nie,1.0,1.0,1.0,0.02,19,19,19
18,1,1.0,1.0,0.005479452054794542,0.0,0.013698630136986356,0.02,"1,2,3,4,5",1,5
18,2,1.0,2.0,0.013698630136986356,0.013698630136986356,0.013698630136986356,0.02,6,6,6
