# Abstract Top-4 belief states, p=0.01, max_steps=10
# Format: id: b1 / b2 / b3 / b4 / other ; first_age

0: 100 / 0 / 0 / 0 / 0 ; first_age=0
1: 97 / 1 / 1 / 1 / 0 ; first_age=1
2: 94 / 2 / 2 / 2 / 0 ; first_age=2
3: 94 / 1 / 1 / 1 / 3 ; first_age=2
4: 94 / 2 / 1 / 1 / 2 ; first_age=2
5: 91 / 3 / 3 / 3 / 0 ; first_age=3
6: 91 / 2 / 2 / 2 / 3 ; first_age=3
7: 91 / 3 / 2 / 2 / 2 ; first_age=3
8: 91 / 2 / 2 / 1 / 4 ; first_age=3
9: 88 / 4 / 4 / 4 / 0 ; first_age=4
10: 88 / 3 / 3 / 3 / 3 ; first_age=4
11: 88 / 2 / 2 / 2 / 6 ; first_age=4
12: 88 / 4 / 3 / 3 / 2 ; first_age=4
13: 88 / 3 / 2 / 2 / 5 ; first_age=4
14: 88 / 4 / 2 / 2 / 4 ; first_age=4
15: 88 / 3 / 3 / 2 / 4 ; first_age=4
16: 86 / 5 / 4 / 4 / 1 ; first_age=5
17: 86 / 4 / 4 / 3 / 3 ; first_age=5
18: 86 / 3 / 3 / 2 / 6 ; first_age=5
19: 86 / 4 / 4 / 4 / 2 ; first_age=5
20: 86 / 3 / 3 / 3 / 5 ; first_age=5
21: 86 / 4 / 3 / 3 / 4 ; first_age=5
22: 83 / 6 / 5 / 5 / 1 ; first_age=6
23: 84 / 5 / 4 / 4 / 3 ; first_age=6
24: 84 / 4 / 3 / 3 / 6 ; first_age=6
25: 83 / 3 / 3 / 3 / 8 ; first_age=6
26: 83 / 5 / 5 / 4 / 3 ; first_age=6
27: 83 / 4 / 4 / 4 / 5 ; first_age=6
28: 83 / 5 / 4 / 4 / 4 ; first_age=6
29: 83 / 4 / 3 / 3 / 7 ; first_age=6
30: 83 / 4 / 3 / 2 / 8 ; first_age=6
31: 83 / 5 / 3 / 3 / 6 ; first_age=6
32: 83 / 4 / 4 / 3 / 6 ; first_age=6
33: 84 / 4 / 4 / 4 / 4 ; first_age=6
34: 81 / 6 / 6 / 6 / 1 ; first_age=7
35: 81 / 5 / 5 / 5 / 4 ; first_age=7
36: 81 / 5 / 4 / 4 / 6 ; first_age=7
37: 81 / 4 / 3 / 3 / 9 ; first_age=7
38: 81 / 6 / 5 / 5 / 3 ; first_age=7
39: 81 / 5 / 5 / 4 / 5 ; first_age=7
40: 81 / 4 / 4 / 3 / 8 ; first_age=7
41: 81 / 6 / 4 / 4 / 5 ; first_age=7
42: 81 / 5 / 4 / 3 / 7 ; first_age=7
43: 81 / 6 / 4 / 3 / 6 ; first_age=7
44: 81 / 5 / 3 / 3 / 8 ; first_age=7
45: 81 / 4 / 4 / 4 / 7 ; first_age=7
46: 78 / 7 / 7 / 6 / 2 ; first_age=8
47: 78 / 6 / 6 / 6 / 4 ; first_age=8
48: 79 / 5 / 5 / 5 / 6 ; first_age=8
49: 79 / 4 / 4 / 4 / 9 ; first_age=8
50: 79 / 4 / 3 / 3 / 11 ; first_age=8
51: 78 / 7 / 6 / 6 / 3 ; first_age=8
52: 79 / 6 / 5 / 5 / 5 ; first_age=8
53: 79 / 5 / 4 / 4 / 8 ; first_age=8
54: 79 / 4 / 4 / 3 / 10 ; first_age=8
55: 78 / 7 / 5 / 5 / 5 ; first_age=8
56: 79 / 6 / 4 / 4 / 7 ; first_age=8
57: 79 / 5 / 3 / 3 / 10 ; first_age=8
58: 79 / 7 / 4 / 4 / 6 ; first_age=8
59: 79 / 6 / 3 / 3 / 9 ; first_age=8
60: 79 / 5 / 4 / 3 / 9 ; first_age=8
61: 79 / 7 / 3 / 3 / 8 ; first_age=8
62: 79 / 6 / 4 / 3 / 8 ; first_age=8
63: 79 / 5 / 5 / 3 / 8 ; first_age=8
64: 79 / 6 / 5 / 4 / 6 ; first_age=8
65: 78 / 6 / 6 / 5 / 5 ; first_age=8
66: 79 / 5 / 5 / 4 / 7 ; first_age=8
67: 76 / 8 / 7 / 7 / 2 ; first_age=9
68: 76 / 7 / 6 / 6 / 5 ; first_age=9
69: 76 / 6 / 6 / 6 / 6 ; first_age=9
70: 76 / 5 / 5 / 5 / 9 ; first_age=9
71: 77 / 4 / 4 / 4 / 11 ; first_age=9
72: 76 / 7 / 7 / 6 / 4 ; first_age=9
73: 76 / 6 / 5 / 5 / 8 ; first_age=9
74: 77 / 5 / 4 / 4 / 10 ; first_age=9
75: 77 / 4 / 4 / 3 / 12 ; first_age=9
76: 76 / 7 / 5 / 5 / 7 ; first_age=9
77: 76 / 6 / 4 / 4 / 10 ; first_age=9
78: 77 / 5 / 4 / 3 / 11 ; first_age=9
79: 76 / 7 / 4 / 4 / 9 ; first_age=9
80: 76 / 6 / 4 / 3 / 11 ; first_age=9
81: 76 / 5 / 5 / 3 / 11 ; first_age=9
82: 76 / 8 / 4 / 4 / 8 ; first_age=9
83: 76 / 7 / 4 / 3 / 10 ; first_age=9
84: 76 / 6 / 5 / 3 / 10 ; first_age=9
85: 76 / 7 / 5 / 4 / 8 ; first_age=9
86: 76 / 6 / 6 / 4 / 8 ; first_age=9
87: 76 / 6 / 6 / 5 / 7 ; first_age=9
88: 76 / 5 / 5 / 4 / 10 ; first_age=9
89: 76 / 6 / 5 / 4 / 9 ; first_age=9
90: 74 / 8 / 8 / 7 / 3 ; first_age=10
91: 74 / 7 / 7 / 7 / 5 ; first_age=10
92: 74 / 7 / 6 / 6 / 7 ; first_age=10
93: 74 / 6 / 6 / 5 / 9 ; first_age=10
94: 74 / 5 / 5 / 5 / 11 ; first_age=10
95: 74 / 4 / 4 / 4 / 14 ; first_age=10
96: 74 / 8 / 7 / 7 / 4 ; first_age=10
97: 74 / 7 / 7 / 6 / 6 ; first_age=10
98: 74 / 6 / 6 / 6 / 8 ; first_age=10
99: 74 / 6 / 5 / 5 / 10 ; first_age=10
100: 74 / 5 / 4 / 4 / 13 ; first_age=10
101: 74 / 8 / 7 / 6 / 5 ; first_age=10
102: 74 / 7 / 6 / 5 / 8 ; first_age=10
103: 74 / 6 / 4 / 4 / 12 ; first_age=10
104: 74 / 5 / 5 / 3 / 13 ; first_age=10
105: 74 / 8 / 6 / 5 / 7 ; first_age=10
106: 74 / 7 / 5 / 5 / 9 ; first_age=10
107: 74 / 7 / 4 / 4 / 11 ; first_age=10
108: 74 / 6 / 5 / 3 / 12 ; first_age=10
109: 74 / 8 / 5 / 5 / 8 ; first_age=10
110: 74 / 7 / 5 / 3 / 11 ; first_age=10
111: 74 / 6 / 6 / 3 / 11 ; first_age=10
112: 74 / 8 / 4 / 4 / 10 ; first_age=10
113: 74 / 7 / 5 / 4 / 10 ; first_age=10
114: 74 / 6 / 6 / 4 / 10 ; first_age=10
115: 74 / 5 / 5 / 4 / 12 ; first_age=10
116: 74 / 6 / 5 / 4 / 11 ; first_age=10

# Number of belief states: 117
# Number of count vectors: 1001
