model,decision,threshold,actual_update_q1,actual_update_median,actual_update_mean,actual_update_q3,interval_trigger_fraction,fallback_fraction
10,1,3,1.0,1.0,1.0,1.0,1.0,0.0
10,2,5,1.0,1.0,1.3857142857142857,1.0,0.9714285714285714,0.02857142857142857
10,3,9,2.0,2.0,2.642857142857143,2.0,0.9428571428571428,0.05714285714285714
10,4,10,2.0,2.0,3.1,3.0,0.9,0.1
10,5,12,3.0,3.0,3.6142857142857143,3.0,0.9,0.1
10,6,14,3.0,4.0,4.4714285714285715,4.0,0.8571428571428571,0.14285714285714285
10,7,15,3.0,4.0,4.8,5.0,0.8428571428571429,0.15714285714285714
10,8,16,4.0,4.5,5.357142857142857,6.0,0.8142857142857143,0.18571428571428572
10,9,18,5.0,6.0,6.5,10.0,0.7285714285714285,0.2714285714285714
10,10,19,10.0,10.0,10.0,10.0,0.0,1.0
11,1,3,1.0,1.0,1.0,1.0,1.0,0.0
11,2,5,1.0,1.0,1.375,1.0,0.9791666666666666,0.020833333333333332
11,3,8,2.0,2.0,2.4375,2.0,0.9583333333333334,0.041666666666666664
11,4,9,2.0,2.0,2.5833333333333335,3.0,0.9583333333333334,0.041666666666666664
11,5,12,3.0,3.0,3.4583333333333335,3.0,0.9375,0.0625
11,6,13,3.0,3.0,3.9583333333333335,4.0,0.9166666666666666,0.08333333333333333
11,7,15,3.0,4.0,4.604166666666667,5.0,0.8958333333333334,0.10416666666666667
11,8,16,4.0,4.5,5.25,5.0,0.8541666666666666,0.14583333333333334
11,9,18,5.0,6.0,6.458333333333333,7.0,0.7916666666666666,0.20833333333333334
11,10,19,10.0,10.0,10.0,10.0,0.0,1.0
12,1,3,1.0,1.0,1.0,1.0,1.0,0.0
12,2,9,2.0,2.0,2.36,2.0,0.9733333333333334,0.02666666666666667
12,3,10,2.0,2.0,2.68,3.0,0.96,0.04
12,4,12,3.0,3.0,3.3066666666666666,3.0,0.96,0.04
12,5,13,3.0,3.0,3.6933333333333334,4.0,0.9466666666666667,0.05333333333333334
12,6,15,4.0,4.0,4.426666666666667,5.0,0.9466666666666667,0.05333333333333334
12,7,16,4.0,5.0,5.133333333333334,5.0,0.9066666666666666,0.09333333333333334
12,8,17,5.0,5.0,5.8133333333333335,6.0,0.8933333333333333,0.10666666666666667
12,9,18,5.0,6.0,6.533333333333333,7.0,0.8533333333333334,0.14666666666666667
12,10,19,10.0,10.0,10.0,10.0,0.0,1.0
13,1,3,1.0,1.0,1.0,1.0,1.0,0.0
13,2,6,1.0,1.5,1.6111111111111112,2.0,0.9861111111111112,0.013888888888888888
13,3,9,2.0,2.0,2.5,2.0,0.9583333333333334,0.041666666666666664
13,4,12,3.0,3.0,3.5555555555555554,3.0,0.9305555555555556,0.06944444444444445
13,5,13,3.0,3.0,4.111111111111111,4.0,0.8888888888888888,0.1111111111111111
13,6,14,3.0,4.0,4.5,4.0,0.8888888888888888,0.1111111111111111
13,7,15,4.0,4.0,4.902777777777778,5.0,0.875,0.125
13,8,17,5.0,6.0,6.208333333333333,7.0,0.8194444444444444,0.18055555555555555
13,9,18,5.0,6.0,6.833333333333333,8.0,0.7916666666666666,0.20833333333333334
13,10,19,10.0,10.0,10.0,10.0,0.0,1.0
14,1,3,1.0,1.0,1.0,1.0,1.0,0.0
14,2,5,1.0,1.0,1.445945945945946,1.0,0.972972972972973,0.02702702702702703
14,3,8,2.0,2.0,2.391891891891892,2.0,0.9594594594594594,0.04054054054054054
14,4,12,3.0,3.0,3.5135135135135136,3.0,0.9324324324324325,0.06756756756756757
14,5,13,3.0,3.0,4.04054054054054,4.0,0.9054054054054054,0.0945945945945946
14,6,14,4.0,4.0,4.472972972972973,4.0,0.9054054054054054,0.0945945945945946
14,7,15,4.0,4.0,4.986486486486487,5.0,0.8918918918918919,0.10810810810810811
14,8,17,5.0,6.0,6.22972972972973,7.0,0.8648648648648649,0.13513513513513514
14,9,18,6.0,7.0,6.9324324324324325,7.0,0.8243243243243243,0.17567567567567569
14,10,19,10.0,10.0,10.0,10.0,0.0,1.0
15,1,3,1.0,1.0,1.0,1.0,1.0,0.0
15,2,5,1.0,1.0,1.4285714285714286,1.0,0.9682539682539683,0.031746031746031744
15,3,8,2.0,2.0,2.5873015873015874,2.0,0.9365079365079365,0.06349206349206349
15,4,9,2.0,2.0,2.7142857142857144,3.0,0.9365079365079365,0.06349206349206349
15,5,11,3.0,3.0,3.7142857142857144,3.0,0.8888888888888888,0.1111111111111111
15,6,12,3.0,3.0,3.9365079365079363,4.0,0.8888888888888888,0.1111111111111111
15,7,15,4.0,4.0,5.412698412698413,5.0,0.8253968253968254,0.1746031746031746
15,8,16,5.0,5.0,6.285714285714286,7.0,0.7619047619047619,0.23809523809523808
15,9,18,6.0,7.0,7.666666666666667,10.0,0.6666666666666666,0.3333333333333333
15,10,19,10.0,10.0,10.0,10.0,0.0,1.0
16,1,3,1.0,1.0,1.0,1.0,1.0,0.0
16,2,5,1.0,1.0,1.3866666666666667,1.0,0.9733333333333334,0.02666666666666667
16,3,8,2.0,2.0,2.493333333333333,2.0,0.9466666666666667,0.05333333333333334
16,4,9,2.0,2.0,2.64,3.0,0.9466666666666667,0.05333333333333334
16,5,10,2.0,2.0,2.933333333333333,3.0,0.92,0.08
16,6,14,3.0,3.0,4.16,4.0,0.8933333333333333,0.10666666666666667
16,7,15,3.0,4.0,4.466666666666667,5.0,0.8933333333333333,0.10666666666666667
16,8,16,4.0,5.0,5.08,5.0,0.8666666666666667,0.13333333333333333
